Country	O+	A+	B+	AB+	O−	A−	B−	AB−
Albania	34.1	31.2	14.5	5.2	6	5.5	2.6	0.9
Argentina	45.4	34.26	8.59	2.64	8.4	0.44	0.21	0.06
Armenia	29.0	46.3	12	5.6	2	3.7	1	0.4
Australia	40.0	31	8	2	9	7	2	1
Austria	30.0	37	12	5	6	7	2	1
Azerbaijan	29.8	30	21.1	9	3.3	3.4	2.4	1
Bahrain	48.48	19.35	22.61	3.67	3.27	1.33	01.04	0.25
Bangladesh	31.8	21.44	34.58	8.85	1.39	0.96	0.96	0.64
Belgium	36.0	37	9	3	6	7	1	1
Bolivia	51.53	29.45	10.11	1.15	4.39	2.73	0.54	0.1
Bosnia and Herzegovina	31.0	36	12	6	5	7	2	1
Brazil	36.0	34	8	2.5	9	8	2	0.5
Bulgaria	28.0	37.4	12.8	6.8	5	6.6	2.2	1.2
Cambodia	46.7	27.2	18.5	4.9	1.3	0.8	0.5	0.1
Cameroon	42.8	38.8	12	3.3	1.4	1.2	0.4	0.1
Canada	39.0	36	7.6	2.5	7	6	1.4	0.5
Chile	56.62	27.16	8.78	1.9	3.29	1.63	0.49	0.13
China	47.7	27.8	18.9	5	0.28	0.19	0.1	0.03
Colombia	56.3	26.11	7.28	1.47	5.13	2.7	0.7	0.31
Costa Rica	49.7	28.5	12.4	3	3.4	1.9	0.9	0.2
Croatia	29.0	36	15	5	5	6	3	1
Cuba	45.8	33.5	10.2	2.9	3.6	2.8	1	0.2
Cyprus	35.22	40.35	11.11	4.72	3.85	3.48	0.87	0.4
Czech Republic	27.0	36	15	7	5	6	3	1
Democratic Republic of the Congo	59.5	21.3	15.2	2.4	1	0.3	0.2	0.1
Denmark	35.0	37	8	4	6	7	2	1
Dominican Republic	46.2	26.4	16.9	3.1	3.7	2.1	1.4	0.2
Ecuador	75.0	14	7.1	0.5	2.38	0.7	0.3	0.02
Egypt	52.0	24	12.4	3.8	5	2	0.6	0.2
El Salvador	62.0	23	11	1	1	1	0.7	0.3
Estonia	29.5	30.8	20.7	6.3	4.3	4.5	3	0.9
Ethiopia	39.0	28	21	5	3	2	1	1
Fiji	43.0	33.3	16.5	4.8	1	0.7	0.5	0.2
Finland	28.0	35	16	7	5	6	2	1
France	36.0	37	9	3	6	7	1	1
Germany	35.0	37	9	4	6	6	2	1
Ghana	53.8	17.6	18.3	2.8	4.5	1.3	1.3	0.2
Greece	37.8	32.2	11	4	6.6	5.7	2	0.7
Guinea	46.88	21.64	22.86	4.52	2	0.9	1	0.2
Honduras	57.5	27	7.8	2.5	2.7	1.7	0.6	0.2
Hong Kong	41.5	26.13	25.34	6.35	0.32	0.17	0.14	0.05
Hungary	27.0	33	16	8	5	7	3	1
Iceland	46.8	27.2	9	2	8.2	4.8	1.6	0.4
India	27.85	20.8	38.14	8.93	1.43	0.57	1.79	0.49
Indonesia	36.82	25.87	28.85	7.96	0.18	0.13	0.15	0.04
Iran	33.5	27	22.2	7	4	3	2.5	0.8
Iraq	32.1	25	25.6	7.4	3.6	2.7	2.7	0.9
Ireland	47.0	26	9	2	8	5	2	1
Israel	32.0	34	17	7	3	4	2	1
Italy	39.0	36	7.5	2.5	7	6	1.5	0.5
Ivory Coast	46.5	22.5	22.5	4.3	2	1	1	0.2
Jamaica	47.0	23	20	3	3.5	2	1	0.5
Japan	29.9	39.8	19.9	9.9	0.15	0.2	0.1	0.05
Kazakhstan	30.7	29.8	24.2	8.3	2.3	2.2	1.8	0.7
Kenya	45.6	25.2	21.28	4.2	1.8	1	0.9	0.02
Latvia	30.6	31	17	6	5.4	6	3	1
Lebanon	38.4	32.3	9.5	3.2	7.7	6.5	1.7	0.7
Libya	42.64	28.86	11.19	4.5	6.26	4.24	1.64	0.67
Liechtenstein	34.0	37	10	4	6	6.5	1.8	0.7
Lithuania	36.0	33	11	4	7	6	2	1
Luxemburg	35.0	37	9	4	6	6	2	1
Macao	41.5	26.1	25.4	6.3	0.33	0.17	0.15	0.05
Malaysia	34.32	30.35	27.37	7.46	0.17	0.15	0.14	0.04
Malta	38.0	41	7	3	5	4.5	1	0.5
Mauritania	46.3	26.68	17.47	3.85	2.8	1.6	1.1	0.2
Mauritius	38.3	26	25	6.7	1.7	1	1	0.3
Mexico	59.09	26.23	8.53	1.73	2.73	1.21	0.4	0.08
Moldova	28.5	31.8	17.6	7	5	6	3	1.1
Mongolia	55.4	27.7	10.9	4.96	0.6	0.3	0.1	0.04
Morocco	42.3	29.8	14.3	4.1	4.5	3.1	1.5	0.4
Myanmar	35.7	23.8	32.7	6.95	0.3	0.2	0.3	0.05
Nepal	35.2	28.3	27.1	8.6	0.3	0.2	0.2	0.1
Netherlands	39.5	35	6.7	2.5	7.5	7	1.3	0.5
New Zealand	38.0	32	9	3	9	6	2	1
Nigeria	51.3	22.4	20.7	2.6	1.6	0.7	0.6	0.1
North Korea	27.15	31.08	30.15	11.32	0.08	0.1	0.1	0.03
North Macedonia	30.0	34	15	6	5	6	3	1
Norway	33.2	41.6	6.8	3.4	5.8	7.4	1.2	0.6
Pakistan	26.63	21.6	34.4	9.52	2.17	1.66	3.57	0.45
Papua New Guinea	48.0	37.2	9.6	2.8	1	0.8	0.4	0.2
Peru	70.0	18.4	7.8	1.6	1.4	0.5	0.28	0.02
Philippines	45.9	22.9	24.9	5.97	0.1	0.1	0.1	0.03
Poland	31.0	32	15	7	6	6	2	1
Portugal	36.2	39.8	6.6	2.9	6.1	6.8	1.1	0.5
Romania	28.0	37	14	7	5	6	2	1
Russia	28.0	30.4	19.7	6.9	4.9	5.4	3.5	1.2
Saudi Arabia	47.8	23.9	17	4	4	2	1	0.3
Serbia	31.92	35.28	12.6	4.2	06.08	6.72	2.4	0.8
Singapore	44.7	23.9	24.5	5.6	0.6	0.3	0.3	0.1
Slovakia	27.2	35.7	15.3	6.8	4.8	6.3	2.7	1.2
Slovenia	31.0	33	12	6	7	7	3	1
South Africa	39.0	32	12	3	6	5	2	1
South Korea	27.9	33.87	26.92	10.98	0.1	0.13	0.08	0.02
Spain	35.0	36	8	2.5	9	7	2	0.5
Sudan	48.0	27.7	15.2	2.8	3.5	1.8	0.8	0.2
Sweden	32.0	37	10	5	6	7	2	1
Switzerland	35.0	38	8	4	6	7	1	1
Syria	43.0	30	14	3.7	5	3	1	0.3
Taiwan	43.9	25.9	23.9	6	0.17	0.1	0.01	0.02
Thailand	40.8	16.9	36.8	4.97	0.2	0.1	0.2	0.03
Turkey	29.8	37.8	14.2	7.2	3.9	4.7	1.6	0.8
Uganda	43.7	39	10.7	3.9	1.3	1	0.3	0.1
Ukraine	32.0	34	15	5	5	6	2	1
United Arab Emirates	44.1	21.9	20.9	4.3	4.3	2.1	2	0.4
United Kingdom	38.0	32	8	3	9	7	2	1
United States	37.4	35.7	8.5	3.4	6.6	6.3	1.5	0.6
Venezuela	58.3	28.2	5.6	1.9	3.7	1.8	0.4	0.1
Vietnam	41.7	21.9	30.8	4.98	0.3	0.1	0.2	0.02
Yemen	47.84	27.5	15.32	2.14	3.66	2.1	1.17	0.16
Zimbabwe	63.3	18.5	14.6	0.99	1.7	0.5	0.4	0.01
