Country	per capita
Afghanistan	0.3
Albania	1.9
Algeria	3.7
American Samoa	..
Andorra	5.8
Angola	1.7
Antigua and Barbuda	5.7
Argentina	4.6
Armenia	1.9
Aruba	8.4
Australia	15.4
Austria	6.9
Azerbaijan	3.9
Bahamas, The	6.3
Bahrain	23.5
Bangladesh	0.5
Barbados	4.4
Belarus	6.6
Belgium	8.3
Belize	1.4
Benin	0.5
Bermuda	10
Bhutan	1.4
Bolivia	1.9
Bosnia and Herzegovina	5.6
Botswana	3.3
Brazil	2.6
Brunei Darussalam	22.1
Bulgaria	5.9
Burkina Faso	0.2
Burundi	0
Cabo Verde	0.9
Cambodia	0.4
Cameroon	0.3
Canada	15.3
Cayman Islands	9
Central African Republic	0.1
Chad	0.1
Channel Islands	..
Chile	4.5
China	7.5
Hong Kong SAR, China	6.3
Macao SAR, China	2.7
Colombia	1.8
Comoros	0.2
Congo, Dem. Rep.	0.1
Congo, Rep.	0.7
Costa Rica	1.6
Cote d'Ivoire	0.5
Croatia	4
Cuba	2.4
Curacao	37.7
Cyprus	5.3
Czech Republic	9.2
Denmark	5.9
Djibouti	0.7
Dominica	2.5
Dominican Republic	2.2
Ecuador	2.9
Egypt, Arab Rep.	2.5
El Salvador	1
Equatorial Guinea	6.5
Eritrea	0.2
Estonia	13.8
Eswatini	0.8
Ethiopia	0.1
Faroe Islands	12.5
Fiji	1.9
Finland	8.6
France	4.6
French Polynesia	2.7
Gabon	2.8
Gambia, The	0.3
Georgia	2.4
Germany	8.9
Ghana	0.6
Greece	6.2
Greenland	9
Grenada	2.2
Guam	..
Guatemala	0.9
Guinea	0.2
Guinea-Bissau	0.2
Guyana	2.6
Haiti	0.3
Honduras	1.1
Hungary	4.2
Iceland	6.1
India	1.7
Indonesia	1.5
Iran, Islamic Rep.	8.4
Iraq	4.8
Ireland	7.3
Isle of Man	..
Israel	7.7
Italy	5.3
Jamaica	2.5
Japan	9.5
Jordan	3
Kazakhstan	14.4
Kenya	0.3
Kiribati	0.5
Korea, Dem. People’s Rep.	1.3
Korea, Rep.	11.6
Kosovo	4
Kuwait	23.9
Kyrgyz Republic	1.8
Lao PDR	0.7
Latvia	3.5
Lebanon	3.8
Lesotho	1.2
Liberia	0.3
Libya	9.4
Liechtenstein	1.3
Lithuania	4.4
Luxembourg	17.4
Madagascar	3.6
Malawi	0.1
Malaysia	0.1
Maldives	8.1
Mali	3
Malta	0.2
Marshall Islands	5.4
Mauritania	2.5
Mauritius	0.7
Mexico	3.3
Micronesia, Fed. Sts.	4
Moldova	1.3
Monaco	1.7
Mongolia	..
Montenegro	10.1
Morocco	3.4
Mozambique	1.8
Myanmar	0.3
Namibia	0.3
Nepal	1.6
Netherlands	0.3
New Caledonia	10
New Zealand	18.2
Nicaragua	7.7
Niger	0.8
Nigeria	0.1
North Macedonia	0.7
Northern Mariana Islands	..
Norway	9.3
Oman	15.2
Pakistan	0.9
Palau	12.7
Panama	2.8
Papua New Guinea	0.7
Paraguay	0.9
Peru	1.7
Philippines	1
Poland	7.5
Portugal	4.3
Puerto Rico	..
Qatar	43.5
Romania	3.5
Russian Federation	12.1
Rwanda	0.1
Samoa	1.1
San Marino	..
Sao Tome and Principe	0.6
Saudi Arabia	19.4
Senegal	0.7
Serbia	5.2
Seychelles	5.3
Sierra Leone	0.2
Singapore	10.4
Sint Maarten (Dutch part)	19.5
Slovak Republic	5.7
Slovenia	6.1
Solomon Islands	0.3
Somalia	0
South Africa	8.9
South Sudan	0.1
Spain	5
Sri Lanka	0.9
St. Kitts and Nevis	4.5
St. Lucia	2.3
St. Martin (French part)	..
St. Vincent and the Grenadines	2
Sudan	0.3
Suriname	4.1
Sweden	4.5
Switzerland	4.4
Syrian Arab Republic	1.6
Tajikistan	0.6
Tanzania	0.2
Thailand	4.1
Timor-Leste	0.4
Togo	0.4
Tonga	1.1
Trinidad and Tobago	34
Tunisia	2.6
Turkey	4.5
Turkmenistan	12.5
Turks and Caicos Islands	5.6
Tuvalu	1
Uganda	0.1
Ukraine	5
United Arab Emirates	24.5
United Kingdom	6.5
United States	16.4
Uruguay	2
Uzbekistan	3.4
Vanuatu	0.6
Venezuela, RB	6.2
Vietnam	1.8
Virgin Islands (U.S.)	..
West Bank and Gaza	0.7
Yemen, Rep.	1
Zambia	0.3
Zimbabwe	0.9
World	5
East Asia & Pacific	6.2
Europe & Central Asia	7
Latin America & Caribbean	3.1
Middle East & North Africa	6.3
North America	16.3
South Asia	1.5
Sub-Saharan Africa	0.9
Low income	0.3
Lower middle income	1.5
Upper middle income	6.2
High income	10.8
