Country	Measles	DTP3
Afghanistan	64	66
Albania	95	99
Algeria	80	91
American Samoa	..	..
Andorra	99	99
Angola	51	57
Antigua and Barbuda	93	95
Argentina	94	86
Armenia	95	92
Aruba	..	..
Australia	95	95
Austria	94	85
Azerbaijan	98	94
Bahamas, The	85	86
Bahrain	99	99
Bangladesh	97	98
Barbados	92	90
Belarus	98	98
Belgium	96	98
Belize	96	98
Benin	71	76
Bermuda	..	..
Bhutan	97	97
Bolivia	79	75
Bosnia and Herzegovina	68	73
Botswana	97	95
Brazil	91	73
Brunei Darussalam	97	99
Bulgaria	93	92
Burkina Faso	88	91
Burundi	92	93
Cabo Verde	98	96
Cambodia	84	92
Cameroon	60	67
Canada	90	91
Cayman Islands	..	..
Central African Republic	49	47
Chad	41	50
Channel Islands	..	..
Chile	95	96
China	99	99
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	95	92
Comoros	90	91
Congo, Dem. Rep.	57	57
Congo, Rep.	73	79
Costa Rica	95	95
Cote d'Ivoire	76	84
Croatia	93	94
Cuba	99	99
Curacao	..	..
Cyprus	86	96
Czech Republic	92	97
Denmark	96	97
Djibouti	83	85
Dominica	92	99
Dominican Republic	96	89
Ecuador	83	85
Egypt, Arab Rep.	95	95
El Salvador	82	81
Equatorial Guinea	53	53
Eritrea	99	95
Estonia	88	91
Eswatini	81	90
Ethiopia	58	69
Faroe Islands	..	..
Fiji	96	99
Finland	96	91
France	90	96
French Polynesia	..	..
Gabon	62	70
Gambia, The	85	88
Georgia	99	94
Germany	97	93
Ghana	92	97
Greece	97	99
Greenland	..	..
Grenada	94	92
Guam	..	..
Guatemala	90	85
Guinea	47	47
Guinea-Bissau	86	84
Guyana	98	99
Haiti	65	51
Honduras	87	87
Hungary	99	99
Iceland	93	91
India	95	91
Indonesia	88	85
Iran, Islamic Rep.	99	99
Iraq	82	84
Ireland	91	94
Isle of Man	..	..
Israel	98	98
Italy	94	95
Jamaica	94	96
Japan	96	98
Jordan	87	89
Kazakhstan	99	97
Kenya	89	92
Kiribati	94	97
Korea, Dem. Peopleâ€™s Rep.	98	97
Korea, Rep.	98	98
Kosovo	..	..
Kuwait	98	91
Kyrgyz Republic	96	95
Lao PDR	69	68
Latvia	99	99
Lebanon	82	83
Lesotho	90	87
Liberia	85	74
Libya	73	73
Liechtenstein	..	..
Lithuania	93	92
Luxembourg	99	99
Madagascar	69	79
Malawi	92	95
Malaysia	97	98
Maldives	99	99
Mali	70	77
Malta	96	98
Marshall Islands	85	79
Mauritania	78	81
Mauritius	99	96
Mexico	73	82
Micronesia, Fed. Sts.	78	78
Moldova	97	91
Monaco	88	99
Mongolia	98	98
Montenegro	42	86
Morocco	99	99
Mozambique	87	88
Myanmar	84	90
Namibia	80	87
Nepal	92	93
Netherlands	94	94
New Caledonia	..	..
New Zealand	92	92
Nicaragua	99	98
Niger	79	81
Nigeria	54	57
North Macedonia	75	92
Northern Mariana Islands	..	..
Norway	97	97
Oman	99	99
Pakistan	75	75
Palau	97	97
Panama	97	88
Papua New Guinea	37	35
Paraguay	87	86
Peru	85	88
Philippines	67	65
Poland	93	95
Portugal	99	99
Puerto Rico	..	..
Qatar	99	98
Romania	90	88
Russian Federation	98	97
Rwanda	96	98
Samoa	87	58
San Marino	86	88
Sao Tome and Principe	95	95
Saudi Arabia	95	96
Senegal	90	93
Serbia	87	97
Seychelles	99	99
Sierra Leone	93	95
Singapore	95	96
Sint Maarten (Dutch part)	..	..
Slovak Republic	96	97
Slovenia	94	95
Solomon Islands	81	94
Somalia	46	42
South Africa	72	77
South Sudan	49	49
Spain	98	96
Sri Lanka	99	99
St. Kitts and Nevis	97	96
St. Lucia	96	92
St. Martin (French part)	..	..
St. Vincent and the Grenadines	99	97
Sudan	90	93
Suriname	64	77
Sweden	97	98
Switzerland	95	96
Syrian Arab Republic	59	54
Tajikistan	98	97
Tanzania	88	89
Thailand	96	97
Timor-Leste	85	83
Togo	75	84
Tonga	99	99
Trinidad and Tobago	99	93
Tunisia	95	92
Turkey	97	99
Turkmenistan	99	99
Turks and Caicos Islands	..	..
Tuvalu	96	92
Uganda	87	93
Ukraine	93	80
United Arab Emirates	99	99
United Kingdom	91	93
United States	90	94
Uruguay	96	94
Uzbekistan	98	96
Vanuatu	80	90
Venezuela, RB	93	64
Vietnam	95	89
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	67	73
Zambia	93	88
Zimbabwe	85	90
World	86	86
East Asia & Pacific	93	93
Europe & Central Asia	96	95
Latin America & Caribbean	86	81
Middle East & North Africa	89	90
North America	90	94
South Asia	91	88
Sub-Saharan Africa	70	73
Low income	70	74
Lower middle income	85	84
Upper middle income	93	92
High income	93	95
