Country	Survey Year	Total	Male	Female	Work only	Study and work
Afghanistan	2011	9.3	13.1	5.1	50	50
Albania	2010	5.5	6.4	4.6	5.1	94.9
Algeria	2013	7.5	8.5	6.5	4.5	95.5
American Samoa	..	..	..	..	..	..
Andorra	..	..	..	..	..	..
Angola	2001	30.1	30	30.1	26.6	73.4
Antigua and Barbuda	..	..	..	..	..	..
Argentina	2012	5	6.4	3.5	4.8	95.2
Armenia	2010	9.9	12	7.5	0	100
Aruba	..	..	..	..	..	..
Australia	..	..	..	..	..	..
Austria	..	..	..	..	..	..
Azerbaijan	2005	5.2	5.8	4.5	6.3	93.7
Bahamas, The	..	..	..	..	..	..
Bahrain	..	..	..	..	..	..
Bangladesh	2013	5	5.7	4.2	58.1	41.9
Barbados	..	..	..	..	..	..
Belarus	2012	2.3	2	2.6	0	100
Belgium	..	..	..	..	..	..
Belize	..	..	..	..	..	..
Benin	2012	24.1	24.4	23.7	32.4	67.6
Bermuda	..	..	..	..	..	..
Bhutan	..	..	..	..	..	..
Bolivia	2015	13.9	15.2	12.6	6.7	93.3
Bosnia and Herzegovina	2006	10.6	11.7	9.5	0.1	99.9
Botswana	..	..	..	..	..	..
Brazil	2015	2.5	3.5	1.5	4	96
Brunei Darussalam	..	..	..	..	..	..
Bulgaria	..	..	..	..	..	..
Burkina Faso	2010	50.3	55.6	44.8	56.8	43.2
Burundi	2010	31.9	31.3	32.4	18.3	81.7
Cabo Verde	..	..	..	..	..	..
Cambodia	2012	11.5	11	12.1	21.1	78.9
Cameroon	2011	62	63.6	60.4	15	85
Canada	..	..	..	..	..	..
Cayman Islands	..	..	..	..	..	..
Central African Republic	2010	37.2	36.6	37.9	24.8	75.2
Chad	2015	55.9	56.7	55.1	49.3	50.7
Channel Islands	..	..	..	..	..	..
Chile	2012	4.5	6.2	2.8	0.9	99.1
China	..	..	..	..	..	..
Hong Kong SAR, China	..	..	..	..	..	..
Macao SAR, China	..	..	..	..	..	..
Colombia	2015	5.6	6.9	4.1	13.4	86.6
Comoros	..	..	..	..	..	..
Congo, Dem. Rep.	2014	41.4	39.2	43.6	10.5	89.5
Congo, Rep.	2012	31.5	31.4	31.6	5	95
Costa Rica	2016	1.3	1.9	0.6	14.7	85.3
Cote d'Ivoire	2012	36.5	36.6	36.4	41.2	58.8
Croatia	..	..	..	..	..	..
Cuba	..	..	..	..	..	..
Curacao	..	..	..	..	..	..
Cyprus	..	..	..	..	..	..
Czech Republic	..	..	..	..	..	..
Denmark	..	..	..	..	..	..
Djibouti	..	..	..	..	..	..
Dominica	..	..	..	..	..	..
Dominican Republic	2014	13.2	15.7	10.3	4.8	95.2
Ecuador	2015	5.6	5.9	5.2	8.2	91.8
Egypt, Arab Rep.	2009	2.9	4.8	0.9	55	45
El Salvador	2013	7.8	10.9	4.6	15.7	84.3
Equatorial Guinea	..	..	..	..	..	..
Eritrea	..	..	..	..	..	..
Estonia	..	..	..	..	..	..
Eswatini	2010	13.3	14.5	12.1	2.4	97.6
Ethiopia	2011	26.1	32.5	19.5	35.1	64.9
Faroe Islands	..	..	..	..	..	..
Fiji	..	..	..	..	..	..
Finland	..	..	..	..	..	..
France	..	..	..	..	..	..
French Polynesia	..	..	..	..	..	..
Gabon	2012	24	25.6	22.6	2.9	97.1
Gambia, The	2015	23.8	26.2	21.2	56.6	43.4
Georgia	2006	31.8	33.6	29.9	1	99
Germany	..	..	..	..	..	..
Ghana	2012	28.8	28.8	28.7	12	88
Greece	..	..	..	..	..	..
Greenland	..	..	..	..	..	..
Grenada	..	..	..	..	..	..
Guam	..	..	..	..	..	..
Guatemala	2015	7.2	10	4.2	39	61
Guinea	2012	38.1	40.3	35.9	49.5	50.5
Guinea-Bissau	2014	63.9	65.3	62.5	24.2	75.8
Guyana	..	..	..	..	..	..
Haiti	2012	37.8	40.3	35.2	7.6	92.4
Honduras	2014	10.5	15.1	5.8	41.8	58.2
Hungary	..	..	..	..	..	..
Iceland	..	..	..	..	..	..
India	2012	1.7	1.9	1.6	82.5	17.5
Indonesia	2010	3.7	4.2	3.2	44.4	55.6
Iran, Islamic Rep.	..	..	..	..	..	..
Iraq	2011	6.4	8.3	4.3	33.6	66.4
Ireland	..	..	..	..	..	..
Isle of Man	..	..	..	..	..	..
Israel	..	..	..	..	..	..
Italy	..	..	..	..	..	..
Jamaica	2011	6.2	6.4	6	0	100
Japan	..	..	..	..	..	..
Jordan	2016	1.2	2	0.4	20	80
Kazakhstan	2006	3.6	4.4	2.8	1.6	98.4
Kenya	2009	34.4	34.9	33.9	32.5	67.5
Kiribati	..	..	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..	..	..	..
Korea, Rep.	..	..	..	..	..	..
Kosovo	..	..	..	..	..	..
Kuwait	..	..	..	..	..	..
Kyrgyz Republic	2014	41.1	47.2	33.7	0.3	99.7
Lao PDR	2010	8.6	7.6	9.7	89.3	10.7
Latvia	..	..	..	..	..	..
Lebanon	..	..	..	..	..	..
Lesotho	2002	2.6	4	1.3	74.4	25.6
Liberia	2010	18.4	21.7	15	23.9	76.1
Libya	..	..	..	..	..	..
Liechtenstein	..	..	..	..	..	..
Lithuania	..	..	..	..	..	..
Luxembourg	..	..	..	..	..	..
Madagascar	2007	26	27.7	24.2	40.9	59.1
Malawi	2015	48.9	50.8	47	7.3	92.7
Malaysia	..	..	..	..	..	..
Maldives	..	..	..	..	..	..
Mali	2013	29.7	32.3	27	54.8	45.2
Malta	..	..	..	..	..	..
Marshall Islands	..	..	..	..	..	..
Mauritania	2011	14.5	16.4	12.8	43.7	56.3
Mauritius	..	..	..	..	..	..
Mexico	2013	5.6	7.4	3.8	14.5	85.5
Micronesia, Fed. Sts.	..	..	..	..	..	..
Moldova	2009	29	34.5	23	0	100
Monaco	..	..	..	..	..	..
Mongolia	2013	14.7	17.2	12.2	3.8	96.2
Montenegro	..	..	..	..	..	..
