Country	%
Afghanistan	62
Albania	82
Algeria	66
American Samoa	..
Andorra	..
Angola	49
Antigua and Barbuda	..
Argentina	..
Armenia	94
Aruba	..
Australia	..
Austria	..
Azerbaijan	..
Bahamas, The	..
Bahrain	..
Bangladesh	42
Barbados	..
Belarus	..
Belgium	..
Belize	67
Benin	46
Bermuda	..
Bhutan	..
Bolivia	..
Bosnia and Herzegovina	..
Botswana	..
Brazil	..
Brunei Darussalam	..
Bulgaria	..
Burkina Faso	52
Burundi	62
Cabo Verde	..
Cambodia	69
Cameroon	28
Canada	..
Cayman Islands	..
Central African Republic	..
Chad	26
Channel Islands	..
Chile	..
China	..
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	..
Comoros	..
Congo, Dem. Rep.	42
Congo, Rep.	28
Costa Rica	..
Cote d'Ivoire	44
Croatia	..
Cuba	93
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	..
Dominica	..
Dominican Republic	73
Ecuador	..
Egypt, Arab Rep.	68
El Salvador	80
Equatorial Guinea	..
Eritrea	..
Estonia	..
Eswatini	60
Ethiopia	31
Faroe Islands	..
Fiji	..
Finland	..
France	..
French Polynesia	..
Gabon	..
Gambia, The	68
Georgia	..
Germany	..
Ghana	56
Greece	..
Greenland	..
Grenada	..
Guam	..
Guatemala	52
Guinea	83
Guinea-Bissau	34
Guyana	84
Haiti	37
Honduras	..
Hungary	..
Iceland	..
India	78
Indonesia	92
Iran, Islamic Rep.	..
Iraq	44
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	..
Japan	..
Jordan	72
Kazakhstan	..
Kenya	66
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	86
Korea, Rep.	..
Kosovo	73
Kuwait	..
Kyrgyz Republic	60
Lao PDR	40
Latvia	..
Lebanon	..
Lesotho	63
Liberia	51
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
Madagascar	41
Malawi	78
Malaysia	..
Maldives	..
Mali	71
Malta	..
Marshall Islands	..
Mauritania	34
Mauritius	..
Mexico	73
Micronesia, Fed. Sts.	..
Moldova	..
Monaco	..
Mongolia	70
Montenegro	..
Morocco	..
Mozambique	57
Myanmar	58
Namibia	68
Nepal	85
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	..
Niger	59
Nigeria	73
North Macedonia	..
Northern Mariana Islands	..
Norway	..
Oman	56
Pakistan	84
Palau	..
Panama	82
Papua New Guinea	63
Paraguay	89
Peru	62
Philippines	67
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	..
Russian Federation	..
Rwanda	54
Samoa	78
San Marino	..
Sao Tome and Principe	69
Saudi Arabia	..
Senegal	60
Serbia	..
Seychelles	..
Sierra Leone	74
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	79
Somalia	..
South Africa	88
South Sudan	..
Spain	..
Sri Lanka	52
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	48
Suriname	..
Sweden	..
Switzerland	..
Syrian Arab Republic	..
Tajikistan	69
Tanzania	55
Thailand	80
Timor-Leste	71
Togo	49
Tonga	..
Trinidad and Tobago	..
Tunisia	..
Turkey	..
Turkmenistan	59
Turks and Caicos Islands	..
Tuvalu	..
Uganda	80
Ukraine	..
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	91
Uzbekistan	..
Vanuatu	72
Venezuela, RB	..
Vietnam	81
Virgin Islands (U.S.)	..
West Bank and Gaza	77
Yemen, Rep.	34
Zambia	76
Zimbabwe	51
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	76
Sub-Saharan Africa	56
Low income	..
Lower middle income	73
Upper middle income	..
High income	..
