Country	Reaching grade 5, male_1999	Reaching grade 5, male_2017	Reaching grade 5, female_1999	Reaching grade 5, female_2017	Reaching last grade of primary education, male_2017	Reaching last grade of primary education, female_2017
Afghanistan	..	..	..	..	..	..
Albania	..	92	..	93	92	93
Algeria	94	95	96	97	95	97
American Samoa	..	..	..	..	..	..
Andorra	..	99	..	99	69	70
Angola	..	..	..	..	..	..
Antigua and Barbuda	..	..	..	..	..	..
Argentina	98	95	94	96	94	94
Armenia	..	..	..	..	95	94
Aruba	97	..	96	..	..	..
Australia	..	..	..	..	..	..
Austria	..	..	..	..	100	100
Azerbaijan	..	..	..	..	91	98
Bahamas, The	..	67	..	73	..	..
Bahrain	95	99	96	97	98	96
Bangladesh	..	..	..	..	..	..
Barbados	93	..	90	..	..	..
Belarus	..	..	..	..	98	99
Belgium	..	95	..	97	..	..
Belize	74	96	78	96	95	96
Benin	89	58	78	57	49	46
Bermuda	..	..	..	..	..	..
Bhutan	89	87	92	93	85	93
Bolivia	..	96	..	97	95	96
Bosnia and Herzegovina	..	93	..	95	93	95
Botswana	84	..	89	..	..	..
Brazil	..	..	..	..	..	..
Brunei Darussalam	..	96	..	96	94	92
Bulgaria	..	..	..	..	94	95
Burkina Faso	67	78	70	85	64	74
Burundi	59	51	58	58	40	47
Cabo Verde	88	92	95	93	89	91
Cambodia	63	86	63	92	79	88
Cameroon	..	51	..	52	38	38
Canada	98	..	99	..	..	..
Cayman Islands	96	..	90	..	..	..
Central African Republic	..	..	..	..	..	..
Chad	59	37	51	34	30	26
Channel Islands	..	..	..	..	..	..
Chile	..	99	..	100	99	100
China	..	..	..	..	..	..
Hong Kong SAR, China	..	99	..	99	99	99
Macao SAR, China	..	99	..	100	99	100
Colombia	64	90	69	94	90	94
Comoros	48	..	50	..	..	..
Congo, Dem. Rep.	..	..	..	..	..	..
Congo, Rep.	..	..	..	..	..	..
Costa Rica	90	93	93	97	92	97
Cote d'Ivoire	73	83	65	84	83	81
Croatia	..	0	..	0	97	97
Cuba	95	96	96	97	96	97
Curacao	..	..	..	..	..	..
Cyprus	94	99	96	99	99	99
Czech Republic	98	99	99	100	99	100
Denmark	100	99	100	100	..	..
Djibouti	71	..	85	..	..	..
Dominica	87	..	85	..	..	..
Dominican Republic	71	83	79	86	77	82
Ecuador	77	99	77	99	99	99
Egypt, Arab Rep.	99	97	99	98	96	97
El Salvador	64	85	70	88	81	85
Equatorial Guinea	..	..	..	..	..	..
Eritrea	96	80	91	80	80	80
Estonia	99	99	99	100	99	99
Eswatini	72	95	88	95	82	86
Ethiopia	55	..	59	..	..	..
Faroe Islands	..	..	..	..	..	..
Fiji	89	92	86	93	90	93
Finland	100	100	99	100	100	100
France	..	..	..	..	..	..
French Polynesia	..	..	..	..	..	..
Gabon	..	..	..	..	..	..
Gambia, The	65	78	66	81	73	77
Georgia	..	99	..	99	99	99
Germany	..	..	..	..	..	..
Ghana	67	86	65	87	81	82
Greece	..	99	..	99	99	98
Greenland	..	..	..	..	..	..
Grenada	..	82	..	94	..	..
Guam	..	..	..	..	..	..
Guatemala	55	87	58	89	84	86
Guinea	..	..	..	..	..	..
Guinea-Bissau	..	..	..	..	..	..
Guyana	71	..	84	..	..	..
Haiti	..	..	..	..	..	..
Honduras	56	86	60	89	81	85
Hungary	..	..	..	..	97	98
Iceland	99	..	98	..	..	..
India	63	91	60	92	91	92
Indonesia	87	99	92	100	97	99
Iran, Islamic Rep.	98	98	97	96	98	94
Iraq	67	..	63	..	..	..
Ireland	..	..	..	..	..	..
Isle of Man	..	..	..	..	..	..
Israel	100	100	99	98	99	98
Italy	95	100	96	100	100	100
Jamaica	85	96	89	97	96	97
Japan	..	100	..	100	100	100
Jordan	98	96	97	99	95	97
Kazakhstan	..	..	..	..	100	99
Kenya	..	..	..	..	..	..
Kiribati	72	..	72	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..	..	..	..
Korea, Rep.	100	99	99	100	99	100
Kosovo	..	..	..	..	..	..
