Country	Growth % (2017-18)	Growth % (2018-19)
Afghanistan	0.6	2.3
Albania	2	1.4
Algeria	4.3	2
American Samoa	..	..
Andorra	..	..
Angola	20.2	17.1
Antigua and Barbuda	1.2	..
Argentina	34.3	53.5
Armenia	2.5	1.4
Aruba	3.6	4.3
Australia	1.9	1.6
Austria	2	1.5
Azerbaijan	2.3	2.6
Bahamas, The	2.3	2.5
Bahrain	2.1	..
Bangladesh	5.5	5.6
Barbados	3.7	4.1
Belarus	..	..
Belgium	2.1	1.4
Belize	..	..
Benin	0.8	-0.9
Bermuda	..	..
Bhutan	2.7	2.7
Bolivia	2.3	1.8
Bosnia and Herzegovina	1.4	0.6
Botswana	3.2	2.8
Brazil	3.7	3.7
Brunei Darussalam	1	-0.4
Bulgaria	2.8	3.1
Burkina Faso	2	-3.2
Burundi	-2.8	-0.7
Cabo Verde	1.3	1.1
Cambodia	2.5	..
Cameroon	1.1	2.5
Canada	2.3	1.9
Cayman Islands	..	..
Central African Republic	..	..
Chad	4.3	-1
Channel Islands	..	..
Chile	2.4	2.6
China	2.1	2.9
Hong Kong SAR, China	2.4	2.9
Macao SAR, China	3	..
Colombia	3.2	3.5
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	1.2	2.2
Costa Rica	2.2	2.1
Cote d'Ivoire	0.4	-1.1
Croatia	1.5	0.8
Cuba	..	..
Curacao	2.6	2.6
Cyprus	1.4	0.3
Czech Republic	2.1	2.8
Denmark	0.8	0.8
Djibouti	0.1	3.3
Dominica	1	..
Dominican Republic	3.6	1.8
Ecuador	-0.2	0.3
Egypt, Arab Rep.	14.4	..
El Salvador	1.1	0.1
Equatorial Guinea	1.3	1.2
Eritrea	..	..
Estonia	3.4	2.3
Ethiopia	13.8	15.8
Faroe Islands	..	..
Fiji	4.1	1.8
Finland	1.1	1
France	1.9	1.1
French Polynesia	..	..
Gabon	4.7	2.5
Gambia, The	6.5	7.1
Georgia	2.6	4.9
Germany	1.7	1.4
Ghana	7.8	7.2
Greece	0.6	0.3
Greenland	..	..
Grenada	0.8	..
Guam	..	..
Guatemala	3.8	3.7
Guinea	9.8	9.5
Guinea-Bissau	..	..
Guyana	1.3	2.1
Haiti	12.5	..
Honduras	4.3	4.4
Hungary	2.9	3.3
Iceland	2.7	3
India	4.9	7.7
Indonesia	3.2	3
Iran, Islamic Rep.	18	39.9
Iraq	0.4	..
Ireland	0.5	0.9
Isle of Man	..	..
Israel	0.8	0.8
Italy	1.1	0.6
Jamaica	3.7	3.9
Japan	1	0.5
Jordan	4.5	0.8
Kazakhstan	6	5.2
Kenya	4.7	..
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	1.5	0.4
Kosovo	1.1	2.7
Kuwait	0.5	1.1
Kyrgyz Republic	1.5	1.1
Lao PDR	2	3.3
Latvia	2.5	2.8
Lebanon	6.1	3
Lesotho	4.8	5.2
Liberia	23.6	..
Libya	..	..
Liechtenstein	..	..
Lithuania	2.7	2.3
Luxembourg	1.5	1.7
North Macedonia	1.5	0.8
Madagascar	8.6	5.6
Malawi	12.4	9.4
Malaysia	0.9	0.7
Maldives	-0.1	0.2
Mali	0.3	-1.7
Malta	1.2	1.6
Marshall Islands	..	..
Mauritania	3	2.3
Mauritius	3.2	0.4
Mexico	4.9	3.6
Micronesia, Fed. Sts.	..	..
Moldova	3	4.8
Monaco	..	..
Mongolia	6.8	7.3
Montenegro	2.6	..
Morocco	1.9	0.2
Mozambique	3.9	2.8
Myanmar	6.9	8.8
Namibia	4.3	3.7
Nepal	4.1	5.6
Netherlands	1.7	2.6
New Caledonia	..	..
New Zealand	1.6	1.6
Nicaragua	4.9	5.4
Niger	3	-2.5
Nigeria	12.1	11.4
Northern Mariana Islands	..	..
Norway	2.8	2.2
Oman	0.9	0.1
Pakistan	5.1	10.6
Palau	..	..
Panama	0.8	-0.4
Papua New Guinea	4.7	3.6
Paraguay	4	2.8
Peru	1.3	2.1
Philippines	5.2	2.5
