Country	Survey Year	Bribery incidence
Afghanistan	2014	46.8
Albania	2019	36.1
Algeria	2007	18.8
American Samoa	..	..
Andorra	..	..
Angola	2010	51.3
Antigua and Barbuda	2010	6.9
Argentina	2017	9.3
Armenia	2013	8.7
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	2013	16
Bahamas, The	2010	21
Bahrain	..	..
Bangladesh	2013	47.7
Barbados	2010	1.2
Belarus	2018	4.9
Belgium	..	..
Belize	2010	6.2
Benin	2016	14.5
Bermuda	..	..
Bhutan	2015	0.9
Bolivia	2017	9.1
Bosnia and Herzegovina	2019	16
Botswana	2010	8.4
Brazil	2009	11.7
Brunei Darussalam	..	..
Bulgaria	2019	10
Burkina Faso	2009	9.8
Burundi	2014	30.3
Cambodia	2016	64.7
Cameroon	2016	26.7
Canada	..	..
Cabo Verde	2009	2
Cayman Islands	..	..
Central African Republic	2011	21
Chad	2018	27.4
Channel Islands	..	..
Chile	2010	1.3
China	2012	11.6
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	2017	6.6
Comoros	..	..
Congo, Dem. Rep.	2013	56.5
Congo, Rep.	2009	37.5
Costa Rica	2010	8.7
Cote d'Ivoire	2016	25.3
Croatia	2019	10.1
Cuba	..	..
Curacao	..	..
Cyprus	2019	0.2
Czech Republic	2019	3.5
Denmark	..	..
Djibouti	2013	11.1
Dominica	2010	5.8
Dominican Republic	2016	12.3
Ecuador	2017	5.9
Egypt, Arab Rep.	2016	15.2
El Salvador	2016	4.2
Equatorial Guinea	..	..
Eritrea	2009	0
Estonia	2019	0
Ethiopia	2015	26.8
Faroe Islands	..	..
Fiji	2009	10.5
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	2009	23.2
Gambia, The	2018	9.2
Georgia	2019	1.3
Germany	2005	..
Ghana	2013	18.7
Greece	2018	5.5
Greenland	..	..
Grenada	2010	6.6
Guam	..	..
Guatemala	2017	2.8
Guinea	2016	7.9
Guinea-Bissau	2006	27.6
Guyana	2010	14.9
Haiti	..	..
Honduras	2016	8.7
Hungary	2019	4.7
Iceland	..	..
India	2014	22.7
Indonesia	2015	30.6
Iran, Islamic Rep.	..	..
Iraq	2011	37.3
Ireland	2005	..
Isle of Man	..	..
Israel	2013	0.1
Italy	2019	11.8
Jamaica	2010	19.3
Japan	..	..
Jordan	2019	2.5
Kazakhstan	2019	11.6
Kenya	2018	23.9
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2005	..
Kosovo	2019	3.2
Kuwait	..	..
Kyrgyz Republic	2019	31.4
Lao PDR	2018	40.3
Latvia	2019	2
Lebanon	2019	21.8
Lesotho	2016	14.6
Liberia	2017	56.1
Libya	..	..
Liechtenstein	..	..
Lithuania	2019	0.2
Luxembourg	..	..
North Macedonia	2019	7.4
Madagascar	2013	32.9
Malawi	2014	24.2
Malaysia	2015	28.2
Maldives	..	..
Mali	2016	33.7
Malta	2019	2.4
Marshall Islands	..	..
Mauritania	2014	28.9
Mauritius	2009	3.9
Mexico	2010	17.6
Micronesia, Fed. Sts.	2009	4.5
Moldova	2019	11.9
Monaco	..	..
Mongolia	2019	24.7
Montenegro	2019	21.4
Morocco	2019	16.9
Mozambique	2018	21.1
Myanmar	2016	29.3
Namibia	2014	9.1
Nepal	2013	14.4
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	2016	6.5
Niger	2017	7.8
Nigeria	2014	28.9
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	2013	30.8
Palau	..	..
Panama	2010	7.1
Papua New Guinea	2015	26.4
Paraguay	2017	13.8
Peru	2017	17.6
Philippines	2015	17.2
Poland	2019	2.8
Portugal	2019	0.3
Puerto Rico	..	..
Qatar	..	..
Romania	2013	9.8
Russian Federation	2019	26.8
Rwanda	2019	4.1
Samoa	2009	30.5
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	..
Senegal	2014	11.1
Serbia	2019	6.9
Seychelles	..	..
Sierra Leone	2017	46.1
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	2019	2.4
Slovenia	2019	1.8
Solomon Islands	2015	43.8
Somalia	..	..
South Africa	2007	4.2
South Sudan	2014	48
Spain	2005	..
Sri Lanka	2011	10
St. Kitts and Nevis	2010	2.2
St. Lucia	2010	11.6
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2010	4.9
Sudan	2014	17.6
Suriname	2018	12.7
Eswatini	2016	6.7
Sweden	2014	1.9
Switzerland	..	..
Syrian Arab Republic	2009	69.6
Tajikistan	2019	11.1
Tanzania	2013	20.8
Thailand	2016	9.9
Timor-Leste	2015	44.2
Togo	2016	7
Tonga	2009	24.9
Trinidad and Tobago	2010	10.5
Tunisia	2013	10.3
Turkey	2019	1.4
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	2013	22
Ukraine	2019	37.4
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	2017	2.4
Uzbekistan	2019	5.9
Vanuatu	2009	11.9
Venezuela, RB	2010	10.3
Vietnam	2015	26.1
Virgin Islands (U.S.)	..	..
West Bank and Gaza	2019	7.9
Yemen, Rep.	2013	64.3
Zambia	2019	9.6
Zimbabwe	2016	17.5
