Country	70+ years old	50-69 years old	15-49 years old
Afghanistan	2,544	330	19
Albania	1,277	60	<1
Algeria	7,591	572	12
American Samoa	7	<1	<1
Andean Latin America	17,003	798	15
Andorra	55	1	<1
Angola	1,4	241	9
Antigua and Barbuda	25	1	<1
Argentina	17,996	603	18
Armenia	1,3	56	1
Australasia	19,617	467	10
Australia	16,723	387	9
Austria	7,291	186	3
Azerbaijan	2,353	125	4
Bahamas	85	7	<1
Bahrain	95	14	<1
Bangladesh	15,964	1,264	28
Barbados	164	6	<1
Belarus	6,329	215	5
Belgium	10,296	249	5
Belize	60	5	<1
Benin	1,079	78	3
Bermuda	40	1	<1
Bhutan	117	8	<1
Bolivia	2,461	186	3
Bosnia and Herzegovina	1,9	90	1
Botswana	305	17	1
Brazil	68,184	5,162	73
Brunei	45	6	<1
Bulgaria	5,726	216	3
Burkina Faso	1,671	151	6
Burundi	522	80	3
Cambodia	2,332	322	5
Cameroon	2,333	208	9
Canada	24,522	678	20
Cape Verde	161	3	<1
Caribbean	16,72	870	24
Central African Republic	221	55	2
Central Asia	17,697	951	29
Central Europe	79,669	3,026	42
Central Latin America	62,204	3,503	71
Central Sub-Saharan Africa	7	1,099	37
Chad	1,083	88	4
Chile	8,057	275	9
China	448,286	41,184	739
Colombia	14,321	718	11
Comoros	98	9	<1
Congo	428	58	2
Costa Rica	1,379	77	2
Cote d'Ivoire	1,736	175	9
Croatia	3,259	109	1
Cuba	6,705	277	6
Cyprus	455	27	<1
Czech Republic	7,303	272	5
Democratic Republic of Congo	5,09	712	23
Denmark	4,347	127	2
Djibouti	76	12	<1
Dominica	33	1	<1
Dominican Republic	2,839	158	4
East Asia	474,684	43,306	784
Eastern Europe	126,443	5,479	106
Eastern Sub-Saharan Africa	27,943	2,991	101
Ecuador	4,76	206	5
Egypt	8,556	1,278	18
El Salvador	2,391	87	2
England	52,325	1,264	30
Equatorial Guinea	88	9	<1
Eritrea	320	65	3
Estonia	1,081	36	2
Ethiopia	7,016	712	21
Fiji	117	16	<1
Finland	8,349	194	3
France	69,007	1,534	27
Gabon	241	23	<1
Gambia	250	17	<1
Georgia	2,2	90	2
Germany	81,737	2,01	35
Ghana	2,534	221	10
Greece	11,23	253	6
Greenland	17	2	<1
Grenada	49	2	<1
Guam	43	4	<1
Guatemala	2	128	5
Guinea	1,488	104	3
Guinea-Bissau	124	15	<1
Guyana	120	14	<1
Haiti	1,129	148	5
High SDI	1.02 million	27,961	630
High-income	981,245	25,761	615
High-income Asia Pacific	226,516	5,179	83
High-middle SDI	509,305	34,497	616
Honduras	2,256	151	2
Hungary	6,804	258	3
Iceland	230	6	<1
India	163,496	16,242	315
Indonesia	43,143	4,643	83
Iran	20,062	1,348	25
Iraq	3,311	280	8
Ireland	2,612	84	2
Israel	4,522	133	3
Italy	72	1,363	24
Jamaica	1,202	49	2
Japan	194,627	3,872	57
Jordan	1,188	107	3
Kazakhstan	4,252	222	7
Kenya	3,735	399	13
Kiribati	16	3	<1
Kuwait	299	24	1
Kyrgyzstan	770	52	2
Laos	785	100	2
Latin America and Caribbean	166	10,438	185
Latvia	1,689	48	3
Lebanon	1,749	114	2
Lesotho	285	24	2
Liberia	406	28	2
Libya	1	119	4
Lithuania	2	65	1
Low SDI	108,131	11,599	315
Low-middle SDI	227,913	21,649	480
Luxembourg	428	12	<1
Macedonia	797	50	<1
Madagascar	1,225	188	8
Malawi	1,757	136	4
