Country	Deaths
Afghanistan	74.24
Albania	18.18
Algeria	19.11
American Samoa	52.53
Andean Latin America	26.36
Andorra	21.65
Angola	45.18
Antigua and Barbuda	12.25
Argentina	34.18
Armenia	32.75
Australasia	23.99
Australia	23.61
Austria	16.82
Azerbaijan	32.57
Bahamas	15.39
Bahrain	22.14
Bangladesh	76.12
Barbados	12.94
Belarus	12.60
Belgium	25.30
Belize	28.14
Benin	47.78
Bermuda	12.28
Bhutan	87.13
Bolivia	43.18
Bosnia and Herzegovina	22.68
Botswana	46.29
Brazil	33.89
Brunei	46.36
Bulgaria	21.17
Burkina Faso	31.65
Burundi	54.65
Cambodia	50.76
Cameroon	52.80
Canada	21.56
Cape Verde	20.37
Caribbean	25.51
Central African Republic	79.17
Central Asia	30.58
Central Europe	18.89
Central Latin America	29.26
Central Sub-Saharan Africa	58.69
Chad	51.42
Chile	26.27
China	62.80
Colombia	27.87
Comoros	37.05
Congo	56.90
Costa Rica	27.02
Cote d'Ivoire	42.19
Croatia	19.78
Cuba	22.86
Cyprus	24.38
Czech Republic	17.85
Democratic Republic of Congo	62.68
Denmark	34.96
Djibouti	33.44
Dominica	23.40
Dominican Republic	19.01
East Asia	63.41
Eastern Europe	15.44
Eastern Sub-Saharan Africa	39.73
Ecuador	24.83
Egypt	42.81
El Salvador	22.57
England	32.23
Equatorial Guinea	39.65
Eritrea	52.25
Estonia	9.98
Ethiopia	33.34
Fiji	64.40
Finland	13.20
France	11.88
Gabon	33.57
Gambia	47.47
Georgia	29.78
Germany	21.34
Ghana	32.97
Greece	19.80
Greenland	50.23
Grenada	18.34
Guam	34.87
Guatemala	20.55
Guinea	58.08
Guinea-Bissau	59.98
Guyana	20.56
Haiti	55.22
High SDI	22.47
High-income	23.09
High-income Asia Pacific	12.16
High-middle SDI	34.32
Honduras	36.74
Hungary	27.23
Iceland	18.87
India	146.63
Indonesia	57.58
Iran	24.90
Iraq	10.50
Ireland	29.02
Israel	14.64
Italy	15.19
Jamaica	23.61
Japan	11.41
Jordan	17.09
Kazakhstan	37.74
Kenya	40.38
Kiribati	115.10
Kuwait	7.96
Kyrgyzstan	37.50
Laos	75.31
Latin America and Caribbean	30.35
Latvia	9.92
Lebanon	22.40
Lesotho	100.44
Liberia	32.45
Libya	31.40
Lithuania	12.26
Low SDI	135.93
Low-middle SDI	92.78
Luxembourg	22.13
Macedonia	16.11
Madagascar	71.34
Malawi	36.92
Malaysia	27.80
Maldives	41.33
Mali	62.48
Malta	18.21
Marshall Islands	92.54
Mauritania	34.26
Mauritius	34.87
Mexico	33.17
Micronesia (country)	78.65
Middle SDI	59.64
Moldova	16.11
Mongolia	21.33
Montenegro	8.85
Morocco	27.94
Mozambique	40.48
Myanmar	150.26
Namibia	51.47
Nepal	131.37
Netherlands	27.37
New Zealand	26.03
Nicaragua	20.29
Niger	48.31
Nigeria	25.98
North Africa and Middle East	31.13
North America	32.68
North Korea	163.77
Northern Ireland	34.76
Northern Mariana Islands	35.26
Norway	24.89
Oceania	241.38
Oman	12.80
Pakistan	82.17
Palestine	20.24
Panama	18.73
Papua New Guinea	350.72
Paraguay	22.06
Peru	23.63
Philippines	56.26
Poland	16.06
Portugal	22.39
Puerto Rico	20.51
Qatar	13.62
Romania	19.21
Russia	16.27
Rwanda	45.20
Saint Lucia	25.96
Saint Vincent and the Grenadines	15.81
Samoa	55.13
Sao Tome and Principe	94.47
Saudi Arabia	24.56
Scotland	39.42
Senegal	44.59
Serbia	25.89
Seychelles	28.30
Sierra Leone	46.63
Singapore	9.52
Slovakia	12.41
Slovenia	12.98
Solomon Islands	87.20
Somalia	58.32
South Africa	46.89
South Asia	134.18
South Korea	18.13
South Sudan	52.62
Southeast Asia	54.36
Southern Latin America	31.90
Southern Sub-Saharan Africa	49.99
Spain	26.13
Sri Lanka	60.70
Sub-Saharan Africa	41.72
Sudan	37.45
Suriname	23.07
Swaziland	68.23
Sweden	18.21
Switzerland	13.99
Syria	27.44
Taiwan	23.94
Tajikistan	32.05
Tanzania	29.12
Thailand	21.67
Timor	67.96
Togo	44.87
Tonga	58.48
Trinidad and Tobago	14.98
Tropical Latin America	33.63
Tunisia	23.26
Turkey	35.97
Turkmenistan	13.85
Uganda	38.72
Ukraine	14.43
United Arab Emirates	43.91
United Kingdom	33.08
United States	34.05
United States Virgin Islands	18.10
Uruguay	34.17
Uzbekistan	24.39
Vanuatu	103.71
Venezuela	22.72
Vietnam	45.29
Wales	35.23
Western Europe	21.16
Western Sub-Saharan Africa	36.13
World	51.36
Yemen	46.74
Zambia	40.69
Zimbabwe	59.22
