Country	deaths
Afghanistan	4,99
Albania	8
Algeria	82
American Samoa	<1
Andean Latin America	379
Andorra	<1
Angola	3,714
Antigua and Barbuda	<1
Argentina	33
Armenia	6
Australasia	2
Australia	1
Austria	<1
Azerbaijan	146
Bahamas	<1
Bahrain	<1
Bangladesh	2,322
Barbados	<1
Belarus	<1
Belgium	<1
Belize	2
Benin	1,326
Bermuda	<1
Bhutan	8
Bolivia	121
Bosnia and Herzegovina	<1
Botswana	35
Brazil	402
Brunei	<1
Bulgaria	4
Burkina Faso	2,38
Burundi	1,728
Cambodia	507
Cameroon	1,656
Canada	2
Cape Verde	2
Caribbean	629
Central African Republic	1,286
Central Asia	1,67
Central Europe	50
Central Latin America	1,423
Central Sub-Saharan Africa	15,344
Chad	6,832
Chile	2
China	1,637
Colombia	105
Comoros	26
Congo	139
Costa Rica	2
Cote d'Ivoire	2,094
Croatia	<1
Cuba	3
Cyprus	<1
Czech Republic	<1
Democratic Republic of Congo	10,157
Denmark	<1
Djibouti	38
Dominica	<1
Dominican Republic	31
East Asia	1,854
Eastern Europe	99
Eastern Sub-Saharan Africa	38,282
Ecuador	92
Egypt	1,56
El Salvador	14
England	3
Equatorial Guinea	24
Eritrea	572
Estonia	<1
Ethiopia	11,445
Fiji	4
Finland	<1
France	2
Gabon	24
Gambia	65
Georgia	4
Germany	1
Ghana	605
Greece	<1
Greenland	<1
Grenada	<1
Guam	<1
Guatemala	795
Guinea	1,46
Guinea-Bissau	177
Guyana	3
Haiti	563
High SDI	71
High-income	87
High-income Asia Pacific	11
High-middle SDI	1,354
Honduras	37
Hungary	1
Iceland	<1
India	45,425
Indonesia	3,819
Iran	75
Iraq	272
Ireland	<1
Israel	<1
Italy	1
Jamaica	1
Japan	10
Jordan	22
Kazakhstan	44
Kenya	2,579
Kiribati	3
Kuwait	<1
Kyrgyzstan	60
Laos	613
Latin America and Caribbean	2,844
Latvia	<1
Lebanon	5
Lesotho	138
Liberia	447
Libya	10
Lithuania	<1
Low SDI	112,881
Low-middle SDI	93,695
Luxembourg	<1
Macedonia	<1
Madagascar	5,663
Malawi	1,111
Malaysia	27
Maldives	<1
Mali	2,341
Malta	<1
Marshall Islands	<1
Mauritania	158
Mauritius	<1
Mexico	347
Micronesia (country)	<1
Middle SDI	12,543
Moldova	3
Mongolia	43
Montenegro	<1
Morocco	125
Mozambique	1,355
Myanmar	1,041
Namibia	61
Nepal	347
Netherlands	<1
New Zealand	<1
Nicaragua	26
Niger	6,809
Nigeria	49,125
North Africa and Middle East	10,98
North America	24
North Korea	184
Northern Ireland	<1
Northern Mariana Islands	<1
Norway	<1
Oceania	626
Oman	3
Pakistan	12,171
Palestine	5
Panama	21
Papua New Guinea	565
Paraguay	11
Peru	166
Philippines	2,393
Poland	3
Portugal	<1
Puerto Rico	<1
Qatar	<1
Romania	28
Russia	76
Rwanda	700
Saint Lucia	<1
Saint Vincent and the Grenadines	<1
Samoa	<1
Sao Tome and Principe	2
Saudi Arabia	7
Scotland	<1
Senegal	628
Serbia	1
Seychelles	<1
Sierra Leone	1,006
Singapore	<1
Slovakia	1
Slovenia	<1
Solomon Islands	10
Somalia	3,475
South Africa	1,044
South Asia	60,272
South Korea	1
South Sudan	3,017
Southeast Asia	8,796
Southern Latin America	37
Southern Sub-Saharan Africa	2,364
Spain	<1
Sri Lanka	13
Sub-Saharan Africa	133,401
Sudan	1,989
Suriname	2
Swaziland	64
Sweden	<1
Switzerland	<1
Syria	47
Taiwan	3
Tajikistan	737
Tanzania	3,369
Thailand	51
Timor	68
Togo	297
Tonga	<1
Trinidad and Tobago	<1
Tropical Latin America	413
Tunisia	6
Turkey	65
Turkmenistan	58
Uganda	1,809
Ukraine	18
United Arab Emirates	2
United Kingdom	4
United States	22
United States Virgin Islands	<1
Uruguay	2
Uzbekistan	574
Vanuatu	6
Venezuela	76
Vietnam	251
Wales	<1
Western Europe	12
Western Sub-Saharan Africa	77,41
Yemen	1,702
Zambia	1,373
Zimbabwe	1,021
