Country	deaths
Afghanistan	14,575
Albania	41
Algeria	635
American Samoa	2
Andean Latin America	3,615
Andorra	<1
Angola	15,97
Antigua and Barbuda	3
Argentina	1,299
Armenia	35
Australasia	122
Australia	112
Austria	4
Azerbaijan	917
Bahamas	6
Bahrain	5
Bangladesh	15,368
Barbados	6
Belarus	24
Belgium	213
Belize	20
Benin	6,534
Bermuda	<1
Bhutan	31
Bolivia	1,196
Bosnia and Herzegovina	4
Botswana	272
Brazil	9,427
Brunei	3
Bulgaria	36
Burkina Faso	17,965
Burundi	7,304
Cambodia	2,136
Cameroon	10,322
Canada	292
Cape Verde	18
Caribbean	5,057
Central African Republic	6,103
Central Asia	8,434
Central Europe	586
Central Latin America	15,248
Central Sub-Saharan Africa	70,772
Chad	30,823
Chile	441
China	17,742
Colombia	1,664
Comoros	154
Congo	1,229
Costa Rica	31
Cote d'Ivoire	12,112
Croatia	3
Cuba	70
Cyprus	6
Czech Republic	68
Democratic Republic of Congo	47,13
Denmark	37
Djibouti	285
Dominica	3
Dominican Republic	404
East Asia	19,325
Eastern Europe	949
Eastern Sub-Saharan Africa	189,205
Ecuador	980
Egypt	9,385
El Salvador	337
England	122
Equatorial Guinea	163
Eritrea	3,466
Estonia	2
Ethiopia	51,202
Fiji	68
Finland	4
France	2,788
Gabon	177
Gambia	661
Georgia	25
Germany	310
Ghana	6,611
Greece	9
Greenland	<1
Grenada	5
Guam	6
Guatemala	3,673
Guinea	8,291
Guinea-Bissau	1,007
Guyana	61
Haiti	4,063
High SDI	10,838
High-income	12,257
High-income Asia Pacific	1,062
High-middle SDI	17,517
Honduras	332
Hungary	19
Iceland	1
India	207,271
Indonesia	28,546
Iran	832
Iraq	1,705
Ireland	6
Israel	36
Italy	232
Jamaica	67
Japan	957
Jordan	164
Kazakhstan	349
Kenya	13,801
Kiribati	30
Kuwait	11
Kyrgyzstan	277
Laos	2,107
Latin America and Caribbean	33,681
Latvia	3
Lebanon	50
Lesotho	600
Liberia	1,913
Libya	61
Lithuania	6
Low SDI	537,777
Low-middle SDI	414,846
Luxembourg	5
Macedonia	8
Madagascar	28,198
Malawi	5,313
Malaysia	244
Maldives	5
Mali	18,906
Malta	<1
Marshall Islands	4
Mauritania	1,135
Mauritius	22
Mexico	7,66
Micronesia (country)	5
Middle SDI	95,203
Moldova	23
Mongolia	173
Montenegro	1
Morocco	812
Mozambique	7,784
Myanmar	6,149
Namibia	527
Nepal	2,262
Netherlands	92
New Zealand	10
Nicaragua	238
Niger	26,844
Nigeria	189,924
North Africa and Middle East	49,46
North America	4,886
North Korea	1,144
Northern Ireland	4
Northern Mariana Islands	1
Norway	40
Oceania	3,29
Oman	27
Pakistan	47,478
Palestine	49
Panama	209
Papua New Guinea	2,868
Paraguay	334
Peru	1,44
Philippines	13,532
Poland	105
Portugal	89
Puerto Rico	87
Qatar	4
Romania	261
Russia	716
Rwanda	3,904
Saint Lucia	5
Saint Vincent and the Grenadines	7
Samoa	9
Sao Tome and Principe	25
Saudi Arabia	91
Scotland	14
Senegal	4,924
Serbia	20
Seychelles	3
Sierra Leone	5,651
Singapore	5
Slovakia	18
Slovenia	<1
Solomon Islands	69
Somalia	16,087
South Africa	6,786
South Asia	272,41
South Korea	97
South Sudan	15,953
Southeast Asia	55,554
Southern Latin America	1,836
Southern Sub-Saharan Africa	15,079
Spain	194
Sri Lanka	220
Sub-Saharan Africa	621,156
Sudan	10,446
Suriname	30
Swaziland	284
Sweden	83
Switzerland	49
Syria	247
Taiwan	127
Tajikistan	3,542
Tanzania	18,679
Thailand	792
Timor	283
Togo	2,43
Tonga	6
Trinidad and Tobago	35
Tropical Latin America	9,761
Tunisia	59
Turkey	761
Turkmenistan	402
Uganda	9,665
Ukraine	175
United Arab Emirates	19
United Kingdom	148
United States	4,594
United States Virgin Islands	3
Uruguay	96
Uzbekistan	2,714
Vanuatu	39
Venezuela	1,104
Vietnam	1,442
Wales	8
Western Europe	4,351
Western Sub-Saharan Africa	346,1
Yemen	9,475
Zambia	7,29
Zimbabwe	6,609
