Country	deaths
Afghanistan	3,457
Albania	1,668
Algeria	5,829
American Samoa	9
Andean Latin America	9,758
Andorra	17
Angola	1,895
Antigua and Barbuda	13
Argentina	10,793
Armenia	1,962
Australasia	3,774
Australia	2,65
Austria	3,14
Azerbaijan	6,201
Bahamas	53
Bahrain	98
Bangladesh	44,011
Barbados	57
Belarus	8,484
Belgium	2,39
Belize	24
Benin	650
Bermuda	15
Bhutan	186
Bolivia	2,176
Bosnia and Herzegovina	2,256
Botswana	223
Brazil	51,434
Brunei	139
Bulgaria	9,423
Burkina Faso	1,213
Burundi	724
Cambodia	4,57
Cameroon	1,58
Canada	12,191
Cape Verde	66
Caribbean	6,178
Central African Republic	410
Central Asia	45,489
Central Europe	89,266
Central Latin America	33,133
Central Sub-Saharan Africa	5,019
Chad	807
Chile	5,976
China	1.66 million
Colombia	10,407
Comoros	92
Congo	570
Costa Rica	899
Cote d'Ivoire	3,336
Croatia	3,364
Cuba	2,031
Cyprus	255
Czech Republic	7,174
Democratic Republic of Congo	1,81
Denmark	1,144
Djibouti	96
Dominica	15
Dominican Republic	1,383
East Asia	1.71 million
Eastern Europe	152,119
Eastern Sub-Saharan Africa	28,121
Ecuador	3,234
Egypt	17,086
El Salvador	1,147
England	11,67
Equatorial Guinea	89
Eritrea	438
Estonia	1,111
Ethiopia	5,157
Fiji	433
Finland	1,896
France	14,078
Gabon	246
Gambia	162
Georgia	4,49
Germany	33,037
Ghana	5,766
Greece	4,311
Greenland	15
Grenada	26
Guam	114
Guatemala	1,239
Guinea	962
Guinea-Bissau	140
Guyana	93
Haiti	794
High SDI	407,18
High-income	345,895
High-income Asia Pacific	100,357
High-middle SDI	1.05 million
Honduras	991
Hungary	9,296
Iceland	58
India	198,708
Indonesia	131,798
Iran	14,019
Iraq	3,43
Ireland	975
Israel	1,211
Italy	21,296
Jamaica	388
Japan	82,182
Jordan	725
Kazakhstan	10,126
Kenya	2,642
Kiribati	30
Kuwait	315
Kyrgyzstan	1,935
Laos	2,49
Latin America and Caribbean	101,782
Latvia	1,828
Lebanon	1,075
Lesotho	283
Liberia	246
Libya	1,043
Lithuania	2,799
Low SDI	133,748
Low-middle SDI	364,847
Luxembourg	145
Macedonia	1,516
Madagascar	2,735
Malawi	1,331
Malaysia	13,853
Maldives	93
Mali	1,095
Malta	151
Marshall Islands	20
Mauritania	286
Mauritius	920
Mexico	11,085
Micronesia (country)	36
Middle SDI	1.21 million
Moldova	2,261
Mongolia	1,259
Montenegro	485
Morocco	8,04
Mozambique	2,453
Myanmar	16,705
Namibia	223
Nepal	6,567
Netherlands	3,286
New Zealand	1,124
Nicaragua	632
Niger	806
Nigeria	5,519
North Africa and Middle East	84,527
North America	107,243
North Korea	21,154
Northern Ireland	312
Northern Mariana Islands	18
Norway	1,014
Oceania	3,569
Oman	408
Pakistan	56,849
Palestine	332
Panama	622
Papua New Guinea	2,367
Paraguay	1,279
Peru	4,348
Philippines	43,477
Poland	19,666
Portugal	2,445
Puerto Rico	725
Qatar	117
Romania	20,975
Russia	93,048
Rwanda	832
Saint Lucia	26
Saint Vincent and the Grenadines	21
Samoa	32
Sao Tome and Principe	17
Saudi Arabia	3,174
Scotland	1,316
Senegal	1,03
Serbia	8,553
Seychelles	59
Sierra Leone	594
Singapore	1,596
Slovakia	3,779
Slovenia	1,11
Solomon Islands	160
Somalia	1,392
South Africa	6,333
South Asia	306,322
South Korea	16,44
South Sudan	753
Southeast Asia	288,08
Southern Latin America	18,348
Southern Sub-Saharan Africa	8,232
Spain	5,852
Sri Lanka	9,17
Sub-Saharan Africa	66,118
Sudan	4,516
Suriname	80
Swaziland	121
Sweden	3,175
Switzerland	2,071
Syria	2,549
Taiwan	8,447
Tajikistan	2,201
Tanzania	6,173
Thailand	23,231
Timor	457
Togo	472
Tonga	34
Trinidad and Tobago	177
Tropical Latin America	52,713
Tunisia	2,37
Turkey	11,694
Turkmenistan	2,634
Uganda	2,103
Ukraine	42,589
United Arab Emirates	898
United Kingdom	14,105
United States	95,035
United States Virgin Islands	36
Uruguay	1,578
Uzbekistan	14,683
Vanuatu	119
Venezuela	6,112
Vietnam	40,878
Wales	808
Western Europe	116,173
Western Sub-Saharan Africa	24,746
Yemen	3,272
Zambia	1,184
Zimbabwe	1,049
