Country	deaths
Afghanistan	14,885
Albania	2,207
Algeria	16,103
American Samoa	26
Andean Latin America	10,967
Andorra	23
Angola	3,973
Antigua and Barbuda	32
Argentina	17,27
Armenia	2,855
Australasia	8,217
Australia	6,719
Austria	3,733
Azerbaijan	9,117
Bahamas	144
Bahrain	331
Bangladesh	40,391
Barbados	150
Belarus	14,581
Belgium	4,151
Belize	89
Benin	1,516
Bermuda	26
Bhutan	188
Bolivia	2,914
Bosnia and Herzegovina	2,726
Botswana	457
Brazil	60,109
Brunei	106
Bulgaria	10,507
Burkina Faso	3,646
Burundi	1,928
Cambodia	2,767
Cameroon	3,847
Canada	11,735
Cape Verde	119
Caribbean	20,737
Central African Republic	1,488
Central Asia	73,893
Central Europe	98,085
Central Latin America	45,997
Central Sub-Saharan Africa	21,403
Chad	2,85
Chile	4,966
China	753,132
Colombia	10,324
Comoros	187
Congo	1,181
Costa Rica	1,099
Cote d'Ivoire	5,243
Croatia	3,54
Cuba	5,618
Cyprus	486
Czech Republic	6,412
Democratic Republic of Congo	14,311
Denmark	2,12
Djibouti	257
Dominica	32
Dominican Republic	4,257
East Asia	788,087
Eastern Europe	284,86
Eastern Sub-Saharan Africa	53,232
Ecuador	3,584
Egypt	48,864
El Salvador	1,771
England	19,643
Equatorial Guinea	111
Eritrea	1,008
Estonia	952
Ethiopia	11,723
Fiji	804
Finland	2,9
France	20,953
Gabon	339
Gambia	481
Georgia	5,482
Germany	43,427
Ghana	7,502
Greece	8,066
Greenland	18
Grenada	72
Guam	106
Guatemala	3,205
Guinea	2,704
Guinea-Bissau	393
Guyana	383
Haiti	4,705
High SDI	447,923
High-income	408,643
High-income Asia Pacific	51,402
High-middle SDI	847,43
Honduras	2,167
Hungary	8,946
Iceland	106
India	521,312
Indonesia	92,483
Iran	32,356
Iraq	9,889
Ireland	1,076
Israel	2,076
Italy	31,261
Jamaica	1,379
Japan	42,024
Jordan	2,028
Kazakhstan	13,911
Kenya	6,385
Kiribati	90
Kuwait	705
Kyrgyzstan	3,728
Laos	1,571
Latin America and Caribbean	139,573
Latvia	2,522
Lebanon	3,156
Lesotho	541
Liberia	838
Libya	3,246
Lithuania	3,582
Low SDI	290,368
Low-middle SDI	615,299
Luxembourg	163
Macedonia	1,986
Madagascar	5,473
Malawi	2,016
Malaysia	10,664
Maldives	85
Mali	3,082
Malta	278
Marshall Islands	40
Mauritania	834
Mauritius	840
Mexico	17,237
Micronesia (country)	70
Middle SDI	849,936
Moldova	4,009
Mongolia	2,001
Montenegro	627
Morocco	26,035
Mozambique	6,12
Myanmar	13,244
Namibia	480
Nepal	8,115
Netherlands	5,2
New Zealand	1,498
Nicaragua	1,013
Niger	2,757
Nigeria	20,224
North Africa and Middle East	244,426
North America	145,089
North Korea	15,046
Northern Ireland	661
Northern Mariana Islands	20
Norway	1,763
Oceania	8,545
Oman	977
Pakistan	94,134
Palestine	1,242
Panama	699
Papua New Guinea	6,293
Paraguay	1,763
Peru	4,469
Philippines	34,101
Poland	25,6
Portugal	5,227
Puerto Rico	1,608
Qatar	291
Romania	19,872
Russia	175,952
Rwanda	1,428
Saint Lucia	75
Saint Vincent and the Grenadines	67
Samoa	88
Sao Tome and Principe	41
Saudi Arabia	7,634
Scotland	2,547
Senegal	2,798
Serbia	10,539
Seychelles	28
Sierra Leone	1,696
Singapore	813
Slovakia	4,267
Slovenia	855
Solomon Islands	309
Somalia	3,996
South Africa	10,806
South Asia	664,138
South Korea	8,459
South Sudan	1,53
Southeast Asia	203,487
Southern Latin America	23,829
Southern Sub-Saharan Africa	15,202
Spain	14,986
Sri Lanka	7,074
Sub-Saharan Africa	151,853
Sudan	15,427
Suriname	247
Swaziland	254
Sweden	4,734
Switzerland	2,951
Syria	9,583
Taiwan	7,214
Tajikistan	4,385
Tanzania	5,805
Thailand	14,541
Timor	348
Togo	1,447
Tonga	47
Trinidad and Tobago	1,021
Tropical Latin America	61,872
Tunisia	6,669
Turkey	30,15
Turkmenistan	4,225
Uganda	3,55
Ukraine	83,262
United Arab Emirates	2,18
United Kingdom	24,24
United States	133,334
United States Virgin Islands	84
Uruguay	1,593
Uzbekistan	28,188
Vanuatu	182
Venezuela	8,481
Vietnam	25,475
Wales	1,388
Western Europe	180,105
Western Sub-Saharan Africa	62,016
Yemen	12,445
Zambia	1,792
Zimbabwe	2,664
