Country	deaths
Afghanistan	862
Albania	142
Algeria	2,035
American Samoa	2
Andean Latin America	2,641
Andorra	5
Angola	837
Antigua and Barbuda	4
Argentina	3,772
Armenia	237
Australasia	3,164
Australia	2,87
Austria	650
Azerbaijan	697
Bahamas	20
Bahrain	56
Bangladesh	4,804
Barbados	15
Belarus	1,297
Belgium	755
Belize	19
Benin	264
Bermuda	4
Bhutan	21
Bolivia	520
Bosnia and Herzegovina	235
Botswana	167
Brazil	14,739
Brunei	17
Bulgaria	645
Burkina Faso	313
Burundi	163
Cambodia	492
Cameroon	1,22
Canada	4,297
Cape Verde	35
Caribbean	2,678
Central African Republic	218
Central Asia	9,051
Central Europe	9,461
Central Latin America	19,408
Central Sub-Saharan Africa	3,569
Chad	307
Chile	1,746
China	129,306
Colombia	1,925
Comoros	13
Congo	280
Costa Rica	353
Cote d'Ivoire	1,109
Croatia	247
Cuba	727
Cyprus	40
Czech Republic	771
Democratic Republic of Congo	2,105
Denmark	547
Djibouti	26
Dominica	4
Dominican Republic	574
East Asia	137,604
Eastern Europe	48,875
Eastern Sub-Saharan Africa	9,948
Ecuador	840
Egypt	2,162
El Salvador	532
England	4,124
Equatorial Guinea	53
Eritrea	153
Estonia	215
Ethiopia	1,461
Fiji	30
Finland	659
France	5,367
Gabon	76
Gambia	105
Georgia	463
Germany	6,66
Ghana	1,556
Greece	481
Greenland	7
Grenada	7
Guam	13
Guatemala	1,925
Guinea	361
Guinea-Bissau	80
Guyana	63
Haiti	486
High SDI	164,924
High-income	161,178
High-income Asia Pacific	10,965
High-middle SDI	138,652
Honduras	694
Hungary	370
Iceland	21
India	53,281
Indonesia	6,837
Iran	7,022
Iraq	1,117
Ireland	322
Israel	276
Italy	5,107
Jamaica	92
Japan	8,557
Jordan	246
Kazakhstan	2,645
Kenya	3,272
Kiribati	6
Kuwait	108
Kyrgyzstan	724
Laos	199
Latin America and Caribbean	39,73
Latvia	275
Lebanon	561
Lesotho	223
Liberia	143
Libya	874
Lithuania	450
Low SDI	34,965
Low-middle SDI	91,68
Luxembourg	48
Macedonia	119
Madagascar	544
Malawi	372
Malaysia	1,704
Maldives	10
Mali	454
Malta	21
Marshall Islands	3
Mauritania	87
Mauritius	105
Mexico	11,646
Micronesia (country)	5
Middle SDI	152,665
Moldova	702
Mongolia	385
Montenegro	44
Morocco	1,65
Mozambique	1,12
Myanmar	4,842
Namibia	164
Nepal	931
Netherlands	777
New Zealand	293
Nicaragua	406
Niger	228
Nigeria	20,35
North Africa and Middle East	24,826
North America	109,243
North Korea	2,536
Northern Ireland	135
Northern Mariana Islands	3
Norway	415
Oceania	583
Oman	108
Pakistan	7,424
Palestine	102
Panama	206
Papua New Guinea	435
Paraguay	264
Peru	1,281
Philippines	3,499
Poland	2,523
Portugal	677
Puerto Rico	419
Qatar	80
Romania	3,054
Russia	35,74
Rwanda	187
Saint Lucia	9
Saint Vincent and the Grenadines	7
Samoa	7
Sao Tome and Principe	5
Saudi Arabia	1,171
Scotland	879
Senegal	342
Serbia	676
Seychelles	7
Sierra Leone	179
Singapore	157
Slovakia	451
Slovenia	184
Solomon Islands	24
Somalia	250
South Africa	5,259
South Asia	66,462
South Korea	2,234
South Sudan	157
Southeast Asia	39,675
Southern Latin America	5,836
Southern Sub-Saharan Africa	6,949
Spain	2,323
Sri Lanka	748
Sub-Saharan Africa	47,903
Sudan	1,819
Suriname	46
Swaziland	111
Sweden	714
Switzerland	589
Syria	588
Taiwan	3,545
Tajikistan	365
Tanzania	1,484
Thailand	10,246
Timor	38
Togo	298
Tonga	6
Trinidad and Tobago	75
Tropical Latin America	15,003
Tunisia	601
Turkey	1,897
Turkmenistan	603
Uganda	275
Ukraine	10,196
United Arab Emirates	990
United Kingdom	5,482
United States	104,937
United States Virgin Islands	11
Uruguay	319
Uzbekistan	2,933
Vanuatu	17
Venezuela	1,722
Vietnam	10,897
Wales	345
Western Europe	31,971
Western Sub-Saharan Africa	27,437
Yemen	755
Zambia	462
Zimbabwe	1,025
