Country	deaths
Afghanistan	4,978
Albania	633
Algeria	7,995
American Samoa	9
Andean Latin America	4,647
Andorra	14
Angola	1,141
Antigua and Barbuda	15
Argentina	5,875
Armenia	1,11
Australasia	6,138
Australia	5,019
Austria	2,535
Azerbaijan	2,722
Bahamas	55
Bahrain	111
Bangladesh	19,021
Barbados	76
Belarus	6,084
Belgium	2,715
Belize	34
Benin	426
Bermuda	18
Bhutan	67
Bolivia	1,101
Bosnia and Herzegovina	1,475
Botswana	173
Brazil	32,41
Brunei	42
Bulgaria	4,598
Burkina Faso	1,013
Burundi	334
Cambodia	1,018
Cameroon	1,185
Canada	6,69
Cape Verde	50
Caribbean	10,375
Central African Republic	347
Central Asia	22,495
Central Europe	50,764
Central Latin America	25,931
Central Sub-Saharan Africa	6,527
Chad	761
Chile	1,832
China	249,699
Colombia	4,932
Comoros	38
Congo	404
Costa Rica	417
Cote d'Ivoire	1,373
Croatia	1,775
Cuba	3,741
Cyprus	227
Czech Republic	4,197
Democratic Republic of Congo	4,464
Denmark	1,218
Djibouti	50
Dominica	15
Dominican Republic	2,137
East Asia	261,498
Eastern Europe	154,084
Eastern Sub-Saharan Africa	14,316
Ecuador	1,379
Egypt	23,025
El Salvador	697
England	12,12
Equatorial Guinea	42
Eritrea	176
Estonia	483
Ethiopia	4,98
Fiji	249
Finland	1,882
France	12,725
Gabon	130
Gambia	148
Georgia	1,863
Germany	28,607
Ghana	1,706
Greece	3,957
Greenland	7
Grenada	36
Guam	45
Guatemala	718
Guinea	878
Guinea-Bissau	111
Guyana	155
Haiti	1,704
High SDI	269,815
High-income	243,56
High-income Asia Pacific	38,443
High-middle SDI	384,687
Honduras	857
Hungary	4,326
Iceland	68
India	174,896
Indonesia	34,356
Iran	18,964
Iraq	4,268
Ireland	901
Israel	1,086
Italy	17,596
Jamaica	544
Japan	32,06
Jordan	684
Kazakhstan	5,193
Kenya	1,185
Kiribati	20
Kuwait	319
Kyrgyzstan	1,161
Laos	560
Latin America and Caribbean	74,044
Latvia	1,381
Lebanon	1,534
Lesotho	194
Liberia	267
Libya	1,4
Lithuania	2,232
Low SDI	93,321
Low-middle SDI	204,645
Luxembourg	106
Macedonia	671
Madagascar	1,04
Malawi	775
Malaysia	4,708
Maldives	29
Mali	1,001
Malta	170
Marshall Islands	12
Mauritania	258
Mauritius	285
Mexico	14,314
Micronesia (country)	22
Middle SDI	305,557
Moldova	1,711
Mongolia	337
Montenegro	176
Morocco	11,836
Mozambique	1,064
Myanmar	4,068
Namibia	210
Nepal	2,756
Netherlands	2,933
New Zealand	1,119
Nicaragua	394
Niger	683
Nigeria	6,917
North Africa and Middle East	112,597
North America	79,656
North Korea	4,612
Northern Ireland	434
Northern Mariana Islands	7
Norway	1,238
Oceania	2,103
Oman	405
Pakistan	27,757
Palestine	554
Panama	315
Papua New Guinea	1,422
Paraguay	681
Peru	2,168
Philippines	8,831
Poland	14,377
Portugal	3,254
Puerto Rico	848
Qatar	95
Romania	10,351
Russia	99,134
Rwanda	294
Saint Lucia	31
Saint Vincent and the Grenadines	30
Samoa	34
Sao Tome and Principe	12
Saudi Arabia	3,682
Scotland	1,543
Senegal	933
Serbia	5,516
Seychelles	11
Sierra Leone	531
Singapore	517
Slovakia	2,149
Slovenia	521
Solomon Islands	99
Somalia	699
South Africa	5,442
South Asia	224,496
South Korea	5,825
South Sudan	331
Southeast Asia	70,993
Southern Latin America	8,495
Southern Sub-Saharan Africa	6,945
Spain	9,705
Sri Lanka	2,663
Sub-Saharan Africa	46,418
Sudan	7,061
Suriname	109
Swaziland	103
Sweden	2,91
Switzerland	1,829
Syria	4,22
Taiwan	2,973
Tajikistan	1,129
Tanzania	1,843
Thailand	5,747
Timor	106
Togo	378
Tonga	17
Trinidad and Tobago	413
Tropical Latin America	33,091
Tunisia	2,855
Turkey	12,897
Turkmenistan	996
Uganda	909
Ukraine	43,058
United Arab Emirates	710
United Kingdom	15,036
United States	72,957
United States Virgin Islands	41
Uruguay	787
Uzbekistan	7,986
Vanuatu	51
Venezuela	3,286
Vietnam	8,518
Wales	939
Western Europe	110,827
Western Sub-Saharan Africa	18,631
Yemen	4,901
Zambia	589
Zimbabwe	823
