Country	deaths
Afghanistan	3,783
Albania	2
Algeria	59
American Samoa	<1
Andean Latin America	734
Andorra	<1
Angola	9,616
Antigua and Barbuda	<1
Argentina	69
Armenia	4
Australasia	8
Australia	6
Austria	6
Azerbaijan	87
Bahamas	<1
Bahrain	1
Bangladesh	17,745
Barbados	<1
Belarus	4
Belgium	14
Belize	4
Benin	4,115
Bermuda	<1
Bhutan	62
Bolivia	148
Bosnia and Herzegovina	1
Botswana	283
Brazil	2,231
Brunei	<1
Bulgaria	<1
Burkina Faso	8,121
Burundi	3,517
Cambodia	811
Cameroon	7,646
Canada	61
Cape Verde	16
Caribbean	2,664
Central African Republic	3,945
Central Asia	1,424
Central Europe	86
Central Latin America	3,452
Central Sub-Saharan Africa	37,862
Chad	16,517
Chile	57
China	2,405
Colombia	117
Comoros	172
Congo	1,272
Costa Rica	4
Cote d'Ivoire	6,736
Croatia	2
Cuba	79
Cyprus	<1
Czech Republic	4
Democratic Republic of Congo	22,776
Denmark	5
Djibouti	150
Dominica	<1
Dominican Republic	125
East Asia	2,645
Eastern Europe	176
Eastern Sub-Saharan Africa	123,32
Ecuador	77
Egypt	2,535
El Salvador	142
England	5
Equatorial Guinea	77
Eritrea	2,383
Estonia	<1
Ethiopia	38,735
Fiji	25
Finland	<1
France	29
Gabon	176
Gambia	368
Georgia	8
Germany	88
Ghana	4,345
Greece	1
Greenland	<1
Grenada	<1
Guam	<1
Guatemala	1,321
Guinea	3,318
Guinea-Bissau	842
Guyana	16
Haiti	2,307
High SDI	1,05
High-income	1,157
High-income Asia Pacific	132
High-middle SDI	2,723
Honduras	515
Hungary	28
Iceland	<1
India	328,72
Indonesia	21,593
Iran	129
Iraq	208
Ireland	2
Israel	10
Italy	26
Jamaica	13
Japan	104
Jordan	7
Kazakhstan	39
Kenya	12,869
Kiribati	18
Kuwait	<1
Kyrgyzstan	84
Laos	918
Latin America and Caribbean	9,129
Latvia	<1
Lebanon	4
Lesotho	781
Liberia	1,533
Libya	15
Lithuania	3
Low SDI	413,515
Low-middle SDI	304,611
Luxembourg	<1
Macedonia	<1
Madagascar	15,674
Malawi	4,536
Malaysia	41
Maldives	<1
Mali	9,919
Malta	<1
Marshall Islands	<1
Mauritania	933
Mauritius	3
Mexico	1
Micronesia (country)	<1
Middle SDI	51,944
Moldova	5
Mongolia	18
Montenegro	<1
Morocco	225
Mozambique	6,87
Myanmar	4,155
Namibia	431
Nepal	5,369
Netherlands	5
New Zealand	3
Nicaragua	88
Niger	14,624
Nigeria	72,65
North Africa and Middle East	16,402
North America	638
North Korea	185
Northern Ireland	<1
Northern Mariana Islands	<1
Norway	5
Oceania	2,288
Oman	1
Pakistan	25,964
Palestine	6
Panama	57
Papua New Guinea	2,065
Paraguay	47
Peru	509
Philippines	1,467
Poland	13
Portugal	18
Puerto Rico	3
Qatar	<1
Romania	28
Russia	123
Rwanda	2,451
Saint Lucia	1
Saint Vincent and the Grenadines	1
Samoa	<1
Sao Tome and Principe	9
Saudi Arabia	16
Scotland	<1
Senegal	4,236
Serbia	7
Seychelles	<1
Sierra Leone	3,046
Singapore	<1
Slovakia	<1
Slovenia	<1
Solomon Islands	30
Somalia	6,792
South Africa	6,091
South Asia	377,86
South Korea	28
South Sudan	7,514
Southeast Asia	30,422
Southern Latin America	133
Southern Sub-Saharan Africa	10,519
Spain	11
Sri Lanka	275
Sub-Saharan Africa	332,653
Sudan	5,263
Suriname	10
Swaziland	320
Sweden	13
Switzerland	4
Syria	9
Taiwan	11
Tajikistan	1,027
Tanzania	9,29
Thailand	197
Timor	108
Togo	1,977
Tonga	<1
Trinidad and Tobago	6
Tropical Latin America	2,278
Tunisia	28
Turkey	85
Turkmenistan	36
Uganda	7,57
Ukraine	41
United Arab Emirates	2
United Kingdom	6
United States	577
United States Virgin Islands	<1
Uruguay	7
Uzbekistan	120
Vanuatu	21
Venezuela	208
Vietnam	814
Wales	<1
Western Europe	245
Western Sub-Saharan Africa	160,953
Yemen	4,011
Zambia	4,719
Zimbabwe	2,612
