Country	deaths
Afghanistan	5,459
Albania	592
Algeria	5,258
American Samoa	10
Andean Latin America	2,822
Andorra	7
Angola	2,144
Antigua and Barbuda	6
Argentina	7,399
Armenia	1,135
Australasia	2,037
Australia	1,714
Austria	943
Azerbaijan	3,011
Bahamas	25
Bahrain	105
Bangladesh	22,898
Barbados	23
Belarus	2,429
Belgium	1,429
Belize	20
Benin	561
Bermuda	7
Bhutan	73
Bolivia	569
Bosnia and Herzegovina	1,26
Botswana	257
Brazil	26,729
Brunei	34
Bulgaria	2,703
Burkina Faso	2,136
Burundi	532
Cambodia	2,384
Cameroon	1,468
Canada	3,142
Cape Verde	34
Caribbean	4,917
Central African Republic	575
Central Asia	18,946
Central Europe	30,884
Central Latin America	19,594
Central Sub-Saharan Africa	8,303
Chad	809
Chile	1,887
China	386,641
Colombia	3,638
Comoros	67
Congo	410
Costa Rica	291
Cote d'Ivoire	2,812
Croatia	1,467
Cuba	1,842
Cyprus	155
Czech Republic	2,493
Democratic Republic of Congo	4,98
Denmark	582
Djibouti	86
Dominica	6
Dominican Republic	950
East Asia	407,966
Eastern Europe	59,477
Eastern Sub-Saharan Africa	19,133
Ecuador	724
Egypt	15,892
El Salvador	566
England	4,776
Equatorial Guinea	32
Eritrea	477
Estonia	224
Ethiopia	3,155
Fiji	304
Finland	325
France	3,617
Gabon	162
Gambia	310
Georgia	1,674
Germany	8,161
Ghana	1,68
Greece	2,692
Greenland	10
Grenada	15
Guam	33
Guatemala	935
Guinea	1,077
Guinea-Bissau	164
Guyana	88
Haiti	829
High SDI	121,859
High-income	105,493
High-income Asia Pacific	22,118
High-middle SDI	301,21
Honduras	770
Hungary	2,372
Iceland	23
India	225,813
Indonesia	45,315
Iran	9,104
Iraq	3,103
Ireland	400
Israel	504
Italy	7,436
Jamaica	313
Japan	17,858
Jordan	720
Kazakhstan	3,542
Kenya	1,997
Kiribati	37
Kuwait	249
Kyrgyzstan	884
Laos	1,417
Latin America and Caribbean	54,727
Latvia	553
Lebanon	1,05
Lesotho	470
Liberia	289
Libya	1,01
Lithuania	640
Low SDI	148,85
Low-middle SDI	245,046
Luxembourg	53
Macedonia	696
Madagascar	2,33
Malawi	623
Malaysia	5,436
Maldives	40
Mali	1,261
Malta	60
Marshall Islands	13
Mauritania	236
Mauritius	390
Mexico	9,754
Micronesia (country)	24
Middle SDI	395,849
Moldova	832
Mongolia	414
Montenegro	220
Morocco	6,665
Mozambique	1,618
Myanmar	11,397
Namibia	210
Nepal	3,684
Netherlands	1,783
New Zealand	322
Nicaragua	412
Niger	1,15
Nigeria	13,793
North Africa and Middle East	71,124
North America	29,077
North Korea	10,038
Northern Ireland	203
Northern Mariana Islands	7
Norway	388
Oceania	3,767
Oman	275
Pakistan	33,525
Palestine	346
Panama	198
Papua New Guinea	2,857
Paraguay	666
Peru	1,528
Philippines	21,407
Poland	7,936
Portugal	1,558
Puerto Rico	254
Qatar	76
Romania	5,869
Russia	37,848
Rwanda	398
Saint Lucia	11
Saint Vincent and the Grenadines	13
Samoa	47
Sao Tome and Principe	9
Saudi Arabia	1,57
Scotland	648
Senegal	1,069
Serbia	3,673
Seychelles	15
Sierra Leone	903
Singapore	247
Slovakia	1,232
Slovenia	371
Solomon Islands	147
Somalia	1,318
South Africa	6,289
South Asia	285,992
South Korea	3,979
South Sudan	920
Southeast Asia	114,898
Southern Latin America	9,842
Southern Sub-Saharan Africa	9,142
Spain	5,133
Sri Lanka	3,075
Sub-Saharan Africa	66,771
Sudan	1,032
Suriname	74
Swaziland	161
Sweden	627
Switzerland	535
Syria	1,945
Taiwan	4,715
Tajikistan	1,138
Tanzania	3,63
Thailand	8,279
Timor	168
Togo	431
Tonga	23
Trinidad and Tobago	249
Tropical Latin America	27,394
Tunisia	2,004
Turkey	11,287
Turkmenistan	1,05
Uganda	1,135
Ukraine	16,95
United Arab Emirates	515
United Kingdom	5,964
United States	25,925
United States Virgin Islands	15
Uruguay	556
Uzbekistan	6,097
Vanuatu	57
Venezuela	3,031
Vietnam	15,423
Wales	337
Western Europe	42,418
Western Sub-Saharan Africa	30,192
Yemen	3,394
Zambia	836
Zimbabwe	1,756
