Country	deaths
Afghanistan	9,241
Albania	4,161
Algeria	18,61
American Samoa	31
Andean Latin America	15,795
Andorra	80
Angola	8,811
Antigua and Barbuda	38
Argentina	51,912
Armenia	4,872
Australasia	25,764
Australia	21,559
Austria	11,502
Azerbaijan	12,217
Bahamas	159
Bahrain	329
Bangladesh	90,795
Barbados	168
Belarus	21,497
Belgium	20,078
Belize	127
Benin	1,984
Bermuda	62
Bhutan	296
Bolivia	4,025
Bosnia and Herzegovina	8,483
Botswana	901
Brazil	167,657
Brunei	286
Bulgaria	20,301
Burkina Faso	3,335
Burundi	2,736
Cambodia	12,677
Cameroon	5,244
Canada	49,362
Cape Verde	126
Caribbean	38,443
Central African Republic	2,509
Central Asia	79,677
Central Europe	246,025
Central Latin America	102,12
Central Sub-Saharan Africa	30,294
Chad	1,658
Chile	10,405
China	2.20 million
Colombia	19,434
Comoros	180
Congo	1,556
Costa Rica	2,204
Cote d'Ivoire	6,312
Croatia	9,34
Cuba	18,457
Cyprus	1,492
Czech Republic	20,822
Democratic Republic of Congo	16,609
Denmark	11,7
Djibouti	343
Dominica	38
Dominican Republic	7,726
East Asia	2.30 million
Eastern Europe	457,916
Eastern Sub-Saharan Africa	79,456
Ecuador	4,722
Egypt	69,344
El Salvador	2,219
England	73,218
Equatorial Guinea	163
Eritrea	1,358
Estonia	2,161
Ethiopia	9,463
Fiji	886
Finland	5,639
France	79,002
Gabon	645
Gambia	669
Georgia	6,799
Germany	141,531
Ghana	5,839
Greece	24,401
Greenland	118
Grenada	86
Guam	116
Guatemala	3,769
Guinea	2,275
Guinea-Bissau	319
Guyana	412
Haiti	4,007
High SDI	1.56 million
High-income	1.44 million
High-income Asia Pacific	250,755
High-middle SDI	1.91 million
Honduras	3,974
Hungary	24,007
Iceland	323
India	894,372
Indonesia	227,477
Iran	38,921
Iraq	11,42
Ireland	5,694
Israel	6,092
Italy	84,848
Jamaica	2,158
Japan	200,016
Jordan	3,337
Kazakhstan	20,075
Kenya	9,78
Kiribati	178
Kuwait	1,074
Kyrgyzstan	3,801
Laos	5,375
Latin America and Caribbean	328,309
Latvia	4,123
Lebanon	6,406
Lesotho	1,853
Liberia	928
Libya	2,752
Lithuania	5,642
Low SDI	587,76
Low-middle SDI	1.03 million
Luxembourg	671
Macedonia	4,279
Madagascar	5,821
Malawi	3,826
Malaysia	23,65
Maldives	170
Mali	2,594
Malta	627
Marshall Islands	43
Mauritania	527
Mauritius	1,126
Mexico	51,575
Micronesia (country)	80
Middle SDI	1.98 million
Moldova	6,386
Mongolia	2,934
Montenegro	1,724
Morocco	18,402
Mozambique	9,799
Myanmar	68,092
Namibia	1,148
Nepal	23,558
Netherlands	30,791
New Zealand	4,205
Nicaragua	1,475
Niger	1,614
Nigeria	13,479
North Africa and Middle East	303,889
North America	471,5
North Korea	36,468
Northern Ireland	2,184
Northern Mariana Islands	26
Norway	5,898
Oceania	13,687
Oman	922
Pakistan	128,589
Palestine	1,139
Panama	1,542
Papua New Guinea	10,566
Paraguay	4,293
Peru	7,049
Philippines	93,737
Poland	76,482
Portugal	11,869
Puerto Rico	1,866
Qatar	277
Romania	40,499
Russia	301,068
Rwanda	3,787
Saint Lucia	113
Saint Vincent and the Grenadines	70
Samoa	179
Sao Tome and Principe	38
Saudi Arabia	5,604
Scotland	11,877
Senegal	2,487
Serbia	24,724
Seychelles	88
Sierra Leone	2,43
Singapore	2,4
Slovakia	8,241
Slovenia	2,963
Solomon Islands	513
Somalia	4,876
South Africa	29,92
South Asia	1.14 million
South Korea	48,053
South Sudan	2,38
Southeast Asia	589,255
Southern Latin America	67,056
Southern Sub-Saharan Africa	43,036
Spain	63,969
Sri Lanka	12,689
Sub-Saharan Africa	206,162
Sudan	2,868
Suriname	476
Swaziland	499
Sweden	13,194
Switzerland	9,671
Syria	10,057
Taiwan	27,763
Tajikistan	4,165
Tanzania	15,146
Thailand	56,235
Timor	805
Togo	1,519
Tonga	80
Trinidad and Tobago	1,011
Tropical Latin America	171,95
Tunisia	10,746
Turkey	77,09
Turkmenistan	3,883
Uganda	5,557
Ukraine	117,039
United Arab Emirates	2,513
United Kingdom	92,871
United States	422,011
United States Virgin Islands	85
Uruguay	4,736
Uzbekistan	20,932
Vanuatu	234
Venezuela	15,929
Vietnam	86,358
Wales	5,592
Western Europe	622,589
Western Sub-Saharan Africa	53,376
Yemen	12,553
Zambia	4,354
Zimbabwe	8,715
