Country	Survey year	Poorest quintile	Richest quintile
Afghanistan	2015	57	59
Albania	2018	54	79
Algeria	2013	54	61
American Samoa	..	..	..
Andorra	..	..	..
Angola	2016	36	72
Antigua and Barbuda	..	..	..
Argentina	2012	86	91
Armenia	2016	88	92
Aruba	..	..	..
Australia	..	..	..
Austria	..	..	..
Azerbaijan	..	..	..
Bahamas, The	..	..	..
Bahrain	..	..	..
Bangladesh	2014	90	90
Barbados	..	..	..
Belarus	..	..	..
Belgium	..	..	..
Belize	2016	..	..
Benin	2018	32	49
Bermuda	..	..	..
Bhutan	2010	..	..
Bolivia	2008	58	75
Bosnia and Herzegovina	2012	..	..
Botswana	..	..	..
Brazil	..	..	..
British Virgin Islands	..	..	..
Brunei Darussalam	..	..	..
Bulgaria	..	..	..
Burkina Faso	2010	34	57
Burundi	2017	48	59
Cabo Verde	..	..	..
Cambodia	2014	56	61
Cameroon	2014	35	65
Canada	..	..	..
Cayman Islands	..	..	..
Central African Republic	2010	..	..
Chad	2015	32	48
Channel Islands	..	..	..
Chile	..	..	..
China	..	..	..
Hong Kong SAR, China	..	..	..
Macao SAR, China	..	..	..
Colombia	2010	67	82
Comoros	2012	60	76
Congo, Dem. Rep.	2014	52	59
Congo, Rep.	2016	44	62
Costa Rica	2011	59	..
Cote d'Ivoire	2016	52	69
Croatia	..	..	..
Cuba	..	..	..
Curacao	..	..	..
Cyprus	..	..	..
Czech Republic	..	..	..
Denmark	..	..	..
Djibouti	..	..	..
Dominica	..	..	..
Dominican Republic	2014	59	72
Ecuador	..	..	..
Egypt, Arab Rep.	2014	39	43
El Salvador	2014	..	..
Equatorial Guinea	..	..	..
Eritrea	..	..	..
Estonia	..	..	..
Eswatini	2014	97	87
Ethiopia	2016	44	58
Faroe Islands	..	..	..
Fiji	..	..	..
Finland	..	..	..
France	..	..	..
French Polynesia	..	..	..
Gabon	2012	64	60
Gambia, The	2018	77	66
Georgia	..	..	..
Germany	..	..	..
Ghana	2014	56	70
Gibraltar	..	..	..
Greece	..	..	..
Greenland	..	..	..
Grenada	..	..	..
Guam	..	..	..
Guatemala	2015	61	69
Guinea	2018	50	69
Guinea-Bissau	2014	60	72
Guyana	2014	69	42
Haiti	2017	55	73
Honduras	2012	72	68
Hungary	..	..	..
Iceland	..	..	..
India	2016	53	71
Indonesia	2017	61	68
Iran, Islamic Rep.	..	..	..
Iraq	2018	34	76
Ireland	..	..	..
Isle of Man	..	..	..
Israel	..	..	..
Italy	..	..	..
Jamaica	2011	..	..
Japan	..	..	..
Jordan	2018	58	86
Kazakhstan	..	..	..
Kenya	2014	69	74
Kiribati	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..
Korea, Rep.	..	..	..
Kosovo	2014	..	..
Kuwait	..	..	..
Kyrgyz Republic	2018	68	68
Lao PDR	2017	54	76
Latvia	..	..	..
Lebanon	..	..	..
Lesotho	2018	71	77
Liberia	2013	74	64
Libya	..	..	..
Liechtenstein	..	..	..
Lithuania	..	..	..
Luxembourg	..	..	..
Madagascar	2009	52	67
Malawi	2016	78	75
Malaysia	..	..	..
Maldives	2017	90	100
Mali	2018	41	44
Malta	..	..	..
Marshall Islands	..	..	..
Mauritania	2015	44	57
Mauritius	..	..	..
Mexico	2015	84	92
Micronesia, Fed. Sts.	..	..	..
Moldova	2012	..	..
Monaco	..	..	..
Mongolia	2018	75	88
Montenegro	2013	..	..
Morocco	..	..	..
Mozambique	2015	45	67
Myanmar	2016	69	73
Namibia	2013	73	79
Nauru	..	..	..
Nepal	2016	66	79
Netherlands	..	..	..
New Caledonia	..	..	..
New Zealand	..	..	..
Nicaragua	..	..	..
Niger	2012	46	62
Nigeria	2018	45	70
North Macedonia	2011	..	..
Northern Mariana Islands	..	..	..
Norway	..	..	..
Oman	..	..	..
Pakistan	2018	43	48
Palau	..	..	..
Panama	..	..	..
Papua New Guinea	2018	52	76
Paraguay	2016	82	59
Peru	2012	60	75
Philippines	2017	62	56
Poland	..	..	..
Portugal	..	..	..
Puerto Rico	..	..	..
Qatar	..	..	..
