Country	GDP/water use	urban	Rural
Afghanistan	..	95.9	57.3
Albania	7	91.8	89.9
Algeria	22	95.4	88.7
American Samoa	..	..	..
Andorra	..	100	100
Angola	..	71.2	27.4
Antigua and Barbuda	265	..	..
Argentina	12	99.6	93
Armenia	4	99.9	100
Aruba	..	..	..
Australia	78	100	100
Austria	112	100	100
Azerbaijan	4	99.3	81.6
Bahamas, The	..	..	..
Bahrain	..	..	..
Bangladesh	3	97.5	96.8
Barbados	..	..	..
Belarus	41	96	98.3
Belgium	78	100	100
Belize	..	98.9	97.2
Benin	..	75.7	58.2
Bermuda	..	99.9	..
Bhutan	4	98	96.7
Bolivia	9	99.4	78.1
Bosnia and Herzegovina	54	94.8	97.3
Botswana	..	97.1	75.5
Brazil	30	99.5	89.7
Brunei Darussalam	..	..	..
Bulgaria	10	99.5	98
Burkina Faso	..	79.9	35
Burundi	..	89.8	56.6
Cabo Verde	..	93.1	75.8
Cambodia	4	97.3	72.9
Cameroon	..	77.3	39
Canada	40	99.6	98.9
Cayman Islands	..	96.1	..
Central African Republic	..	64.7	33.7
Chad	..	69.8	29.5
Channel Islands	..	..	..
Chile	5	99.8	100
China	15	97.7	86.2
Hong Kong SAR, China	..	100	..
Macao SAR, China	..	100	..
Colombia	23	99.9	86.4
Comoros	..	88.2	76.9
Congo, Dem. Rep.	..	69.3	22.8
Congo, Rep.	..	87.1	45.7
Costa Rica	18	99.7	99.5
Cote d'Ivoire	..	87.7	57.8
Croatia	91	99.6	99.6
Cuba	10	96.8	90.3
Curacao	..	..	..
Cyprus	105	99.5	99.7
Czech Republic	126	99.9	99.8
Denmark	513	100	100
Djibouti	..	83.9	47.1
Dominica	25	..	..
Dominican Republic	8	98.3	90.3
Ecuador	..	100	83.5
Egypt, Arab Rep.	3	99.5	98.8
El Salvador	..	99.5	92.2
Equatorial Guinea	..	78.1	30.8
Eritrea	..	89.7	27.8
Estonia	13	100	99.2
Eswatini	..	96.8	60.4
Ethiopia	5	80.3	31.1
Faroe Islands	..	..	..
Fiji	..	97.8	88.7
Finland	38	100	100
France	91	100	100
French Polynesia	..	..	..
Gabon	..	89.6	55.1
Gambia, The	..	87.5	63.4
Georgia	7	100	96.2
Germany	103	100	100
Ghana	..	92.7	67.5
Greece	35	100	100
Greenland	..	100	100
Grenada	60	..	..
Guam	..	..	..
Guatemala	11	97.9	90.4
Guinea	..	85.5	48.7
Guinea-Bissau	..	84.1	53.5
Guyana	2	100	93.9
Haiti	5	84.6	42.6
Honduras	..	99.4	88.9
Hungary	26	100	100
Iceland	57	100	100
India	3	96	91
Indonesia	..	95.5	82
Iran, Islamic Rep.	..	97.4	89
Iraq	..	98.8	91.1
Ireland	288	97	98.1
Isle of Man	..	..	..
Israel	..	100	100
Italy	41	99.5	99.4
Jamaica	17	95.5	84.6
Japan	67	..	..
Jordan	28	99.1	97.7
Kazakhstan	7	98.1	92.3
Kenya	12	84.6	49.6
Kiribati	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	97.2	90.2
Korea, Rep.	..	..	..
Kosovo	..	..	..
Kuwait	..	..	..
Kyrgyz Republic	1	97.1	82
Lao PDR	..	94.4	75.6
Latvia	114	98.8	98.2
Lebanon	..	..	..
Lesotho	..	93	59.3
Liberia	..	83.6	62
Libya	11	..	..
Liechtenstein	..	..	..
Lithuania	63	99.8	92.8
Luxembourg	1308	100	98.8
North Macedonia	16	90.6	96.6
Madagascar	1	85.8	36.3
Malawi	..	85.8	65.4
Malaysia	..	99.1	89.3
Maldives	553	98.3	99.9
Mali	2	92.2	68.3
Malta	427	100	100
Marshall Islands	..	86.7	94.4
Mauritania	..	89.3	49.9
Mauritius	..	99.9	99.8
Mexico	14	100	96.6
Micronesia, Fed. Sts.	..	..	..
Moldova	6	97	83.2
Monaco	1051	100	..
Mongolia	12	96	55.9
Montenegro	26	95.9	99.3
Morocco	9	96.7	70.7
Mozambique	11	84.3	40
Myanmar	..	93	76.9
Namibia	..	96.4	69.2
Nepal	1	89.1	88.7
Netherlands	79	100	100
New Caledonia	..	..	..
New Zealand	28	100	100
Nicaragua	6	97.6	59.1
Niger	..	84.3	43.6
Nigeria	29	87.5	55.6
Northern Mariana Islands	..	..	..
Norway	142	100	100
Oman	..	94.7	77.9
Pakistan	1	94.2	89.9
Palau	..	100	100
Panama	28	98.1	92.9
Papua New Guinea	..	85.8	34.6
Paraguay	12	99.9	99.2
Peru	10	95.6	75.6
Philippines	2	97.7	90
Poland	45	99.8	99.5
Portugal	26	100	99.7
Puerto Rico	97	..	..
Qatar	..	..	..
Romania	28	100	100
Russian Federation	28	98.6	92.6
Rwanda	..	82.2	52.6
Samoa	..	100	96.8
San Marino	..	..	..
Sao Tome and Principe	..	87.1	77
Saudi Arabia	21	..	..
Senegal	..	92.3	70.5
Serbia	11	83.3	88.4
Seychelles	..	..	..
Sierra Leone	..	75.8	50.1
Singapore	..	100	..
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	175	99.6	100
Slovenia	40	99.7	99.4
Solomon Islands	..	91.4	60.6
Somalia	..	82.9	28.1
South Africa	26	98.9	80.7
South Sudan	21	64.8	34.9
Spain	37	99.9	100
Sri Lanka	..	96.9	87.7
St. Kitts and Nevis	62	..	..
St. Lucia	33	97.8	98.2
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	89	..	..
Sudan	2	73.8	53.2
Suriname	6	98.2	90
Sweden	184	100	100
Switzerland	299	100	100
Syrian Arab Republic	..	99	95.2
Tajikistan	0	96.2	75.6
Tanzania	..	85.5	42.5
Thailand	5	99.9	100
Timor-Leste	..	98.3	69.7
Togo	..	89.1	48.4
Tonga	..	99.8	99.9
Trinidad and Tobago	66	..	..
Tunisia	13	99.7	88.7
Turkey	18	98.6	99.6
Turkmenistan	..	100	97.6
Turks and Caicos Islands	..	..	..
Tuvalu	..	99.6	98.8
Uganda	37	75.1	41.3
Ukraine	9	91.3	99.4
United Arab Emirates	..	..	..
United Kingdom	318	100	100
United States	36	99.8	97
Uruguay	..	99.6	95.3
Uzbekistan	..	99.6	96.1
Vanuatu	..	99.5	88.5
Venezuela, RB	17	..	..
Vietnam	..	98.6	92.6
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	..	97.1	95.9
Yemen, Rep.	..	79.1	54.7
Zambia	..	83.9	42
Zimbabwe	3	94	49.8
World	16	96.4	81.1
East Asia & Pacific	17	97.5	85.9
Europe & Central Asia	9	98.9	96.6
Latin America & Caribbean	14	99.2	87.3
Middle East & North Africa	28	97	87.3
North America	36	99.8	97.2
South Asia	3	95.9	90.5
Sub-Saharan Africa	11	84.1	45.7
Low income	11	81.9	43.8
Lower middle income	22	94	84.7
Upper middle income	15	98.1	87.2
High income	78	99.8	98.8
