Country	Consumption per capita	Transmission and distribution losses
Afghanistan	..	..
Albania	2309.4	23.7
Algeria	1362.9	17.1
American Samoa	..	..
Andorra	..	..
Angola	312.2	11.3
Antigua and Barbuda	..	..
Argentina	3074.7	14.7
Armenia	1961.6	12
Aruba	..	..
Australia	10071.4	4.8
Austria	8355.8	5.3
Azerbaijan	2202.4	13.6
Bahamas, The	..	..
Bahrain	19597	3.9
Bangladesh	320.2	11.4
Barbados	..	..
Belarus	3680	9.2
Belgium	7709.1	5.4
Belize	..	..
Benin	100.2	..
Bermuda	..	..
Bhutan	..	..
Bolivia	742.5	9.2
Bosnia and Herzegovina	3446.8	8.2
Botswana	1815.6	11
Brazil	2620	15.8
British Virgin Islands	..	..
Brunei Darussalam	10291.2	6.4
Bulgaria	4708.9	8.6
Burkina Faso	..	..
Burundi	..	..
Cabo Verde	..	..
Cambodia	271.4	23.4
Cameroon	275.2	11.1
Canada	15588.5	8.7
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	3879.7	6.7
China	3927	5.5
Colombia	1312.2	10.7
Comoros	..	..
Congo, Dem. Rep.	108.5	21.4
Congo, Rep.	202.9	44.5
Costa Rica	1942.5	10.8
Cote d'Ivoire	274.7	14.3
Croatia	3714.4	13.1
Cuba	1450.9	15.3
Curacao	4797.7	..
Cyprus	3625	4
Czech Republic	6258.9	4.5
Denmark	5858.8	6.1
Djibouti	..	..
Dominica	..	..
Dominican Republic	1615.5	12.2
Ecuador	1376.4	12.9
Egypt, Arab Rep.	1683.2	11
El Salvador	937.1	11.3
Equatorial Guinea	..	..
Eritrea	..	12.9
Estonia	6732.4	6.8
Eswatini	..	..
Ethiopia	69.2	18.7
Faroe Islands	..	..
Fiji	..	..
Finland	15250	4.1
France	6939.9	6.3
French Polynesia	..	..
Gabon	1167.9	27.8
Gambia, The	..	..
Georgia	2694	5.8
Germany	7035.5	3.9
Ghana	351.3	22.6
Gibraltar	5693.1	3
Greece	5062.6	8.2
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	601.2	9.5
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	39.1	60.1
Honduras	619.8	34.9
Hong Kong SAR, China	6083.3	12.5
Hungary	3966	12.4
Iceland	53832.5	2.7
India	804.5	19.3
Indonesia	811.9	9.4
Iran, Islamic Rep.	3022.1	12.6
Iraq	1328.2	50.6
Ireland	5672.1	7.9
Isle of Man	..	..
Israel	6600.9	2.9
Italy	5002.4	7
Jamaica	1050.7	26.7
Japan	7819.7	4.3
Jordan	1864.7	10.7
Kazakhstan	5600.2	6.7
Kenya	164.3	17.6
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	601.7	15.8
Korea, Rep.	10496.5	3.3
Kosovo	2818.3	15
Kuwait	15590.6	11.7
Kyrgyz Republic	1941.2	23.7
Lao PDR	..	..
Latvia	3507.4	9
Lebanon	2588.3	10.5
Lesotho	..	..
Liberia	..	..
Libya	1811.1	69.7
Liechtenstein	..	..
Lithuania	3821.1	22
Luxembourg	13914.7	6.3
Macao SAR, China	..	..
North Macedonia	3496.5	19.9
Madagascar	..	..
Malawi	..	..
Malaysia	4652	5.8
Maldives	..	..
Mali	..	..
Malta	4924.5	4.7
Marshall Islands	..	..
Mauritania	..	..
Mauritius	2182.5	6.2
Mexico	2157.3	13.7
Micronesia, Fed. Sts.	..	..
Moldova	1725.6	21.5
Monaco	..	..
Mongolia	2006.4	14.8
Montenegro	4612.3	17.6
Morocco	904.4	14.7
Mozambique	478.9	14.7
Myanmar	215.3	20.5
Namibia	1652.6	36.2
Nauru	..	..
Nepal	146.5	32.2
Netherlands	6712.8	4.8
New Caledonia	..	..
New Zealand	9026.3	6.5
Nicaragua	568.3	20.8
Niger	51.2	41.8
Nigeria	144.5	16.1
Northern Mariana Islands	..	..
Norway	22999.9	6.1
Oman	6445.6	10.9
Pakistan	447.5	17.1
Palau	..	..
Panama	2064.2	14.3
Papua New Guinea	..	..
Paraguay	1552.4	6.6
Peru	1345.9	11
Philippines	696.3	9.4
Poland	3971.8	6.5
Portugal	4662.6	10
Puerto Rico	..	..
Qatar	14781.6	6.1
Romania	2584.4	10.9
Russian Federation	6602.7	10
