Country	Total_2000	Total_2018	Youth_2000	Youth_2018
Afghanistan	42	43.4	32.5	33.2
Albania	51.4	49	39.7	22.1
Algeria	30.6	36.4	17.9	18.2
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	74.6	72.1	52.3	47.3
Antigua and Barbuda	..	..	..	..
Argentina	52.6	55.7	31.1	29.6
Armenia	47.6	45.9	25.4	21.8
Aruba	..	..	..	..
Australia	59.4	62.2	61.7	59.5
Austria	55.8	57.8	52.8	51.1
Azerbaijan	55.7	63.6	35.5	38.1
Bahamas, The	69.5	67.2	45.4	40.7
Bahrain	64.8	72.7	39.4	41.8
Bangladesh	55.9	56.4	43.5	36.9
Barbados	61.9	59.4	46.3	32.8
Belarus	52	61.5	35.3	41.6
Belgium	48.8	50.5	30.3	25
Belize	54.4	60.7	39.9	42
Benin	71.6	69.1	59.6	40.3
Bermuda	..	..	..	..
Bhutan	67.8	64.9	47.7	28.6
Bolivia	68.7	69.4	49.2	46.8
Bosnia and Herzegovina	33.4	38	13.8	19.7
Botswana	49.1	58.4	26	28.6
Brazil	57.8	56.2	48.8	40
Brunei Darussalam	64.2	59.2	39.7	26.7
Bulgaria	41.8	52.6	20.5	21.3
Burkina Faso	75.7	62.5	69.9	47.4
Burundi	82	78	66.4	52.4
Cabo Verde	52.7	52.9	39.5	25.6
Cambodia	78	81.7	64.7	71.2
Cameroon	76.1	73.6	61.6	52.1
Canada	60.8	61.5	56.2	56.4
Cayman Islands	..	..	..	..
Central African Republic	69.5	69.3	50.4	52.3
Chad	71.6	69.4	57.5	53.5
Channel Islands	54.4	54.1	42.7	41.6
Chile	50.4	58	30.2	27.8
China	74.8	65.6	64.1	40.8
Hong Kong SAR, China	58.3	58.6	41.7	37.8
Macao SAR, China	60.9	69.3	38.6	44.4
Colombia	53.9	62.4	36.3	42.9
Comoros	40.1	41.3	15.8	12.6
Congo, Dem. Rep.	69.5	61	42.6	32.8
Congo, Rep.	54.6	62.8	26.6	33.2
Costa Rica	56.5	56.2	45	33.7
Cote d'Ivoire	62.4	55.2	46.6	33
Croatia	45	47	24.7	26
Cuba	49.1	52.8	31.4	35.4
Curacao	..	..	..	..
Cyprus	57.8	57.9	39.2	32.1
Czech Republic	54.9	59.4	37	28.7
Denmark	62.8	59.2	67.2	57.2
Djibouti	55.5	54	47.1	31.9
Dominica	..	..	..	..
Dominican Republic	55.7	60.6	39.9	38.4
Ecuador	64.3	65.6	47.8	41.8
Egypt, Arab Rep.	42	40.9	23.9	19.5
El Salvador	57.2	56.6	42.3	39.4
Equatorial Guinea	55.1	57.8	29.2	27.1
Eritrea	74.1	74.5	67.6	63
Estonia	51.1	60.4	30.2	42.3
Eswatini	38.4	40.6	14.6	13.7
Ethiopia	77.5	77.8	71.1	68.7
Faroe Islands	..	..	..	..
Fiji	55.1	55.3	36.8	32.9
Finland	54.2	54.9	35.2	44.2
France	49.7	50.3	28.7	30.5
French Polynesia	52	47.8	26.9	24.4
Gabon	38.9	42.2	13.5	11.9
Gambia, The	52.9	53.9	35.8	36
Georgia	56.6	58.9	28.5	27.5
Germany	53.5	58.8	46.8	47.1
Ghana	67	65.1	45.1	37.8
Greece	47.4	42	29	14.6
Greenland	..	..	..	..
Grenada	..	..	..	..
Guam	58.9	61.4	39.7	49.3
Guatemala	60.6	60.8	53.8	50.8
Guinea	61.1	58.9	44.4	40.1
Guinea-Bissau	70.2	70.2	55.1	50.4
Guyana	50.5	49.5	37.5	39.1
Haiti	58.1	57.9	27.3	23.5
Honduras	63.5	64.9	54.9	51.9
Hungary	45.8	54.5	32.4	29.1
Iceland	76.8	73.3	73.4	75.1
