Country	Total
Afghanistan	4.3
Albania	22.6
Algeria	..
American Samoa	..
Andorra	..
Angola	..
Antigua and Barbuda	..
Argentina	32.6
Armenia	..
Aruba	..
Australia	..
Austria	29.2
Azerbaijan	..
Bahamas, The	..
Bahrain	..
Bangladesh	11.5
Barbados	..
Belarus	..
Belgium	32.9
Belize	41.7
Benin	..
Bermuda	..
Bhutan	..
Bolivia	26.8
Bosnia and Herzegovina	18.8
Botswana	..
Brazil	38.4
British Virgin Islands	..
Brunei Darussalam	37
Bulgaria	39.3
Burkina Faso	..
Burundi	..
Cabo Verde	..
Cambodia	20.1
Cameroon	..
Canada	..
Cayman Islands	..
Central African Republic	..
Chad	..
Channel Islands	..
Chile	..
China	..
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	..
Comoros	..
Congo, Dem. Rep.	..
Congo, Rep.	..
Costa Rica	..
Cote d'Ivoire	22.2
Croatia	27.9
Cuba	..
Curacao	..
Cyprus	27
Czech Republic	24.1
Denmark	27
Djibouti	..
Dominica	..
Dominican Republic	50.5
Ecuador	35.2
Egypt, Arab Rep.	..
El Salvador	32.7
Equatorial Guinea	..
Eritrea	..
Estonia	34.3
Eswatini	54.6
Ethiopia	21.1
Faroe Islands	..
Fiji	38.6
Finland	31.5
France	32.6
French Polynesia	..
Gabon	..
Gambia, The	33.7
Georgia	..
Germany	28.2
Ghana	26.6
Gibraltar	..
Greece	29.7
Greenland	..
Grenada	..
Guam	..
Guatemala	34.5
Guinea	..
Guinea-Bissau	..
Guyana	..
Haiti	..
Honduras	41
Hungary	37.6
Iceland	33
India	13
Indonesia	..
Iran, Islamic Rep.	..
Iraq	..
Ireland	31.9
Isle of Man	..
Israel	34.8
Italy	22.3
Jamaica	..
Japan	..
Jordan	..
Kazakhstan	..
Kenya	..
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	15.3
Kuwait	..
Kyrgyz Republic	..
Lao PDR	23.4
Latvia	44.1
Lebanon	..
Lesotho	..
Liberia	..
Libya	..
Liechtenstein	..
Lithuania	37.9
Luxembourg	17.9
North Macedonia	22.5
Madagascar	24.5
Malawi	..
Malaysia	..
Maldives	19.5
Mali	..
Malta	28.1
Marshall Islands	..
Mauritania	..
Mauritius	30.8
Mexico	36.4
Micronesia, Fed. Sts.	18.2
Moldova	..
Monaco	..
Mongolia	40
Montenegro	25.4
Morocco	..
Mozambique	22.1
Myanmar	31.5
Namibia	48.6
Nauru	..
Nepal	13.9
Netherlands	26
New Caledonia	..
New Zealand	..
Nicaragua	53.7
Niger	21.6
Nigeria	28.9
Northern Mariana Islands	..
Norway	36
Oman	..
Pakistan	4.2
Palau	35.5
Panama	43.5
Papua New Guinea	..
Paraguay	..
Peru	..
Philippines	23.2
Poland	38.2
Portugal	30.4
Puerto Rico	..
Qatar	..
Romania	30.1
Russian Federation	39.3
Rwanda	36.3
Samoa	41.6
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	..
Senegal	..
Serbia	30.3
Seychelles	43.8
Sierra Leone	..
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	30.3
Slovenia	41.9
Solomon Islands	25.1
Somalia	..
South Africa	35.2
South Sudan	..
Spain	30.9
Sri Lanka	23.2
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	..
Suriname	..
Sweden	39.4
Switzerland	28.8
Syrian Arab Republic	..
Tajikistan	..
Tanzania	17.3
Thailand	30.8
Timor-Leste	..
Togo	29.5
Tonga	..
Trinidad and Tobago	..
Tunisia	..
Turkey	17.3
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	36.7
Uganda	25.5
Ukraine	..
United Arab Emirates	12.2
United Kingdom	34.4
United States	40.5
Uruguay	35
Uzbekistan	..
Vanuatu	..
Venezuela, RB	..
Vietnam	..
Virgin Islands (U.S.)	..
West Bank and Gaza	15.5
Yemen, Rep.	..
Zambia	28.5
Zimbabwe	..
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	..
Sub-Saharan Africa	..
Low income	..
Lower middle income	..
Upper middle income	..
High income	..
