Country	Total Points
Albania	1325
Algeria	1271
American Samoa	1030
Andorra	749
Angola	1117
Antigua and Barbuda	787
Argentina	1659
Armenia	1103
Aruba	724
Australia	1963
Austria	1792
Azerbaijan	1321
Bahrain	1274
Bangladesh	1008
Barbados	1002
Belarus	1434
Belgium	1819
Belize	824
Bermuda	987
Bhutan	769
Bolivia	1236
Bosnia and Herzegovina	1411
Botswana	848
Brazil	1958
Bulgaria	1303
Cameroon	1455
Canada	1958
Chile	1640
China PR	1867
Chinese Taipei	1589
Colombia	1700
Comoros	731
Congo	1178
Congo DR	1159
Cook Islands	1194
Costa Rica	1644
Croatia	1453
Cuba	1240
Cyprus	1114
Czech Republic	1678
Côte d'Ivoire	1392
Denmark	1851
Dominican Republic	1173
El Salvador	1164
England	1999
Equatorial Guinea	1356
Estonia	1210
Eswatini	822
Ethiopia	1151
Faroe Islands	1259
Fiji	1373
Finland	1671
France	2036
Gabon	1066
Gambia	1143
Georgia	1138
Germany	2090
Ghana	1401
Greece	1396
Guam	1282
Guatemala	1290
Haiti	1391
Honduras	1136
Hong Kong	1329
Hungary	1537
Iceland	1817
India	1432
Indonesia	1222
IR Iran	1358
Israel	1369
Italy	1889
Jamaica	1460
Japan	1937
Jordan	1419
Kazakhstan	1318
Kenya	986
Korea DPR	1940
Korea Republic	1818
Kosovo	1104
Kyrgyz Republic	1118
Latvia	1223
Lebanon	967
Lesotho	850
Lithuania	1169
Luxembourg	1124
Madagascar	691
Malawi	887
Malaysia	1238
Maldives	966
Mali	1276
Malta	1197
Mauritius	357
Mexico	1686
Moldova	1228
Mongolia	1114
Montenegro	1201
Morocco	1289
Mozambique	814
Myanmar	1511
Namibia	956
Nepal	1200
Netherlands	2032
New Caledonia	1208
New Zealand	1757
Nicaragua	1116
Nigeria	1614
North Macedonia	1072
Northern Ireland	1432
Norway	1930
Palestine	1131
Panama	1401
Papua New Guinea	1504
Paraguay	1490
Peru	1376
Philippines	1369
Poland	1683
Portugal	1659
Puerto Rico	1172
Republic of Ireland	1666
Romania	1535
Russia	1708
Rwanda	899
Samoa	1169
Scotland	1804
Senegal	1247
Serbia	1558
Singapore	1089
Slovakia	1501
Slovenia	1471
Solomon Islands	1140
South Africa	1434
Spain	1915
Sri Lanka	968
St. Kitts and Nevis	1050
St. Lucia	982
Suriname	1093
Sweden	2007
Switzerland	1815
Tahiti	1196
Tajikistan	1035
Tanzania	978
Thailand	1596
Tonga	1240
Trinidad and Tobago	1354
Tunisia	1304
Turkey	1365
Uganda	868
Ukraine	1692
United Arab Emirates	1201
Uruguay	1346
US Virgin Islands	843
USA	2181
Uzbekistan	1543
Vanuatu	1131
Venezuela	1425
Vietnam	1657
Wales	1658
Zambia	1198
Zimbabwe	1151
