Country	Survey Year	Informality
Afghanistan	2014	41.5
Albania	2019	44.7
Algeria	2007	66.8
American Samoa	..	..
Andorra	..	..
Angola	2010	41.2
Antigua and Barbuda	2010	78.1
Argentina	2017	72.5
Armenia	2013	16.5
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	2013	19.6
Bahamas, The	2010	67.5
Bahrain	..	..
Bangladesh	2013	39.4
Barbados	2010	49.4
Belarus	2018	20.3
Belgium	..	..
Belize	2010	58.5
Benin	2016	66.8
Bermuda	..	..
Bhutan	2015	7.2
Bolivia	2017	78.9
Bosnia and Herzegovina	2019	42.1
Botswana	2010	54.6
Brazil	2009	69.7
Brunei Darussalam	..	..
Bulgaria	2019	52.4
Burkina Faso	2009	75
Burundi	2014	51.3
Cambodia	2016	77.8
Cameroon	2016	80.3
Canada	..	..
Cabo Verde	2009	44.5
Cayman Islands	..	..
Central African Republic	2011	66.7
Chad	2018	80
Channel Islands	..	..
Chile	2010	55.8
China	2012	57.7
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	2017	66.1
Comoros	..	..
Congo, Dem. Rep.	2013	78.4
Congo, Rep.	2009	69.7
Costa Rica	2010	70.4
Cote d'Ivoire	2016	75.6
Croatia	2019	17.1
Cuba	..	..
Curacao	..	..
Cyprus	2019	44
Czech Republic	2019	24.6
Denmark	..	..
Djibouti	2013	22.2
Dominica	2010	10.7
Dominican Republic	2016	61.1
Ecuador	2017	67.1
Egypt, Arab Rep.	2016	43
El Salvador	2016	67.7
Equatorial Guinea	..	..
Eritrea	2009	28.2
Estonia	2019	29.9
Ethiopia	2015	23.1
Faroe Islands	..	..
Fiji	2009	39.6
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	2009	76
Gambia, The	2018	71.1
Georgia	2019	22.4
Germany	2005	..
Ghana	2013	69.4
Greece	2018	41.9
Greenland	..	..
Grenada	2010	72.5
Guam	..	..
Guatemala	2017	77.1
Guinea	2016	75.7
Guinea-Bissau	2006	53.7
Guyana	2010	59.8
Haiti	..	..
Honduras	2016	72.5
Hungary	2019	13.7
Iceland	..	..
India	2014	50.1
Indonesia	2015	65
Iran, Islamic Rep.	..	..
Iraq	2011	49.3
Ireland	2005	..
Isle of Man	..	..
Israel	2013	17.4
Italy	2019	22.2
Jamaica	2010	66.4
Japan	..	..
Jordan	2019	48.6
Kazakhstan	2019	39.2
Kenya	2018	68.8
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2005	..
Kosovo	2019	18.7
Kuwait	..	..
Kyrgyz Republic	2019	51.4
Lao PDR	2018	39.9
Latvia	2019	37.4
Lebanon	2019	56.3
Lesotho	2016	68.1
Liberia	2017	68.7
Libya	..	..
Liechtenstein	..	..
Lithuania	2019	47.3
Luxembourg	..	..
North Macedonia	2019	54.5
Madagascar	2013	71.7
Malawi	2014	71.7
Malaysia	2015	39.8
Maldives	..	..
Mali	2016	79.5
Malta	2019	26.8
Marshall Islands	..	..
Mauritania	2014	78.5
Mauritius	2009	51
Mexico	2010	70.3
Micronesia, Fed. Sts.	2009	41.1
Moldova	2019	41
Monaco	..	..
Mongolia	2019	22.3
Montenegro	2019	57.5
Morocco	2019	47.2
Mozambique	2018	58
Myanmar	2016	31.5
Namibia	2014	41.7
Nepal	2013	55.7
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	2016	72.9
Niger	2017	85.1
Nigeria	2014	46.2
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	2013	46.5
Palau	..	..
Panama	2010	51.4
Papua New Guinea	2015	72.3
Paraguay	2017	72.3
Peru	2017	75.9
Philippines	2015	30.9
Poland	2019	27.4
Portugal	2019	47
Puerto Rico	..	..
Qatar	..	..
Romania	2013	34.6
Russian Federation	2019	28.2
Rwanda	2019	29.6
Samoa	2009	63.6
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	..
Senegal	2014	76.4
Serbia	2019	49.7
Seychelles	..	..
Sierra Leone	2017	62.5
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	2019	39.5
Slovenia	2019	18.2
Solomon Islands	2015	59.7
Somalia	..	..
South Africa	2007	45.3
South Sudan	2014	69.8
Spain	2005	..
Sri Lanka	2011	47.4
St. Kitts and Nevis	2010	65.4
St. Lucia	2010	18.2
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2010	65
Sudan	2014	90.5
Suriname	2018	54.6
Eswatini	2016	73.5
Sweden	2014	29.7
Switzerland	..	..
Syrian Arab Republic	2009	52.6
Tajikistan	2019	11.8
Tanzania	2013	72.6
Thailand	2016	25.1
Timor-Leste	2015	56.8
Togo	2016	68.7
Tonga	2009	86.8
Trinidad and Tobago	2010	69.2
Tunisia	2013	45.2
Turkey	2019	50.2
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	2013	95.2
Ukraine	2019	50.3
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	2017	67.9
Uzbekistan	2019	21.5
Vanuatu	2009	39.9
Venezuela, RB	2010	29.8
Vietnam	2015	49.5
Virgin Islands (U.S.)	..	..
West Bank and Gaza	2019	63.9
Yemen, Rep.	2013	43
Zambia	2019	65.4
Zimbabwe	2016	73.9
