Country	Sq.Km (1990)	Sq.Km (2016)
Afghanistan	14	14
Albania	8	8
Algeria	17	20
American Samoa	0	0
Andorra	0	0
Angola	610	577
Antigua and Barbuda	0	0
Argentina	348	268
Armenia	3	3
Aruba	0	0
Australia	1285	1251
Austria	38	39
Azerbaijan	9	12
Bahamas, The	5	5
Bahrain	0	0
Bangladesh	15	14
Barbados	0	0
Belarus	78	87
Belgium	7	7
Belize	16	14
Benin	58	43
Bermuda	0	0
Bhutan	25	28
Bolivia	628	545
Bosnia and Herzegovina	22	22
Botswana	137	107
Brazil	5467	4926
Brunei Darussalam	4	4
Bulgaria	33	38
Burkina Faso	68	53
Burundi	3	3
Cabo Verde	1	1
Cambodia	129	93
Cameroon	243	186
Canada	3483	3470
Cayman Islands	0	0
Central African Republic	226	222
Chad	67	47
Channel Islands	0	0
Chile	153	180
China	1571	2099
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	644	585
Comoros	0	0
Congo, Dem. Rep.	1604	1523
Congo, Rep.	227	223
Costa Rica	26	28
Cote d'Ivoire	102	104
Croatia	19	19
Cuba	21	33
Curacao	..	..
Cyprus	2	2
Czech Republic	26	27
Denmark	5	6
Djibouti	0	0
Dominica	1	0
Dominican Republic	11	20
Ecuador	146	125
Egypt, Arab Rep.	0	1
El Salvador	4	3
Equatorial Guinea	19	16
Eritrea	16	15
Estonia	22	22
Eswatini	5	6
Ethiopia	147	125
Faroe Islands	0	0
Fiji	10	10
Finland	219	222
France	144	171
French Polynesia	1	2
Gabon	220	232
Gambia, The	4	5
Georgia	28	28
Germany	113	114
Ghana	86	94
Greece	33	41
Greenland	0	0
Grenada	0	0
Guam	0	0
Guatemala	47	35
Guinea	73	63
Guinea-Bissau	22	20
Guyana	167	165
Haiti	1	1
Honduras	81	45
Hungary	18	21
Iceland	0	1
India	639	709
Indonesia	1185	903
Iran, Islamic Rep.	91	107
Iraq	8	8
Ireland	5	8
Isle of Man	0	0
Israel	1	2
Italy	76	94
Jamaica	3	3
Japan	250	250
Jordan	1	1
Kazakhstan	34	33
Kenya	47	44
Kiribati	0	0
Korea, Dem. Peopleâ€™s Rep.	82	49
Korea, Rep.	64	62
Kosovo	..	..
Kuwait	0	0
Kyrgyz Republic	8	6
Lao PDR	176	190
Latvia	32	34
Lebanon	1	1
Lesotho	0	1
Liberia	49	41
Libya	2	2
Liechtenstein	0	0
Lithuania	19	22
Luxembourg	1	1
North Macedonia	9	10
Madagascar	137	125
Malawi	39	31
Malaysia	224	222
Maldives	0	0
Mali	67	46
Malta	0	0
Marshall Islands	0	0
Mauritania	4	2
Mauritius	0	0
Mexico	698	659
Micronesia, Fed. Sts.	1	1
Moldova	3	4
Monaco	..	..
Mongolia	125	125
Montenegro	6	8
Morocco	50	56
Mozambique	434	377
Myanmar	392	285
Namibia	88	68
Nepal	48	36
Netherlands	3	4
New Caledonia	8	8
New Zealand	97	102
Nicaragua	45	31
Niger	19	11
Nigeria	172	66
Northern Mariana Islands	0	0
Norway	121	121
Oman	0	0
Pakistan	25	14
Palau	0	0
Panama	50	46
Papua New Guinea	336	336
Paraguay	212	150
Peru	779	738
Philippines	66	83
Poland	89	95
Portugal	34	32
Puerto Rico	3	5
Qatar	0	0
Romania	64	69
Russian Federation	8090	8149
Rwanda	3	5
Samoa	1	2
San Marino	0	0
Sao Tome and Principe	1	1
Saudi Arabia	10	10
Senegal	93	82
Serbia	25	27
Seychelles	0	0
Sierra Leone	31	31
Singapore	0	0
Sint Maarten (Dutch part)	..	..
Slovak Republic	19	19
Slovenia	12	12
Solomon Islands	23	22
Somalia	83	63
South Africa	92	92
South Sudan	..	72
Spain	138	185
Sri Lanka	23	21
St. Kitts and Nevis	0	0
St. Lucia	0	0
St. Martin (French part)	0	0
St. Vincent and the Grenadines	0	0
Sudan	..	190
Suriname	154	153
Sweden	281	281
Switzerland	12	13
Syrian Arab Republic	4	5
Tajikistan	4	4
Tanzania	559	457
Thailand	140	164
Timor-Leste	10	7
Togo	7	2
Tonga	0	0
Trinidad and Tobago	2	2
Tunisia	6	11
Turkey	96	118
Turkmenistan	41	41
Turks and Caicos Islands	0	0
Tuvalu	0	0
Uganda	48	19
Ukraine	93	97
United Arab Emirates	2	3
United Kingdom	28	32
United States	3025	3104
Uruguay	8	19
Uzbekistan	30	32
Vanuatu	4	4
Venezuela, RB	520	465
Vietnam	94	149
Virgin Islands (U.S.)	0	0
West Bank and Gaza	0	0
Yemen, Rep.	5	5
Zambia	528	485
Zimbabwe	222	137
World	41283	39958
East Asia & Pacific	6280	6421
Europe & Central Asia	10200	10439
Latin America & Caribbean	10242	9251
Middle East & North Africa	199	232
North America	6507	6574
South Asia	789	835
Sub-Saharan Africa	6516	6115
Low income	3110	3168
Lower middle income	6058	5474
Upper middle income	21533	20989
High income	10033	10237
