Country	Index % (2010)	Index % (2019)
Afghanistan	..	..
Albania	..	..
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	..	..
Antigua and Barbuda	..	..
Argentina	55.3	32.5
Armenia	..	..
Aruba	..	..
Australia	12.5	18.3
Austria	10.9	15.6
Azerbaijan	..	..
Bahamas, The	..	..
Bahrain	10	37.1
Bangladesh	37.6	-18.2
Barbados	..	..
Belarus	..	..
Belgium	0.5	23.1
Belize	..	..
Benin	..	..
Bermuda	..	..
Bhutan	..	..
Bolivia	..	..
Bosnia and Herzegovina	..	..
Botswana	-6.8	-7.3
Brazil	6.5	26
Brunei Darussalam	..	..
Bulgaria	-15.2	-7.1
Burkina Faso	..	..
Burundi	..	..
Cambodia	..	..
Cameroon	..	..
Canada	22	25.3
Cabo Verde	..	..
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	47.2	-18.5
China	6.9	19.3
Hong Kong SAR, China	21.3	5.1
Macao SAR, China	..	..
Colombia	44.1	27.2
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	..	..
Costa Rica	..	..
Cote d'Ivoire	19.3	-7.9
Croatia	-0.4	13.4
Cuba	..	..
Curacao	..	..
Cyprus	-71.9	-10.1
Czech Republic	0.2	-0.8
Denmark	25.1	25.3
Djibouti	..	..
Dominica	..	..
Dominican Republic	..	..
Ecuador	9.7	22.6
Egypt, Arab Rep.	11.5	25.4
El Salvador	..	..
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	56	3.4
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	10.7	8
France	-9.9	26.5
French Polynesia	..	..
Gabon	..	..
Gambia, The	..	..
Georgia	..	..
Germany	7.4	25.5
Ghana	94.1	-23.6
Greece	-43.8	46.3
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	..	..
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	..	..
Hungary	-10.8	13.8
Iceland	..	..
India	18.7	6.1
Indonesia	37.9	7.1
Iran, Islamic Rep.	..	..
Iraq	..	..
Ireland	-7.7	30
Isle of Man	..	..
Israel	7.4	18.4
Italy	-17.4	24.5
Jamaica	22.4	26.8
Japan	9.6	18.2
Jordan	-8.6	-5.7
Kazakhstan	-1	0.2
Kenya	33.8	26.6
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	25.3	7.2
Kosovo	..	..
Kuwait	29.1	26.9
Kyrgyz Republic	..	..
Lao PDR	..	..
Latvia	39.4	48.6
Lebanon	-8.7	-18.1
Lesotho	..	..
Liberia	..	..
Libya	..	..
Liechtenstein	..	..
Lithuania	44	12.1
Luxembourg	-3.3	-10.9
North Macedonia	..	..
Madagascar	..	..
Malawi	..	..
Malaysia	35.1	-1
Maldives	..	..
Mali	..	..
Malta	..	..
Marshall Islands	..	..
Mauritania	..	..
Mauritius	8.2	-0.4
Mexico	26.6	9.9
Micronesia, Fed. Sts.	..	..
Moldova	..	..
Monaco	..	..
Mongolia	..	..
Montenegro	..	..
Morocco	13.1	8
Mozambique	..	..
Myanmar	..	..
Namibia	2020.2	-2.2
Nepal	..	..
Netherlands	1.2	30.6
New Caledonia	..	..
New Zealand	5.2	30.7
Nicaragua	..	..
Niger	..	..
Nigeria	20.3	-19.7
Northern Mariana Islands	..	..
Norway	13.7	10
Oman	12.2	-5.3
Pakistan	15.3	-6.6
Palau	..	..
Panama	12.8	15.8
Papua New Guinea	..	..
Paraguay	..	..
Peru	51.3	2.2
Philippines	56.7	7.7
Poland	11.3	-5.6
Portugal	-16.6	13.4
Puerto Rico	..	..
Qatar	27.7	-1.9
Romania	-6.6	29.3
Russian Federation	21.7	41.8
Rwanda	..	..
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	9	6.6
Senegal	..	..
Serbia	..	..
Seychelles	..	..
Sierra Leone	..	..
Singapore	18.4	13.5
Sint Maarten (Dutch part)	..	..
Slovak Republic	5.4	13.4
Slovenia	-20.3	15.2
Solomon Islands	..	..
Somalia	..	..
South Africa	32.1	8.6
South Sudan	..	..
Spain	-24.5	8.6
Sri Lanka	84.6	-4
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	..	..
Suriname	..	..
Eswatini	..	..
Sweden	32.6	23.1
Switzerland	11	29.2
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	..	..
Thailand	52.1	11.9
Timor-Leste	..	..
Togo	..	..
Tonga	..	..
Trinidad and Tobago	0.8	11.2
Tunisia	11.7	3
Turkey	21.4	12
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	..
Ukraine	53.8	-12
United Arab Emirates	-6.8	0.8
United Kingdom	5.2	12.8
United States	12.8	28.5
Uruguay	..	..
Uzbekistan	..	..
Vanuatu	..	..
Venezuela, RB	..	..
Vietnam	0.5	3.6
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	..	..
Zambia	17.4	-37.4
Zimbabwe	..	..
World	..	..
East Asia & Pacific	..	..
Europe & Central Asia	..	..
Latin America & Caribbean	..	..
Middle East & North Africa	..	..
North America	..	..
South Asia	..	..
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	..	..
Upper middle income	..	..
High income	..	..
