Country	Exports (2010)	Exports (2019)
Afghanistan	2566	1509
Albania	3324	4815
Algeria	60588	37572
American Samoa	..	..
Andorra	..	..
Angola	51452	35180
Antigua and Barbuda	524	1152
Argentina	81123	79339
Armenia	2211	5274
Aruba	1825	2542
Australia	260249	342651
Austria	197755	246776
Azerbaijan	28235	23630
Bahamas, The	3196	4379
Bahrain	17880	30097
Bangladesh	21654	45188
Barbados	2055	..
Belarus	29339	41931
Belgium	369295	431902
Belize	830	1077
Benin	1660	3848
Bermuda	1416	1578
Bhutan	590	745
Bolivia	6837	10271
Bosnia and Herzegovina	5094	8074
Botswana	5273	7341
Brazil	231996	259792
Brunei Darussalam	9262	7828
Bulgaria	25304	43168
Burkina Faso	1891	4511
Burundi	181	285
Cabo Verde	630	1008
Cambodia	5931	21073
Cameroon	5613	7301
Canada	469288	548717
Cayman Islands	..	3937
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	81956	85725
China	1603944	2643377
Hong Kong SAR, China	469442	648982
Macao SAR, China	24690	45582
Colombia	45883	52362
Comoros	88	152
Congo, Dem. Rep.	8867	16082
Congo, Rep.	9002	..
Costa Rica	12514	21126
Cote d'Ivoire	12606	13043
Croatia	21500	31073
Cuba	..	..
Curacao	2102	1921
Cyprus	12939	17182
Czech Republic	137030	186049
Denmark	162707	194853
Djibouti	421	4562
Dominica	174	162
Dominican Republic	12271	20564
Ecuador	19609	26059
Egypt, Arab Rep.	48831	53523
El Salvador	4971	7983
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	14647	22820
Eswatini	2063	2070
Ethiopia	4644	7624
Faroe Islands	1026	..
Fiji	1807	2644
Finland	95827	107421
France	709353	882761
French Polynesia	1124	..
Gabon	9340	..
Gambia, The	271	348
Georgia	4034	9545
Germany	1443338	1810933
Ghana	9437	22515
Greece	59905	81184
Greenland	..	..
Grenada	184	650
Guam	..	..
Guatemala	9600	13582
Guinea	1534	4082
Guinea-Bissau	171	380
Guyana	1133	1597
Haiti	1016	1778
Honduras	4939	7370
Hungary	107223	134146
Iceland	7137	10955
India	348035	545706
Indonesia	166636	200100
Iran, Islamic Rep.	..	..
Iraq	54594	88903
Ireland	207840	492706
Isle of Man	..	..
Israel	81456	114221
Italy	535849	632619
Jamaica	4004	5806
Japan	869990	904883
Jordan	12752	15053
Kazakhstan	65511	65596
Kenya	8983	10440
Kiribati	19	19
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	546783	669594
Kosovo	1152	2313
Kuwait	76140	85199
Kyrgyz Republic	2202	2734
Lao PDR	2257	6216
Latvia	12853	20434
Lebanon	20729	19140
Lesotho	924	1045
Liberia	325	527
Libya	49345	29964
Liechtenstein	..	..
Lithuania	23727	42326
Luxembourg	82201	133595
Madagascar	2118	4346
Malawi	1223	1118
Malaysia	222012	246469
Maldives	2007	3693
Mali	2436	4184
Malta	13392	20809
Marshall Islands	55	129
Mauritania	2786	2062
Mauritius	4957	5551
Mexico	314349	491674
Micronesia, Fed. Sts.	92	..
Moldova	1953	3651
Monaco	..	..
Mongolia	3394	8416
Montenegro	1497	2416
Morocco	27045	44032
Mozambique	2578	5975
Myanmar	7704	15765
Namibia	4597	4524
Nepal	1572	2678
Netherlands	602372	750172
New Caledonia	1940	..
New Zealand	43295	56779
Nicaragua	3545	5512
Niger	1271	1450
Nigeria	82699	67908
North Macedonia	3606	7777
Northern Mariana Islands	..	..
Norway	170572	147268
Oman	38408	46186
Pakistan	28056	30566
Palau	96	143
Panama	20558	28312
Papua New Guinea	6058	10597
Paraguay	11089	13267
Peru	39076	56119
Philippines	54554	94356
Poland	191942	329839
Portugal	72003	104620
Puerto Rico	..	..
Qatar	121838	92015
Romania	53728	100900
Russian Federation	441833	481493
Rwanda	684	2043
Samoa	195	306
San Marino	..	..
Sao Tome and Principe	24	98
Saudi Arabia	261831	285712
Senegal	3216	5287
Serbia	12594	26183
Seychelles	841	1634
Sierra Leone	417	755
Singapore	474817	645612
Sint Maarten (Dutch part)	1027	810
Slovak Republic	68029	99209
Slovenia	30923	45387
Solomon Islands	316	588
Somalia	..	..
South Africa	107735	104846
South Sudan	..	3095
Spain	368536	486053
Sri Lanka	11100	20264
St. Kitts and Nevis	208	605
St. Lucia	609	1217
St. Martin (French part)	..	..
St. Vincent and the Grenadines	183	316
Sudan	11646	4996
Suriname	2326	2340
Sweden	220277	249702
Switzerland	372128	458921
Syrian Arab Republic	19606	..
Tajikistan	842	1243
Tanzania	6370	8394
Thailand	227243	324991
Timor-Leste	95	117
Togo	1298	1703
Tonga	45	112
Trinidad and Tobago	12094	11333
Tunisia	22125	19418
Turkey	157441	247180
Turkmenistan	..	..
Turks and Caicos Islands	..	827
Tuvalu	14	..
Uganda	3468	6125
Ukraine	65626	63421
United Arab Emirates	..	..
United Kingdom	700322	891875
United States	1853035	2498032
Uruguay	10719	16008
Uzbekistan	..	16994
Vanuatu	325	517
Venezuela, RB	68731	..
Vietnam	79697	258488
Virgin Islands (U.S.)	..	..
West Bank and Gaza	1367	2903
Yemen, Rep.	9271	..
Zambia	8054	8242
Zimbabwe	3569	4715
World	18910070	24828684
East Asia & Pacific	5403501	7536083
Europe & Central Asia	7940072	10234431
Latin America & Caribbean	1109951	1391264
Middle East & North Africa	..	..
North America	2323739	3048325
South Asia	415581	650755
Sub-Saharan Africa	413063	439249
Low income	100163	..
Lower middle income	1045727	1565500
Upper middle income	4259310	5932902
High income	13508699	17226868
