Country	Expenditure % (2010)	Expenditure % (2018)
Afghanistan	0	0
Albania	14	10
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	6	16
Antigua and Barbuda	..	..
Argentina	..	13
Armenia	4	10
Aruba	..	..
Australia	2	4
Austria	6	4
Azerbaijan	0	4
Bahamas, The	13	14
Bahrain	..	..
Bangladesh	20	20
Barbados	16	23
Belarus	2	6
Belgium	7	5
Belize	15	10
Benin	..	..
Bermuda	..	..
Bhutan	11	6
Bolivia	10	..
Bosnia and Herzegovina	1	2
Botswana	2	2
Brazil	23	24
Brunei Darussalam	..	..
Bulgaria	2	2
Burkina Faso	4	6
Burundi	..	..
Cabo Verde	6	9
Cambodia	2	2
Cameroon	3	7
Canada	9	6
Cayman Islands	..	..
Central African Republic	5	2
Chad	..	..
Channel Islands	..	..
Chile	2	4
China	..	..
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	11	10
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	8	12
Costa Rica	8	12
Cote d'Ivoire	11	9
Croatia	6	6
Cuba	..	..
Curacao	..	..
Cyprus	5	6
Czech Republic	4	2
Denmark	4	3
Djibouti	..	..
Dominica	..	..
Dominican Republic	13	16
Ecuador	..	..
Egypt, Arab Rep.	18	24
El Salvador	11	11
Equatorial Guinea	4	6
Eritrea	..	..
Estonia	0	0
Eswatini	..	..
Ethiopia	3	5
Faroe Islands	..	..
Fiji	16	10
Finland	3	2
France	5	4
French Polynesia	..	..
Gabon	6	18
Gambia, The	18	..
Georgia	4	5
Germany	5	2
Ghana	16	29
Greece	12	7
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	11	12
Guinea	..	..
Guinea-Bissau	..	5
Guyana	..	..
Haiti	..	..
Honduras	4	8
Hungary	9	6
Iceland	13	8
India	18	21
Indonesia	9	12
Iran, Islamic Rep.	1	..
Iraq	..	3
Ireland	5	7
Isle of Man	..	..
Israel	11	6
Italy	10	8
Jamaica	39	24
Japan	10	9
Jordan	8	12
Kazakhstan	2	6
Kenya	..	15
Kiribati	3	0
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	6	4
Kosovo	..	..
Kuwait	0	..
Kyrgyz Republic	..	4
Lao PDR	..	..
Latvia	4	3
Lebanon	39	34
Lesotho	1	3
Liberia	5	..
Libya	..	..
Liechtenstein	..	..
Lithuania	5	3
Luxembourg	1	1
Madagascar	9	8
Malawi	11	18
Malaysia	10	13
Maldives	7	..
Mali	3	7
Malta	8	4
Marshall Islands	1	0
Mauritania	..	..
Mauritius	11	7
Mexico	11	13
Micronesia, Fed. Sts.	1	1
Moldova	2	3
Monaco	..	..
Mongolia	2	14
Montenegro	..	..
Morocco	8	10
Mozambique	4	15
Myanmar	13	10
Namibia	4	10
Nepal	5	2
Netherlands	4	2
New Caledonia	..	..
New Zealand	4	4
Nicaragua	7	7
Niger	..	..
Nigeria	..	..
North Macedonia	2	4
Northern Mariana Islands	..	..
Norway	2	1
Oman	..	..
Pakistan	..	..
Palau	1	0
Panama	..	..
Papua New Guinea	..	13
Paraguay	2	4
Peru	7	6
Philippines	23	13
Poland	6	4
Portugal	7	9
Puerto Rico	..	..
Qatar	..	..
Romania	4	4
Russian Federation	2	3
Rwanda	..	6
Samoa	3	3
San Marino	1	1
Sao Tome and Principe	..	..
Saudi Arabia	2	2
Senegal	..	11
Serbia	3	..
Seychelles	19	9
Sierra Leone	..	..
Singapore	0	0
Sint Maarten (Dutch part)	..	..
Slovak Republic	3	3
Slovenia	4	5
Solomon Islands	1	0
Somalia	..	..
South Africa	8	11
South Sudan	..	..
Spain	8	11
Sri Lanka	33	36
St. Kitts and Nevis	25	6
St. Lucia	13	16
St. Martin (French part)	..	..
St. Vincent and the Grenadines	11	9
Sudan	7	5
Suriname	..	..
Sweden	3	1
Switzerland	3	1
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	5	11
Thailand	7	5
Timor-Leste	0	0
Togo	6	13
Tonga	3	3
Trinidad and Tobago	8	7
Tunisia	7	..
Turkey	11	8
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	16
Ukraine	4	10
United Arab Emirates	..	..
United Kingdom	7	7
United States	10	12
Uruguay	8	8
Uzbekistan	0	0
Vanuatu	2	4
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	1	2
Yemen, Rep.	..	..
Zambia	11	34
Zimbabwe	2	10
World	5	6
East Asia & Pacific	6	7
Europe & Central Asia	4	4
Latin America & Caribbean	8	12
Middle East & North Africa	..	..
North America	9	9
South Asia	18	11
Sub-Saharan Africa	6	10
Low income	..	..
Lower middle income	7	10
Upper middle income	7	10
High income	5	4
