Country	Revenue % (2010)	Revenue % (2018)
Afghanistan	3	5
Albania	15	17
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	34	39
Antigua and Barbuda	..	..
Argentina	12	10
Armenia	19	40
Aruba	..	..
Australia	61	65
Austria	26	28
Azerbaijan	10	11
Bahamas, The	..	..
Bahrain	..	..
Bangladesh	20	25
Barbados	32	30
Belarus	7	3
Belgium	35	34
Belize	31	24
Benin	..	..
Bermuda	..	..
Bhutan	23	23
Bolivia	10	..
Bosnia and Herzegovina	6	8
Botswana	29	30
Brazil	23	24
Brunei Darussalam	..	..
Bulgaria	16	16
Burkina Faso	15	22
Burundi	..	..
Cabo Verde	17	19
Cambodia	10	18
Cameroon	24	21
Canada	53	55
Cayman Islands	..	..
Central African Republic	9	5
Chad	..	..
Channel Islands	..	..
Chile	27	37
China	23	19
Hong Kong SAR, China	..	..
Macao SAR, China	4	6
Colombia	17	25
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	5	13
Costa Rica	16	16
Cote d'Ivoire	20	25
Croatia	8	7
Cuba	..	..
Curacao	..	..
Cyprus	25	23
Czech Republic	14	16
Denmark	41	43
Djibouti	..	..
Dominica	..	..
Dominican Republic	19	26
Ecuador	..	..
Egypt, Arab Rep.	25	24
El Salvador	25	27
Equatorial Guinea	25	22
Eritrea	..	..
Estonia	17	20
Eswatini	..	..
Ethiopia	14	22
Faroe Islands	..	..
Fiji	29	25
Finland	15	16
France	23	27
French Polynesia	..	..
Gabon	21	29
Gambia, The	18	..
Georgia	31	34
Germany	15	18
Ghana	25	39
Greece	18	19
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	28	33
Guinea	..	..
Guinea-Bissau	..	14
Guyana	..	..
Haiti	..	..
Honduras	20	23
Hungary	19	16
Iceland	22	25
India	43	44
Indonesia	36	39
Iran, Islamic Rep.	19	..
Iraq	..	5
Ireland	36	43
Isle of Man	..	..
Israel	27	32
Italy	33	31
Jamaica	37	27
Japan	46	49
Jordan	13	12
Kazakhstan	36	31
Kenya	..	37
Kiribati	11	7
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	28	30
Kosovo	..	..
Kuwait	1	..
Kyrgyz Republic	..	11
Lao PDR	..	..
Latvia	7	7
Lebanon	18	28
Lesotho	22	25
Liberia	25	..
Libya	..	..
Liechtenstein	..	..
Lithuania	14	17
Luxembourg	29	32
Madagascar	20	18
Malawi	26	42
Malaysia	46	51
Maldives	4	..
Mali	22	24
Malta	31	34
Marshall Islands	11	11
Mauritania	..	..
Mauritius	20	21
Mexico	28	38
Micronesia, Fed. Sts.	4	43
Moldova	1	13
Monaco	..	..
Mongolia	27	17
Montenegro	..	..
Morocco	30	33
Mozambique	21	40
Myanmar	8	11
Namibia	42	36
Nepal	16	23
Netherlands	26	29
New Caledonia	..	..
New Zealand	51	53
Nicaragua	27	40
Niger	..	..
Nigeria	..	..
North Macedonia	75	18
Northern Mariana Islands	..	..
Norway	31	25
Oman	..	..
Pakistan	..	..
Palau	8	9
Panama	..	..
Papua New Guinea	..	43
Paraguay	11	14
Peru	30	30
Philippines	40	37
Poland	13	13
Portugal	21	24
Puerto Rico	..	..
Qatar	..	..
Romania	18	15
Russian Federation	2	2
Rwanda	..	23
Samoa	17	15
San Marino	16	17
Sao Tome and Principe	..	..
Saudi Arabia	1	2
Senegal	..	19
Serbia	9	..
Seychelles	26	34
Sierra Leone	..	..
Singapore	34	33
Sint Maarten (Dutch part)	..	..
Slovak Republic	16	18
Slovenia	11	12
Solomon Islands	26	22
Somalia	..	3
South Africa	49	48
South Sudan	..	..
Spain	36	34
Sri Lanka	16	16
St. Kitts and Nevis	17	16
St. Lucia	27	23
St. Martin (French part)	..	..
St. Vincent and the Grenadines	22	25
Sudan	5	6
Suriname	..	..
Sweden	15	16
Switzerland	22	25
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	19	26
Thailand	33	31
Timor-Leste	35	24
Togo	10	14
Tonga	12	11
Trinidad and Tobago	50	22
Tunisia	27	..
Turkey	17	19
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	30
Ukraine	11	16
United Arab Emirates	..	..
United Kingdom	36	33
United States	48	51
Uruguay	18	22
Uzbekistan	20	18
Vanuatu	..	..
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	4	5
Yemen, Rep.	..	..
Zambia	40	36
Zimbabwe	30	33
World	22	25
East Asia & Pacific	35	37
Europe & Central Asia	18	18
Latin America & Caribbean	24	27
Middle East & North Africa	..	..
North America	50	53
South Asia	16	19
Sub-Saharan Africa	21	25
Low income	..	..
Lower middle income	25	25
Upper middle income	21	26
High income	24	25
