Country	Revenue % (2010)	Revenue % (2018)
Afghanistan	3	9
Albania	56	53
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	6	7
Antigua and Barbuda	..	..
Argentina	29	33
Armenia	43	40
Aruba	..	..
Australia	24	20
Austria	27	27
Azerbaijan	14	18
Bahamas, The	29	62
Bahrain	..	..
Bangladesh	30	32
Barbados	45	46
Belarus	32	27
Belgium	25	26
Belize	32	48
Benin	..	..
Bermuda	..	..
Bhutan	12	24
Bolivia	49	..
Bosnia and Herzegovina	45	44
Botswana	15	14
Brazil	23	21
Brunei Darussalam	..	..
Bulgaria	45	42
Burkina Faso	36	45
Burundi	..	..
Cabo Verde	27	30
Cambodia	35	48
Cameroon	30	43
Canada	..	..
Cayman Islands	..	..
Central African Republic	31	12
Chad	..	..
Channel Islands	..	..
Chile	45	47
China	63	33
Hong Kong SAR, China	..	..
Macao SAR, China	89	83
Colombia	27	27
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	5	12
Costa Rica	33	27
Cote d'Ivoire	21	37
Croatia	46	48
Cuba	..	..
Curacao	..	..
Cyprus	34	38
Czech Republic	29	29
Denmark	37	37
Djibouti	..	..
Dominica	..	..
Dominican Republic	57	52
Ecuador	..	..
Egypt, Arab Rep.	24	26
El Salvador	40	40
Equatorial Guinea	2	7
Eritrea	..	..
Estonia	35	37
Eswatini	..	..
Ethiopia	9	30
Faroe Islands	..	..
Fiji	41	46
Finland	37	39
France	22	23
French Polynesia	..	..
Gabon	7	10
Gambia, The	32	..
Georgia	51	56
Germany	25	21
Ghana	28	32
Greece	31	33
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	57	55
Guinea	..	..
Guinea-Bissau	..	24
Guyana	..	..
Haiti	..	..
Honduras	41	48
Hungary	37	38
Iceland	30	29
India	22	32
Indonesia	31	36
Iran, Islamic Rep.	4	..
Iraq	..	1
Ireland	33	31
Isle of Man	..	..
Israel	35	34
Italy	23	24
Jamaica	42	48
Japan	37	35
Jordan	45	39
Kazakhstan	15	21
Kenya	..	31
Kiribati	0	12
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	28	21
Kosovo	..	..
Kuwait	0	1
Kyrgyz Republic	..	39
Lao PDR	..	..
Latvia	38	44
Lebanon	46	35
Lesotho	24	31
Liberia	17	..
Libya	..	..
Liechtenstein	..	..
Lithuania	34	34
Luxembourg	30	28
Madagascar	43	43
Malawi	30	38
Malaysia	17	19
Maldives	11	..
Mali	30	46
Malta	37	35
Marshall Islands	9	10
Mauritania	..	..
Mauritius	55	58
Mexico	26	29
Micronesia, Fed. Sts.	4	3
Moldova	48	47
Monaco	..	..
Mongolia	29	32
Montenegro	..	..
Morocco	46	45
Mozambique	36	33
Myanmar	11	24
Namibia	24	21
Nepal	41	46
Netherlands	27	27
New Caledonia	..	..
New Zealand	27	29
Nicaragua	52	45
Niger	..	..
Nigeria	..	..
North Macedonia	41	43
Northern Mariana Islands	..	..
Norway	25	25
Oman	..	..
Pakistan	..	..
Palau	14	25
Panama	..	..
Papua New Guinea	..	25
Paraguay	40	40
Peru	39	37
Philippines	24	27
Poland	38	37
Portugal	31	33
Puerto Rico	..	..
Qatar	..	..
Romania	36	33
Russian Federation	21	22
Rwanda	..	30
Samoa	45	47
San Marino	25	20
Sao Tome and Principe	..	..
Saudi Arabia	3	23
Senegal	..	35
Serbia	45	..
Seychelles	38	50
Sierra Leone	..	..
Singapore	26	21
Sint Maarten (Dutch part)	..	..
Slovak Republic	30	30
Slovenia	35	35
Solomon Islands	20	15
Somalia	..	25
South Africa	35	34
South Sudan	..	..
Spain	43	47
Sri Lanka	43	55
St. Kitts and Nevis	15	24
St. Lucia	15	35
St. Martin (French part)	..	..
St. Vincent and the Grenadines	46	43
Sudan	25	60
Suriname	..	..
Sweden	39	38
Switzerland	33	30
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	32	43
Thailand	40	42
Timor-Leste	1	6
Togo	36	40
Tonga	35	33
Trinidad and Tobago	16	19
Tunisia	33	..
Turkey	39	35
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	49
Ukraine	31	44
United Arab Emirates	7	1
United Kingdom	32	33
United States	3	3
Uruguay	40	28
Uzbekistan	27	45
Vanuatu	47	35
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	34	44
Yemen, Rep.	..	..
Zambia	30	38
Zimbabwe	29	41
World	32	34
East Asia & Pacific	28	27
Europe & Central Asia	34	35
Latin America & Caribbean	40	38
Middle East & North Africa	32	30
North America	3	3
South Asia	30	39
Sub-Saharan Africa	29	34
Low income	..	..
Lower middle income	30	39
Upper middle income	39	35
High income	32	33
