Country	GCF (2010)	GCF (2019)
Afghanistan	18	18
Albania	30	25
Algeria	41	44
American Samoa	..	..
Andorra	..	..
Angola	28	18
Antigua and Barbuda	..	..
Argentina	18	18
Armenia	39	17
Aruba	29	21
Australia	27	23
Austria	23	25
Azerbaijan	18	20
Bahamas, The	28	25
Bahrain	27	36
Bangladesh	26	32
Barbados	16	16
Belarus	41	29
Belgium	23	25
Belize	16	19
Benin	16	26
Bermuda	13	..
Bhutan	63	47
Bolivia	17	20
Bosnia and Herzegovina	16	21
Botswana	41	33
Brazil	22	15
Brunei Darussalam	24	39
Bulgaria	23	19
Burkina Faso	22	26
Burundi	17	12
Cabo Verde	48	35
Cambodia	17	24
Cameroon	23	24
Canada	24	23
Cayman Islands	..	..
Central African Republic	17	23
Chad	34	21
Channel Islands	..	..
Chile	23	23
China	47	44
Hong Kong SAR, China	24	19
Macao SAR, China	13	14
Colombia	22	22
Comoros	18	15
Congo, Dem. Rep.	29	25
Congo, Rep.	21	19
Costa Rica	20	18
Cote d'Ivoire	13	21
Croatia	21	23
Cuba	10	12
Curacao	..	..
Cyprus	24	19
Czech Republic	27	26
Denmark	18	23
Djibouti	..	25
Dominica	..	..
Dominican Republic	26	27
Ecuador	28	25
Egypt, Arab Rep.	20	17
El Salvador	17	19
Equatorial Guinea	38	13
Eritrea	12	..
Estonia	22	28
Eswatini	14	13
Ethiopia	0	35
Faroe Islands	18	..
Fiji	..	..
Finland	22	24
France	22	24
French Polynesia	..	..
Gabon	30	22
Gambia, The	14	18
Georgia	21	27
Germany	20	22
Ghana	13	26
Greece	17	13
Greenland	52	24
Grenada	..	..
Guam	..	..
Guatemala	14	15
Guinea	20	31
Guinea-Bissau	11	11
Guyana	21	37
Haiti	25	28
Honduras	22	22
Hungary	21	29
Iceland	14	20
India	40	30
Indonesia	33	34
Iran, Islamic Rep.	40	35
Iraq	16	13
Ireland	17	44
Isle of Man	..	..
Israel	19	22
Italy	21	18
Jamaica	20	23
Japan	21	24
Jordan	29	18
Kazakhstan	25	27
Kenya	21	17
Kiribati	14	32
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	33	31
Kosovo	33	30
Kuwait	18	25
Kyrgyz Republic	27	33
Lao PDR	27	..
Latvia	20	22
Lebanon	25	18
Lesotho	31	32
Liberia	19	23
Libya	30	..
Liechtenstein	..	..
Lithuania	18	17
Luxembourg	18	17
Madagascar	27	22
Malawi	23	12
Malaysia	23	21
Maldives	..	..
Mali	24	23
Malta	24	20
Marshall Islands	40	23
Mauritania	32	41
Mauritius	27	20
Mexico	23	21
Micronesia, Fed. Sts.	..	..
Moldova	24	26
Monaco	..	..
Mongolia	42	36
Montenegro	22	31
Morocco	34	32
Mozambique	18	44
Myanmar	23	31
Namibia	24	13
Nepal	38	57
Netherlands	20	21
New Caledonia	..	..
New Zealand	20	24
Nicaragua	25	17
Niger	33	31
Nigeria	18	20
North Macedonia	24	34
Northern Mariana Islands	..	..
Norway	25	29
Oman	23	23
Pakistan	16	16
Palau	25	27
Panama	38	41
Papua New Guinea	..	..
Paraguay	24	22
Peru	24	21
Philippines	20	26
Poland	21	20
Portugal	21	19
Puerto Rico	9	9
Qatar	31	44
Romania	27	23
Russian Federation	23	23
Rwanda	22	26
Samoa	..	..
San Marino	..	19
Sao Tome and Principe	..	..
Saudi Arabia	31	27
Senegal	19	33
Serbia	18	24
Seychelles	37	32
Sierra Leone	31	17
Singapore	28	25
Sint Maarten (Dutch part)	8	18
Slovak Republic	24	23
Slovenia	22	21
Solomon Islands	..	..
Somalia	..	..
South Africa	20	18
South Sudan	10	..
Spain	22	21
Sri Lanka	30	27
St. Kitts and Nevis	..	30
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	24	19
Suriname	36	..
Sweden	23	25
Switzerland	24	22
Syrian Arab Republic	..	..
Tajikistan	24	27
Tanzania	32	34
Thailand	25	24
Timor-Leste	43	34
Togo	22	28
Tonga	30	..
Trinidad and Tobago	..	..
Tunisia	27	19
Turkey	27	25
Turkmenistan	52	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	24	26
Ukraine	21	13
United Arab Emirates	27	24
United Kingdom	16	17
United States	19	21
Uruguay	19	16
Uzbekistan	26	40
Vanuatu	35	..
Venezuela, RB	22	..
Vietnam	36	27
Virgin Islands (U.S.)	..	..
West Bank and Gaza	22	24
Yemen, Rep.	..	..
Zambia	30	39
Zimbabwe	19	9
World	24	24
East Asia & Pacific	32	32
Europe & Central Asia	21	22
Latin America & Caribbean	22	18
Middle East & North Africa	29	26
North America	19	21
South Asia	37	29
Sub-Saharan Africa	21	22
Low income	20	24
Lower middle income	31	29
Upper middle income	33	31
High income	21	22
