Country	$ (2010)	$(2019)
Afghanistan	15.9	19.1
Albania	11.9	15.3
Algeria	161.2	170
American Samoa	0.6	0.6
Andorra	3.4	3.2
Angola	83.8	94.6
Antigua and Barbuda	1.1	1.7
Argentina	423.6	449.7
Armenia	9.3	13.7
Aruba	2.4	3.1
Australia	1.1	1.7
Austria	391.9	446.3
Azerbaijan	52.9	48
Bahamas, The	10.1	12.8
Bahrain	25.7	38.6
Bangladesh	115.3	302.6
Barbados	4.5	5.2
Belarus	57.2	63.1
Belgium	481	529.6
Belize	1.4	1.9
Benin	9.5	14.4
Bermuda	5.7	..
Bhutan	1.5	2.4
Bolivia	19.6	40.9
Bosnia and Herzegovina	17.2	20
Botswana	12.8	18.3
Brazil	1.9	1.8
Brunei Darussalam	13.7	13.5
Bulgaria	50.4	67.9
Burkina Faso	10.1	15.7
Burundi	2	3
Cabo Verde	1.7	2
Cambodia	11.2	27.1
Cameroon	26.2	38.8
Canada	1613.5	1736.4
Cayman Islands	4.2	5.5
Central African Republic	2.1	2.2
Chad	10.7	11.3
Channel Islands	..	..
Chile	218.5	282.3
China	1.2	14342.9
Hong Kong SAR, China	228.6	366
Macao SAR, China	28.1	53.9
Colombia	286.6	323.8
Comoros	0.9	1.2
Congo, Dem. Rep.	21.6	47.3
Congo, Rep.	12	10.8
Costa Rica	37.3	61.8
Cote d'Ivoire	24.9	58.8
Croatia	59.8	60.4
Cuba	64.3	100
Curacao	3	3.1
Cyprus	25.7	24.6
Czech Republic	207.5	246.5
Denmark	322	348.1
Djibouti	1.1	3.3
Dominica	0.5	0.6
Dominican Republic	53.9	88.9
Ecuador	69.6	107.4
Egypt, Arab Rep.	218.9	303.2
El Salvador	18.4	27
Equatorial Guinea	16.3	11
Eritrea	1.6	..
Estonia	19.7	31.4
Eswatini	4.4	4.4
Ethiopia	29.9	96.1
Faroe Islands	2.3	2.8
Fiji	3.1	5.5
Finland	249.2	268.8
France	1.6	1.5
French Polynesia	..	..
Gabon	14.4	16.7
Gambia, The	1.5	1.8
Georgia	12.2	17.7
Germany	1.4	1.6
Ghana	32.2	67
Greece	299.4	209.9
Greenland	2.5	3.1
Grenada	0.8	1.2
Guam	4.9	5.9
Guatemala	41.3	76.7
Guinea	6.9	13.6
Guinea-Bissau	0.8	1.3
Guyana	2.3	4.3
Haiti	6.6	8.5
Honduras	15.8	25.1
Hungary	131.1	161
Iceland	13.7	24.2
India	1.6	1.1
Indonesia	755.1	1119.2
Iran, Islamic Rep.	486.8	445.3
Iraq	138.5	234.1
Ireland	222.1	388.7
Isle of Man	5.9	6.8
Israel	234	395.1
Italy	2134	2001.2
Jamaica	13.2	16.5
Japan	1.1	5081.8
Jordan	26.8	43.7
Kazakhstan	148	180.2
Kenya	40	95.5
Kiribati	0.2	0.2
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	1.1	1.4
Kosovo	5.8	7.9
Kuwait	115.4	134.8
Kyrgyz Republic	4.8	8.5
Lao PDR	7.1	18.2
Latvia	23.8	34.1
Lebanon	38.4	53.4
Lesotho	2.3	2.5
Liberia	2	3.1
Libya	74.8	52.1
Liechtenstein	5.1	6.6
Lithuania	37	54.2
Luxembourg	53.2	71.1
Madagascar	10	14.1
Malawi	7	7.7
Malaysia	255	364.7
Maldives	2.6	5.7
Mali	10.7	17.5
Malta	8.7	14.8
Marshall Islands	0.2	0.2
Mauritania	5.6	7.6
Mauritius	10	14.2
Mexico	1.8	1.3
Micronesia, Fed. Sts.	0.3	0.4
Moldova	7	12
Monaco	5.4	7.2
Mongolia	7.2	13.9
Montenegro	4.1	5.5
Morocco	93.2	118.7
Mozambique	11.1	14.9
Myanmar	49.5	76.1
Namibia	11.3	12.4
Nepal	16	30.6
Netherlands	846.6	909.1
New Caledonia	..	..
New Zealand	146.6	206.9
Nicaragua	8.8	12.5
Niger	7.8	12.9
Nigeria	363.4	448.1
North Macedonia	9.4	12.7
Northern Mariana Islands	0.8	1.3
Norway	428.8	403.3
Oman	57	77
Pakistan	177.2	278.2
Palau	0.2	0.3
Panama	29.4	66.8
Papua New Guinea	14.3	25
Paraguay	27.2	38.1
Peru	147.5	226.8
Philippines	208.4	376.8
Poland	479.3	592.2
Portugal	237.9	237.7
Puerto Rico	98.4	105
Qatar	125.1	183.5
Romania	166.2	250.1
Russian Federation	1524.9	1699.9
Rwanda	6.1	10.1
Samoa	0.7	0.9
San Marino	1.9	1.6
Sao Tome and Principe	0.2	0.4
Saudi Arabia	528.2	793
Senegal	16.2	23.6
Serbia	41.8	51.4
Seychelles	1	1.7
Sierra Leone	2.6	3.9
Singapore	239.8	372.1
Sint Maarten (Dutch part)	..	..
Slovak Republic	90.2	105.4
Slovenia	48.2	53.7
Solomon Islands	0.7	1.4
Somalia	..	..
South Africa	375.3	351.4
South Sudan	14.6	..
Spain	1.7	1394.1
Sri Lanka	56.7	84
St. Kitts and Nevis	0.8	1.1
St. Lucia	1.5	2.1
St. Martin (French part)	..	..
St. Vincent and the Grenadines	0.7	0.8
Sudan	61.7	18.9
Suriname	4.4	4
Sweden	495.8	530.8
Switzerland	583.8	703.1
Syrian Arab Republic	..	..
Tajikistan	5.6	8.1
Tanzania	32	63.2
Thailand	341.1	543.6
Timor-Leste	0.9	1.7
Togo	3.4	5.5
Tonga	0.4	0.5
Trinidad and Tobago	22.2	24.1
Tunisia	44.1	38.8
Turkey	771.9	754.4
Turkmenistan	22.6	40.8
Turks and Caicos Islands	0.7	1
Tuvalu	0	0
Uganda	26.5	34.4
Ukraine	136	153.8
United Arab Emirates	289.8	421.1
United Kingdom	1.2	1.1
United States	14992.1	21427.7
Uruguay	40.3	56
Uzbekistan	46.7	57.9
Vanuatu	0.7	0.9
Venezuela, RB	393.2	..
Vietnam	115.9	261.9
Virgin Islands (U.S.)	4.3	3.9
West Bank and Gaza	8.9	14.6
Yemen, Rep.	30.9	27.6
Zambia	20.3	23.1
Zimbabwe	12	21.4
World	66113.1	87751.5
East Asia & Pacific	16988.6	26979.8
Europe & Central Asia	20959.2	22748.8
Latin America & Caribbean	1.2	1.3
Middle East & North Africa	1.8	3701.4
North America	16611.3	23171.1
South Asia	1.8	3598
Sub-Saharan Africa	1.7	1755
Low income	390.1	521.3
Lower middle income	1.9	1.1
Upper middle income	16216.9	25817.1
High income	45581.2	55098.7
