Country	Imports (2007)	Imports (2017)
East Asia & Pacific (excluding high income)	66.5	60.9
American Samoa	79.1	74.9
Cambodia	50.4	32.7
China	66.8	65.1
Fiji	87	72
Indonesia	62.6	51.7
Kiribati	85	60
Korea, Dem. Peopleâ€™s Rep.	8.2	0.6
Lao PDR	14	8.7
Malaysia	68	54.7
Marshall Islands	95.3	73.4
Micronesia, Fed. Sts.	88.8	56.1
Mongolia	29.4	31.4
Myanmar	35.8	35
Palau	80.3	78.4
Papua New Guinea	80.8	60.3
Philippines	77.4	56.6
Samoa	81.1	77.5
Solomon Islands	73.6	56.2
Thailand	66.1	56.9
Timor-Leste	25.3	36.2
Tonga	81.3	80.9
Tuvalu	80.2	82.3
Vanuatu	81.2	43.3
Vietnam	60.8	50.1
Europe & Central Asia (excluding high income)	56.3	53.8
Albania	68.4	64.9
Armenia	43	34.2
Azerbaijan	44.1	36.7
Belarus	25.8	23
Bosnia and Herzegovina	70.5	64.9
Bulgaria	60.3	60.4
Georgia	36.8	35
Kazakhstan	38.6	29.1
Kosovo	53.4	43.2
Kyrgyz Republic	14.6	12.6
Lithuania	72.8	75.6
North Macedonia	51.9	61.9
Moldova	37.5	37.9
Montenegro	58.9	49.9
Romania	75.5	76.9
Russian Federation	62.4	53.9
Serbia	58.8	62.3
Tajikistan	18	14.5
Turkey	55.5	54.8
Turkmenistan	34.3	41.8
Ukraine	45	54
Uzbekistan	39.2	31
Latin America & Caribbean (excluding high income)	64.9	60.9
Antigua and Barbuda	70.8	67.9
Argentina	38.5	37.9
Belize	56.9	60.1
Bolivia	40	31.2
Brazil	57.8	55.5
Chile	45.8	44.2
Colombia	53.6	51.8
Costa Rica	67.5	60.6
Cuba	58.9	45.8
Dominica	80.4	81.6
Dominican Republic	67.2	65.4
Ecuador	49.6	54.6
El Salvador	55.1	54.1
Grenada	86.1	71.6
Guatemala	59.7	57.7
Guyana	73.9	73.6
Haiti	45.6	30.5
Honduras	58.1	55.3
Jamaica	71.6	72.2
Mexico	80.3	71.8
Nicaragua	36.2	33.7
Panama	60.5	44.8
Paraguay	21.4	25.3
Peru	45.3	46.8
St. Kitts and Nevis	89	87.4
St. Lucia	89	80.3
St. Vincent and the Grenadines	84.6	81
Suriname	79.1	75.3
Uruguay	24.1	33
Venezuela, RB	46.1	40.7
Middle East & North Africa (excluding high income)	59.6	52.1
Algeria	71.8	38.7
Djibouti	77.8	66.2
Egypt, Arab Rep.	52.9	56.6
Iran, Islamic Rep.	73.4	54.5
Iraq	36.3	27.9
Jordan	65.5	60.7
Lebanon	64.4	60.8
Libya	53.1	36.7
Morocco	69.6	70.8
Syrian Arab Republic	39.5	12.7
Tunisia	73.7	63.2
West Bank and Gaza	87.5	74.6
Yemen, Rep.	59.6	37.5
South Asia	59.8	47.7
Afghanistan	15.5	15
Bangladesh	48.1	34.4
Bhutan	14.1	6.6
India	61.7	50.7
Maldives	61.8	50.6
Nepal	17.7	11.5
Pakistan	63.7	49.5
Sri Lanka	51.3	42.3
Sub-Saharan Africa (excluding high income)	55.4	46.2
Angola	49.5	57.7
Benin	49.7	32.4
Botswana	10.8	21.2
Burkina Faso	38.3	45.6
Burundi	51.9	39.2
Cabo Verde	85.4	81.5
Cameroon	62.3	43.8
Central African Republic	48.4	64.6
Chad	59.7	43.4
Comoros	54.9	52.7
Congo, Dem. Rep.	23.9	23.9
Congo, Rep.	34.9	39.8
Cote d'Ivoire	44	49.4
Eritrea	60.9	58
Ethiopia	48.2	42.7
Gabon	78	64
Gambia, The	68.9	22.9
Ghana	53.7	54.7
Guinea	69	55.1
Guinea-Bissau	60.6	60.6
Kenya	61	40.3
Lesotho	5.6	10.6
Liberia	32.7	32.7
Madagascar	50.8	39.9
Malawi	30.9	38.8
Mali	33.9	31.8
Mauritania	53.8	76.1
Mauritius	46.7	43.9
Mozambique	35.6	41.9
Namibia	15.9	13.7
Niger	51.7	48.4
Nigeria	55.1	49.4
Rwanda	39	28.4
Sao Tome and Principe	74.8	66.4
Senegal	53.8	45.8
Seychelles	80.5	75.7
Sierra Leone	48.8	44.4
Somalia	25.7	24.9
South Africa	66.6	54.3
Sudan	71.1	61.4
Eswatini	43	9.3
Tanzania	58.7	59
Togo	55.8	45.9
Uganda	52	39.3
Zambia	29.3	23.8
Zimbabwe	17.9	12.8
