Country	Imports (2007)	Imports (2017)
East Asia & Pacific (excluding high income)	11.7	13.1
American Samoa	2	7.8
Cambodia	1.8	1.2
China	14.4	16.1
Fiji	2.8	3.4
Indonesia	9.5	10
Kiribati	0.7	0.7
Korea, Dem. Peopleâ€™s Rep.	42	5.2
Lao PDR	0.4	0.7
Malaysia	5.1	8
Marshall Islands	4.6	4.3
Micronesia, Fed. Sts.	0.5	0.5
Mongolia	40.9	33
Myanmar	6.3	8.8
Palau	12.3	16.1
Papua New Guinea	1.1	2
Philippines	3.1	4.2
Samoa	0.1	0.9
Solomon Islands	10.2	0.5
Thailand	6.9	6.5
Timor-Leste	1.3	3.8
Tonga	0.3	1.3
Tuvalu	0.1	5.2
Vanuatu	1.8	35
Vietnam	5	7.1
Europe & Central Asia (excluding high income)	15.7	23
Albania	10.8	13.8
Armenia	15	23.4
Azerbaijan	11.4	19.4
Belarus	4.9	12.2
Bosnia and Herzegovina	7.4	11.1
Bulgaria	5.9	8.7
Georgia	8.4	14
Kazakhstan	13.2	20.8
Kosovo	21.7	14.3
Kyrgyz Republic	16.8	35.1
Lithuania	27.2	24.4
North Macedonia	11.3	13.6
Moldova	8	13.9
Montenegro	7.3	13.2
Romania	7	7.9
Russian Federation	19.6	32
Serbia	11.2	15.3
Tajikistan	18.6	19
Turkey	22.2	27.1
Turkmenistan	15.4	12.7
Ukraine	10	18.1
Uzbekistan	27.4	29.4
Latin America & Caribbean (excluding high income)	17	25.7
Antigua and Barbuda	25.6	14.8
Argentina	17.2	26.4
Belize	7.5	14.2
Bolivia	10.4	26.2
Brazil	28.4	31.3
Chile	50	53.3
Colombia	15.2	26.4
Costa Rica	8.8	17.7
Cuba	27.4	32.4
Dominica	4	3.4
Dominican Republic	5	17.9
Ecuador	13.4	20.3
El Salvador	7.3	11.5
Grenada	3.8	12.4
Guatemala	8.5	14.5
Guyana	12	12.7
Haiti	14.9	24.7
Honduras	5.3	11.6
Jamaica	6.2	10.6
Mexico	15.3	25.4
Nicaragua	11.1	18.1
Panama	30.5	33.4
Paraguay	30.8	35.5
Peru	21	30.4
St. Kitts and Nevis	9.6	11.7
St. Lucia	3.6	4.2
St. Vincent and the Grenadines	5.4	8.7
Suriname	9.5	11
Uruguay	74.6	66.7
Venezuela, RB	8.9	18.1
Middle East & North Africa (excluding high income)	27.2	38.8
Algeria	26.3	45.1
Djibouti	20.3	26
Egypt, Arab Rep.	26.4	30.2
Iran, Islamic Rep.	24.1	44.1
Iraq	35	69.4
Jordan	25.6	33.8
Lebanon	27.4	32.3
Libya	24.2	40.1
Morocco	23.1	26
Syrian Arab Republic	34.1	24.4
Tunisia	18.2	27.9
West Bank and Gaza	10	21.5
Yemen, Rep.	33.3	53.7
South Asia	34.7	45.4
Afghanistan	45	63.1
Bangladesh	28.8	41.8
Bhutan	11.9	2.2
India	36.8	47
Maldives	19.3	30.2
Nepal	18.4	21
Pakistan	29.5	44.4
Sri Lanka	18	33.2
Sub-Saharan Africa (excluding high income)	25.1	34
Angola	39.9	32.5
Benin	25.3	54.1
Botswana	3	5.3
Burkina Faso	25.4	29.7
Burundi	9.9	34.6
Cabo Verde	11.5	13.8
Cameroon	28.3	40.1
Central African Republic	13.3	16.7
Chad	18	31.5
Comoros	12.2	30.7
Congo, Dem. Rep.	31.7	31.7
Congo, Rep.	5	13.9
Cote d'Ivoire	23.3	32.7
Eritrea	32.7	31.5
Ethiopia	40.2	45.5
Gabon	13.5	28.3
Gambia, The	19.5	29.3
Ghana	28.5	37.7
Guinea	22.7	35.2
Guinea-Bissau	13	26.2
Kenya	29.2	50.2
Lesotho	0.5	20.8
Liberia	52.2	52.2
Madagascar	33	47
Malawi	12.5	32.4
Mali	15.5	27.9
Mauritania	20.1	22.1
Mauritius	43.7	44.3
Mozambique	15.5	25.3
Namibia	4.5	18.3
Niger	22.2	33.1
Nigeria	19.1	31.4
Rwanda	14.6	40.5
Sao Tome and Principe	3.3	9.9
Senegal	30.8	36.8
Seychelles	19.3	22.9
Sierra Leone	18	48.7
Somalia	34.9	56.9
South Africa	27.2	35.3
Sudan	22.7	34
Eswatini	11.9	11.1
Tanzania	27.8	34.2
Togo	26.9	38.5
Uganda	25.8	44.2
Zambia	11.6	17.4
Zimbabwe	3.4	6.3
