Country	Imports (2007)	Imports (2017)
East Asia & Pacific (excluding high income)	15.6	20.4
American Samoa	18.9	17.3
Cambodia	47.7	61
China	9.7	11.5
Fiji	8.7	22.3
Indonesia	27.9	37.2
Kiribati	14.3	38
Korea, Dem. Peopleâ€™s Rep.	49.8	94.1
Lao PDR	85.7	90.7
Malaysia	25.8	34
Marshall Islands	0	22.4
Micronesia, Fed. Sts.	8.9	30.9
Mongolia	29.5	35.6
Myanmar	43.6	56.1
Palau	..	..
Papua New Guinea	18.1	37.7
Philippines	19.4	39.2
Samoa	18.4	21.3
Solomon Islands	16.2	43.3
Thailand	25.2	35
Timor-Leste	66.9	59.5
Tonga	18.1	17.3
Tuvalu	15.6	9.5
Vanuatu	16.6	21.4
Vietnam	33.5	36.2
Europe & Central Asia (excluding high income)	27.6	21.8
Albania	20.7	21.3
Armenia	41.8	41.7
Azerbaijan	44.5	43.9
Belarus	67	64.6
Bosnia and Herzegovina	21.9	23.9
Bulgaria	33.8	29.7
Georgia	54.8	50.9
Kazakhstan	48	50.1
Kosovo	24.8	39.7
Kyrgyz Republic	68.6	52.2
Lithuania	..	..
North Macedonia	36.8	24.5
Moldova	54.3	47.8
Montenegro	33.6	36.9
Romania	17.5	15.2
Russian Federation	17.9	13.8
Serbia	29.9	22.4
Tajikistan	63.3	66.4
Turkey	21.4	13.9
Turkmenistan	50.4	45.6
Ukraine	44.9	27.9
Uzbekistan	33.4	39.6
Latin America & Caribbean (excluding high income)	16.1	12.5
Antigua and Barbuda	..	..
Argentina	39.3	34.7
Belize	34.1	25.7
Bolivia	49.6	42.5
Brazil	13.5	13.2
Chile	..	..
Colombia	27.6	18.5
Costa Rica	22	18.6
Cuba	13.3	21.4
Dominica	14.2	10.5
Dominican Republic	24	15.2
Ecuador	36.3	24.6
El Salvador	36.9	34.3
Grenada	9.5	15.6
Guatemala	27.2	27.7
Guyana	10	13.4
Haiti	21.1	19.7
Honduras	33.7	33.1
Jamaica	20.7	17
Mexico	4	2.6
Nicaragua	51.6	42.8
Panama	..	..
Paraguay	47.3	38.8
Peru	33.7	22.6
St. Kitts and Nevis	..	..
St. Lucia	7.2	9.2
St. Vincent and the Grenadines	9.4	10.1
Suriname	9.1	13.6
Uruguay	..	..
Venezuela, RB	32.2	25.3
Middle East & North Africa (excluding high income)	6.9	3.9
Algeria	1.9	5.7
Djibouti	1.9	7.1
Egypt, Arab Rep.	3.6	3.3
Iran, Islamic Rep.	0.6	0.3
Iraq	28.7	2.7
Jordan	8.6	4.9
Lebanon	8.2	6.8
Libya	9.8	7.5
Morocco	7.4	2.9
Syrian Arab Republic	10.2	12.8
Tunisia	7.1	6.2
West Bank and Gaza	2.3	3.8
Yemen, Rep.	3.1	4.3
South Asia	4.1	4.7
Afghanistan	24.5	20.1
Bangladesh	15.6	16.4
Bhutan	74	90.4
India	0.8	0.6
Maldives	18.7	18.9
Nepal	62.2	65.2
Pakistan	4.5	4
Sri Lanka	30.7	24.4
Sub-Saharan Africa (excluding high income)	15.8	16.5
Angola	9.7	9.7
Benin	22.1	13.4
Botswana	85	72.8
Burkina Faso	30.3	24.4
Burundi	30.2	26.1
Cabo Verde	2.2	2.9
Cameroon	6.9	15.5
Central African Republic	16.7	17.9
Chad	22.3	25.1
Comoros	7.6	16.5
Congo, Dem. Rep.	35.2	35.2
Congo, Rep.	60.1	36.1
Cote d'Ivoire	30.4	17.3
Eritrea	5.1	9
Ethiopia	1.9	1.4
Gabon	8	7.7
Gambia, The	11.5	47.9
Ghana	17.5	7.3
Guinea	8	9
Guinea-Bissau	26.4	13.2
Kenya	9.7	9.5
Lesotho	93.9	68.6
Liberia	15	15
Madagascar	10.5	8.5
Malawi	55.7	28.7
Mali	50	40.3
Mauritania	6.2	1.6
Mauritius	9.6	11.8
Mozambique	34.8	32.6
Namibia	79.3	67
Niger	24.7	18.2
Nigeria	5.8	3.8
Rwanda	46.1	31.1
Sao Tome and Principe	21.5	23.5
Senegal	15.4	14.2
Seychelles	..	..
Sierra Leone	33.2	6.8
Somalia	39.4	18.2
South Africa	6.2	9.6
Sudan	2.6	3.1
Eswatini	37.2	78.6
Tanzania	13.1	6.2
Togo	14.3	15.6
Uganda	22.2	15.6
Zambia	59.1	58.7
Zimbabwe	75.4	76.6
