Country	Total
Afghanistan	189
Albania	18
Algeria	69
American Samoa	0
Andorra	3
Angola	355
Antigua and Barbuda	6
Argentina	27
Armenia	31
Aruba	5
Australia	7
Austria	7
Azerbaijan	63
Bahamas, The	14
Bahrain	11
Bangladesh	221
Barbados	0
Belarus	31
Belgium	9
Belize	30
Benin	56
Bermuda	4
Bhutan	149
Bolivia	108
Bosnia and Herzegovina	25
Botswana	275
Brazil	45
Brunei Darussalam	68
Bulgaria	22
Burkina Faso	48
Burundi	111
Cabo Verde	46
Cambodia	302
Cameroon	186
Canada	6
Cayman Islands	5
Central African Republic	540
Chad	142
Channel Islands	..
Chile	18
China	61
Hong Kong SAR, China	67
Macao SAR, China	60
Colombia	33
Comoros	35
Congo, Dem. Rep.	321
Congo, Rep.	375
Costa Rica	10
Cote d'Ivoire	142
Croatia	8
Cuba	7
Curacao	6
Cyprus	5
Czech Republic	5
Denmark	5
Djibouti	260
Dominica	6
Dominican Republic	45
Ecuador	44
Egypt, Arab Rep.	12
El Salvador	70
Equatorial Guinea	201
Eritrea	89
Estonia	13
Eswatini	329
Ethiopia	151
Faroe Islands	..
Fiji	54
Finland	5
France	9
French Polynesia	22
Gabon	525
Gambia, The	174
Georgia	80
Germany	7
Ghana	148
Greece	5
Greenland	100
Grenada	2
Guam	49
Guatemala	26
Guinea	176
Guinea-Bissau	361
Guyana	83
Haiti	176
Honduras	37
Hungary	6
Iceland	3
India	199
Indonesia	316
Iran, Islamic Rep.	14
Iraq	42
Ireland	7
Isle of Man	..
Israel	4
Italy	7
Jamaica	3
Japan	14
Jordan	5
Kazakhstan	68
Kenya	292
Kiribati	349
Korea, Dem. People’s Rep.	513
Korea, Rep.	66
Kosovo	..
Kuwait	23
Kyrgyz Republic	116
Lao PDR	162
Latvia	29
Lebanon	11
Lesotho	611
Liberia	308
Libya	40
Liechtenstein	..
Lithuania	44
Luxembourg	8
Madagascar	233
Malawi	181
Malaysia	92
Maldives	33
Mali	53
Malta	14
Marshall Islands	434
Mauritania	93
Mauritius	13
Mexico	23
Micronesia, Fed. Sts.	108
Moldova	86
Monaco	0
Mongolia	428
Montenegro	15
Morocco	99
Mozambique	551
Myanmar	338
Namibia	524
Nepal	151
Netherlands	5
New Caledonia	15
New Zealand	7
Nicaragua	41
Niger	87
Nigeria	219
North Macedonia	13
Northern Mariana Islands	95
Norway	4
Oman	6
Pakistan	265
Palau	109
Panama	52
Papua New Guinea	432
Paraguay	43
Peru	123
Philippines	554
Poland	16
Portugal	24
Puerto Rico	1
Qatar	31
Romania	68
Russian Federation	54
Rwanda	59
Samoa	6
San Marino	0
Sao Tome and Principe	124
Saudi Arabia	10
Senegal	118
Serbia	17
Seychelles	18
Sierra Leone	298
Singapore	47
Sint Maarten (Dutch part)	19
Slovak Republic	6
Slovenia	5
Solomon Islands	74
Somalia	262
South Africa	520
South Sudan	146
Spain	9
Sri Lanka	64
St. Kitts and Nevis	0
St. Lucia	3
St. Martin (French part)	..
St. Vincent and the Grenadines	6
Sudan	71
Suriname	38
Sweden	6
Switzerland	6
Syrian Arab Republic	19
Tajikistan	84
Tanzania	253
Thailand	153
Timor-Leste	498
Togo	36
Tonga	10
Trinidad and Tobago	21
Tunisia	35
Turkey	16
Turkmenistan	46
Turks and Caicos Islands	6
Tuvalu	270
Uganda	200
Ukraine	80
United Arab Emirates	1
United Kingdom	8
United States	3
Uruguay	33
Uzbekistan	70
Vanuatu	46
Venezuela, RB	48
Vietnam	182
Virgin Islands (U.S.)	..
West Bank and Gaza	1
Yemen, Rep.	48
Zambia	346
Zimbabwe	210
World	132
East Asia & Pacific	133
Europe & Central Asia	28
Latin America & Caribbean	43
Middle East & North Africa	31
North America	3
South Asia	206
Sub-Saharan Africa	231
Low income	206
Lower middle income	220
Upper middle income	66
High income	11
