Country	Combined source estimates
Afghanistan	10
Albania	2.8
Algeria	1.4
American Samoa	7.2
Andorra	0
Angola	4.8
Antigua and Barbuda	10.3
Argentina	6.5
Armenia	2.6
Aruba	1.9
Australia	1
Austria	0.5
Azerbaijan	2.3
Bahamas, The	37.7
Bahrain	0.5
Bangladesh	2.5
Barbados	10.9
Belarus	3.6
Belgium	2
Belize	33.1
Benin	1.1
Bermuda	6.5
Bhutan	1.5
Bolivia	6.3
Bosnia and Herzegovina	1.6
Botswana	..
Brazil	28.4
Brunei Darussalam	0.5
Bulgaria	1.8
Burkina Faso	0.6
Burundi	4.5
Cabo Verde	8.6
Cambodia	..
Cameroon	1.2
Canada	1.7
Cayman Islands	8.4
Central African Republic	19.8
Chad	..
Channel Islands	..
Chile	3.4
China	0.7
Hong Kong SAR, China	0.3
Macao SAR, China	0.2
Colombia	26.5
Comoros	..
Congo, Dem. Rep.	..
Congo, Rep.	..
Costa Rica	11.6
Cote d'Ivoire	..
Croatia	0.9
Cuba	5.4
Curacao	..
Cyprus	1.3
Czech Republic	0.8
Denmark	1.1
Djibouti	..
Dominica	12.3
Dominican Republic	15.2
Ecuador	6.5
Egypt, Arab Rep.	2.5
El Salvador	105.4
Equatorial Guinea	..
Eritrea	..
Estonia	3.4
Eswatini	8.5
Ethiopia	..
Faroe Islands	..
Fiji	2.3
Finland	1.5
France	1.6
French Polynesia	..
Gabon	..
Gambia, The	..
Georgia	1
Germany	0.8
Ghana	1.9
Greece	0.8
Greenland	7.1
Grenada	5.6
Guam	..
Guatemala	29.4
Guinea	..
Guinea-Bissau	2.7
Guyana	19.4
Haiti	10
Honduras	57.5
Hungary	2.3
Iceland	0.9
India	3.4
Indonesia	0.6
Iran, Islamic Rep.	2.5
Iraq	9.9
Ireland	0.7
Isle of Man	1.2
Israel	1.4
Italy	0.8
Jamaica	42.1
Japan	0.3
Jordan	1.6
Kazakhstan	4.8
Kenya	4.8
Kiribati	7.5
Korea, Dem. People’s Rep.	..
Korea, Rep.	0.7
Kosovo	2.3
Kuwait	1.8
Kyrgyz Republic	5.2
Lao PDR	..
Latvia	3.4
Lebanon	3.9
Lesotho	41.2
Liberia	3.2
Libya	..
Liechtenstein	0
Lithuania	5.9
Luxembourg	0.9
Madagascar	1.2
Malawi	..
Malaysia	1.7
Maldives	2.1
Mali	0.8
Malta	..
Marshall Islands	0.9
Mauritania	..
Mauritius	..
Mexico	1.7
Micronesia, Fed. Sts.	16.5
Moldova	..
Monaco	3.2
Mongolia	0
Montenegro	6.2
Morocco	2.7
Mozambique	1.2
Myanmar	..
Namibia	2.2
Nepal	17.1
Netherlands	2.2
New Caledonia	0.6
New Zealand	..
Nicaragua	1
Niger	8.6
Nigeria	4.4
North Macedonia	..
Northern Mariana Islands	..
Norway	0.5
Oman	0.4
Pakistan	5
Palau	..
Panama	11.9
Papua New Guinea	..
Paraguay	9.3
Peru	7.2
Philippines	9.5
Poland	0.8
Portugal	1
Puerto Rico	16.7
Qatar	0.4
Romania	1.5
Russian Federation	11.6
Rwanda	2.5
Samoa	3.1
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	1.5
Senegal	..
Serbia	1.2
Seychelles	7.5
Sierra Leone	1.7
Singapore	0.3
Sint Maarten (Dutch part)	..
Slovak Republic	0.8
Slovenia	1
Solomon Islands	..
Somalia	..
South Africa	33.8
South Sudan	13.9
Spain	0.7
Sri Lanka	2.4
St. Kitts and Nevis	34.2
St. Lucia	15.8
St. Martin (French part)	17.1
St. Vincent and the Grenadines	36.5
Sudan	..
Suriname	6.1
Sweden	1.1
Switzerland	0.7
Syrian Arab Republic	..
Tajikistan	..
Tanzania	7
Thailand	3.5
Timor-Leste	3.9
Togo	..
Tonga	1
Trinidad and Tobago	30.9
Tunisia	3
Turkey	4.3
Turkmenistan	..
Turks and Caicos Islands	5.9
Tuvalu	18.6
Uganda	10.8
Ukraine	6.2
United Arab Emirates	0.7
United Kingdom	1
United States	5
Uruguay	8.5
Uzbekistan	1.6
Vanuatu	..
Venezuela, RB	56.3
Vietnam	..
Virgin Islands (U.S.)	49.3
West Bank and Gaza	1
Yemen, Rep.	6.7
Zambia	5.3
Zimbabwe	6.7
World	5.3
East Asia & Pacific	1.4
Europe & Central Asia	3.3
Latin America & Caribbean	22.3
Middle East & North Africa	3.4
North America	4.6
South Asia	3.6
Sub-Saharan Africa	9.4
Low income	7.2
Lower middle income	4.9
Upper middle income	6.7
High income	2.2
