Country	Annual Growth % (2010)	Annual Growth % (2019)
Afghanistan	15.6	14.8
Albania	12.8	6.3
Algeria	8	8
American Samoa	..	..
Andorra	..	..
Angola	22.5	19.3
Antigua and Barbuda	11	8.6
Argentina	10.6	67.3
Armenia	19.2	12.1
Aruba	10.3	5.7
Australia	7.3	5.1
Austria	..	..
Azerbaijan	20.7	17.3
Bahamas, The	5.5	4.3
Bahrain	7.2	..
Bangladesh	12.2	9.6
Barbados	8.7	8.1
Belarus	9.2	9
Belgium	..	..
Belize	13.9	9.1
Benin	5.1	5.1
Bermuda	..	..
Bhutan	13.9	14
Bolivia	9.9	8.4
Bosnia and Herzegovina	7.9	3.3
Botswana	11.5	6.4
Brazil	40	37.5
Brunei Darussalam	5.5	5.5
Bulgaria	11.1	4.5
Burkina Faso	5.1	5.1
Burundi	12.4	14.5
Cabo Verde	11	9.1
Cambodia	..	..
Cameroon	..	..
Canada	2.6	2.7
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	4.8	4.2
China	5.8	4.4
Hong Kong SAR, China	5	5
Macao SAR, China	5.3	5.4
Colombia	9.4	11.8
Comoros	10.5	10.5
Congo, Dem. Rep.	56.5	26.7
Congo, Rep.	..	..
Costa Rica	17.1	8.7
Cote d'Ivoire	5.1	5.1
Croatia	10.4	..
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	5.9	3.7
Denmark	..	..
Djibouti	..	..
Dominica	9.5	7.5
Dominican Republic	12.1	15.4
Ecuador	..	..
Egypt, Arab Rep.	11	16.1
El Salvador	..	..
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	..	..
Eswatini	9.8	10.1
Ethiopia	8	..
Faroe Islands	..	..
Fiji	7.5	5.7
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	..	..
Gambia, The	27	28
Georgia	15.8	10.8
Germany	..	..
Ghana	..	..
Greece	..	..
Greenland	..	..
Grenada	10.6	7.6
Guam	..	..
Guatemala	13.3	12.7
Guinea	..	..
Guinea-Bissau	5.1	5.1
Guyana	14.5	10.5
Haiti	17.5	13.8
Honduras	18.9	17.3
Hungary	7.6	1.8
Iceland	10.3	7
India	8.3	9.5
Indonesia	13.3	10.4
Iran, Islamic Rep.	12	18
Iraq	14.3	12.4
Ireland	..	..
Isle of Man	..	..
Israel	5	3.5
Italy	4	2.6
Jamaica	20.5	13
Japan	1.6	1
Jordan	9	8.7
Kazakhstan	..	..
Kenya	14.4	13.1
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	5.5	3.4
Kosovo	14.4	6.7
Kuwait	5.4	4.8
Kyrgyz Republic	23.7	19
Lao PDR	22.6	..
Latvia	..	..
Lebanon	8.3	10.5
Lesotho	11.2	11.3
Liberia	14.2	13.3
Libya	6	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
Madagascar	46	49
Malawi	24.6	32.3
Malaysia	5	4.9
Maldives	10.4	11.5
Mali	5.1	5.1
Malta	4.6	..
Marshall Islands	..	..
Mauritania	17	17
Mauritius	8.9	8.5
Mexico	5.3	8.5
Micronesia, Fed. Sts.	15.1	15.7
Moldova	16.4	8.3
Monaco	..	..
Mongolia	20.1	16.9
Montenegro	9.5	..
Morocco	..	..
Mozambique	16.3	19
Myanmar	17	15.8
Namibia	9.7	9.9
Nepal	..	..
Netherlands	1.8	..
New Caledonia	..	..
New Zealand	6.3	4.8
Nicaragua	13.3	12.5
Niger	5.1	5.1
Nigeria	17.6	15.4
North Macedonia	10.7	5.6
Northern Mariana Islands	..	..
Norway	..	..
Oman	7.1	5.2
Pakistan	14	12.2
Palau	..	..
Panama	7.7	7.5
Papua New Guinea	10.4	8.7
Paraguay	26	18.1
Peru	19	17
Philippines	7.7	7.1
Poland	..	..
Portugal	..	..
Puerto Rico	..	..
Qatar	7.3	5
Romania	14.1	7.2
Russian Federation	10.8	8.8
Rwanda	17	16.5
Samoa	10.7	8.9
San Marino	5.4	2
Sao Tome and Principe	28.9	19.9
Saudi Arabia	..	..
Senegal	5.1	5.1
Serbia	6.6	..
Seychelles	12.7	12.6
Sierra Leone	21.3	17.9
Singapore	5.4	5.3
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	..	..
Solomon Islands	14.4	10.7
Somalia	..	..
South Africa	9.8	10.1
South Sudan	12	15.7
Spain	..	..
Sri Lanka	10.2	11.2
St. Kitts and Nevis	8.6	8.5
St. Lucia	10.6	7.7
St. Martin (French part)	..	..
St. Vincent and the Grenadines	9.2	8.4
Sudan	..	..
Suriname	11.6	15
Sweden	..	..
Switzerland	2.7	2.6
Syrian Arab Republic	..	..
Tajikistan	23.4	27.2
Tanzania	14.5	17
Thailand	4.3	4.1
Timor-Leste	11	15.4
Togo	5.1	5.1
Tonga	11.5	8.1
Trinidad and Tobago	9.3	9.3
Tunisia	..	..
Turkey	..	..
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	20.2	19.8
Ukraine	15.9	19.8
United Arab Emirates	..	..
United Kingdom	0.5	..
United States	3.3	5.3
Uruguay	10.3	11.6
Uzbekistan	16.2	23.6
Vanuatu	5.5	2
Venezuela, RB	18.3	21.1
Vietnam	13.1	7.7
Virgin Islands (U.S.)	..	..
West Bank and Gaza	6.3	5.8
Yemen, Rep.	23.8	..
Zambia	20.9	10.3
Zimbabwe	11.6	16.2
