Country	lending rate minus deposit rate
Afghanistan	..
Albania	5.8
Algeria	6.3
American Samoa	..
Andorra	..
Angola	12.9
Antigua and Barbuda	7
Argentina	20
Armenia	3.7
Aruba	3.5
Australia	3.5
Austria	..
Azerbaijan	7.6
Bahamas, The	3.7
Bahrain	..
Bangladesh	2.8
Barbados	7.9
Belarus	2.5
Belgium	..
Belize	7.1
Benin	-1.4
Bermuda	..
Bhutan	11.8
Bolivia	5.2
Bosnia and Herzegovina	2.4
Botswana	4.8
Brazil	32
Brunei Darussalam	5.1
Bulgaria	4.5
Burkina Faso	-1.4
Burundi	..
Cambodia	..
Cameroon	..
Canada	2.6
Cabo Verde	7.7
Cayman Islands	..
Central African Republic	..
Chad	..
Channel Islands	..
Chile	1.5
China	2.9
Hong Kong SAR, China	5
Macao SAR, China	5.1
Colombia	7.3
Comoros	8.8
Congo, Dem. Rep.	21.2
Congo, Rep.	..
Costa Rica	4.1
Cote d'Ivoire	-1.4
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	3.3
Denmark	..
Djibouti	..
Dominica	5.8
Dominican Republic	7.8
Ecuador	..
Egypt, Arab Rep.	5.2
El Salvador	..
Equatorial Guinea	..
Eritrea	..
Estonia	..
Ethiopia	..
Faroe Islands	..
Fiji	2.4
Finland	..
France	..
French Polynesia	..
Gabon	..
Gambia, The	19
Georgia	2.1
Germany	..
Ghana	..
Greece	..
Greenland	..
Grenada	6.2
Guam	..
Guatemala	7.7
Guinea	..
Guinea-Bissau	-1.4
Guyana	9.6
Haiti	6
Honduras	8.9
Hungary	1.7
Iceland	..
India	..
Indonesia	3.7
Iran, Islamic Rep.	..
Iraq	..
Ireland	..
Isle of Man	..
Israel	2.9
Italy	..
Jamaica	10.9
Japan	0.7
Jordan	3.7
Kazakhstan	..
Kenya	4.8
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	1.6
Kosovo	5.3
Kuwait	2.9
Kyrgyz Republic	17.5
Lao PDR	..
Latvia	..
Lebanon	0.8
Lesotho	9.7
Liberia	8.2
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
North Macedonia	3.7
Madagascar	36
Malawi	..
Malaysia	1.9
Maldives	8
Mali	-1.4
Malta	..
Marshall Islands	..
Mauritania	11.3
Mauritius	4.7
Mexico	4.9
Micronesia, Fed. Sts.	15.3
Moldova	3.6
Monaco	..
Mongolia	6
Montenegro	..
Morocco	..
Mozambique	9.9
Myanmar	7.8
Namibia	4.2
Nepal	..
Netherlands	..
New Caledonia	..
New Zealand	1.5
Nicaragua	9.4
Niger	-1.4
Nigeria	6.5
Northern Mariana Islands	..
Norway	..
Oman	1.7
Pakistan	3.1
Palau	..
Panama	5.4
Papua New Guinea	7.8
Paraguay	14.1
Peru	12.3
Philippines	3
Poland	..
Portugal	..
Puerto Rico	..
Qatar	1.4
Romania	5.4
Russian Federation	3.3
Rwanda	8.9
Samoa	6.2
San Marino	0.6
Sao Tome and Principe	16.1
Saudi Arabia	..
Senegal	-1.4
Serbia	..
Seychelles	9
Sierra Leone	13.9
Singapore	5.1
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	10.4
Somalia	..
South Africa	3.1
South Sudan	15.6
Spain	..
Sri Lanka	2.5
St. Kitts and Nevis	6.5
St. Lucia	6.2
St. Martin (French part)	..
St. Vincent and the Grenadines	6.5
Sudan	..
Suriname	6
Eswatini	6.4
Sweden	..
Switzerland	3
Syrian Arab Republic	..
Tajikistan	23.4
Tanzania	9.7
Thailand	2.7
Timor-Leste	14.7
Togo	-1.4
Tonga	5.5
Trinidad and Tobago	7.8
Tunisia	..
Turkey	..
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	10.5
Ukraine	6.9
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	6.5
Uzbekistan	7.5
Vanuatu	1.8
Venezuela, RB	6.3
Vietnam	2.7
Virgin Islands (U.S.)	..
West Bank and Gaza	4.4
Yemen, Rep.	..
Zambia	2
Zimbabwe	13.2
World	5.4
East Asia & Pacific	5
Europe & Central Asia	..
Latin America & Caribbean	6.5
Middle East & North Africa	..
North America	..
South Asia	3.1
Sub-Saharan Africa	9.1
Low income	9.4
Lower middle income	6.9
Upper middle income	4.9
High income	..
