Country	Index
Afghanistan	2.7
Burkina Faso	3.6
Burundi	2.9
Cameroon	3.3
Central African Republic	2.6
Chad	2.7
Comoros	2.8
Congo, Dem. Rep.	2.9
Congo, Rep.	2.7
Cote d'Ivoire	3.5
Eritrea	2
Gambia, The	3
Guinea-Bissau	2.5
Haiti	2.8
Iraq	..
Kiribati	2.9
Kosovo	3.5
Lebanon	..
Liberia	2.9
Libya	..
Mali	3.4
Marshall Islands	2.6
Micronesia, Fed. Sts.	2.8
Myanmar	3
Niger	3.4
Nigeria	3.1
Papua New Guinea	3
Solomon Islands	2.9
Somalia	1.8
South Sudan	1.5
Sudan	2.3
Syrian Arab Republic	..
Timor-Leste	2.8
Tuvalu	2.9
West Bank and Gaza	..
Yemen, Rep.	2
Zimbabwe	2.8
Fragile and conflict affected situations	2.8
Low income	2.9
