Country	Migrants
Afghanistan	382
Albania	58
Algeria	242
American Samoa	23,00
Andorra	42,00
Angola	107
Antigua and Barbuda	28
Argentina	2086
Armenia	191
Aruba	36,00
Australia	6.764,00
Austria	1.492,00
Azerbaijan	264
Bahamas, The	59,00
Bahrain	704,00
Bangladesh	1.423,00
Barbados	34,00
Belarus	1083
Belgium	1.388,00
Belize	54
Benin	245
Bermuda	19,00
Bhutan	51
Bolivia	143,00
Bosnia and Herzegovina	35
Botswana	161
Brazil	714
Brunei Darussalam	103,00
Bulgaria	102,00
Burkina Faso	705
Burundi	287
Cabo Verde	15
Cambodia	74
Cameroon	382
Canada	7.836,00
Cayman Islands	24,00
Central African Republic	82,00
Chad	517
Channel Islands	82,00
Chile	469,00
China	978
Hong Kong SAR, China	2.839,00
Macao SAR, China	343,00
Colombia	133
Comoros	13
Congo, Dem. Rep.	546
Congo, Rep.	393
Costa Rica	422
Cote d'Ivoire	2175
Croatia	577,00
Cuba	13
Curacao	38,00
Cyprus	196,00
Czech Republic	405,00
Denmark	573,00
Djibouti	112
Dominica	7
Dominican Republic	416,00
Ecuador	388
Egypt, Arab Rep.	492,00
El Salvador	42
Equatorial Guinea	11
Eritrea	16
Estonia	202,00
Eswatini	32
Ethiopia	1.073,00
Faroe Islands	6
Fiji	14,00
Finland	316,00
France	7.784,00
French Polynesia	30,00
Gabon	268
Gambia, The	193
Georgia	169,00
Germany	12006
Ghana	399,00
Greece	1.243,00
Greenland	6
Grenada	7,00
Guam	76
Guatemala	76
Guinea	228
Guinea-Bissau	22
Guyana	15,00
Haiti	40
Honduras	28,00
Hungary	450,00
Iceland	38
India	5241
Indonesia	329
Iran, Islamic Rep.	2726
Iraq	354,00
Ireland	746,00
Isle of Man	45,00
Israel	2.012,00
Italy	5789
Jamaica	23,00
Japan	2044
Jordan	3112
Kazakhstan	3547
Kenya	1.084,00
Kiribati	3
Korea, Dem. Peopleâ€™s Rep.	48,00
Korea, Rep.	1327
Kosovo	..
Kuwait	2866
Kyrgyz Republic	204
Lao PDR	22,00
Latvia	263
Lebanon	1998
Lesotho	7
Liberia	114,00
Libya	771,00
Liechtenstein	23,00
Lithuania	136,00
Luxembourg	249
North Macedonia	131
Madagascar	32
Malawi	215
Malaysia	2514
Maldives	94
Mali	363,00
Malta	41,00
Marshall Islands	3
Mauritania	138,00
Mauritius	29
Mexico	1.193,00
Micronesia, Fed. Sts.	3
Moldova	143,00
Monaco	21
Mongolia	18
Montenegro	83
Morocco	89
Mozambique	223
Myanmar	73
Namibia	94,00
Nepal	518,00
Netherlands	1.979,00
New Caledonia	64,00
New Zealand	1.040,00
Nicaragua	40
Niger	189
Nigeria	1.199,00
Northern Mariana Islands	22,00
Norway	742,00
Oman	1845
Pakistan	3.629,00
Palau	6
Panama	185
Papua New Guinea	26
Paraguay	156,00
Peru	91
Philippines	212,00
Poland	619,00
Portugal	837,00
Puerto Rico	275,00
Qatar	1.688,00
Romania	227,00
Russian Federation	11643
Rwanda	442
Samoa	5,00
San Marino	5
Sao Tome and Principe	2,00
Saudi Arabia	10186
Senegal	263
Serbia	807,00
Seychelles	13
Sierra Leone	91,00
Singapore	2.544,00
Sint Maarten (Dutch part)	27,00
Slovak Republic	177,00
Slovenia	236
Solomon Islands	3,00
Somalia	25,00
South Africa	3.143,00
South Sudan	824,00
Spain	5.853,00
Sri Lanka	39,00
St. Kitts and Nevis	7
St. Lucia	13,00
St. Martin (French part)	..
St. Vincent and the Grenadines	5
Sudan	503,00
Suriname	47
Sweden	1.640,00
Switzerland	2.439,00
Syrian Arab Republic	875
Tajikistan	275
Tanzania	261
Thailand	3.913,00
Timor-Leste	11
Togo	277
Tonga	6
Trinidad and Tobago	50,00
Tunisia	57,00
Turkey	2.965,00
Turkmenistan	196
Turks and Caicos Islands	12,00
Tuvalu	0
Uganda	749
Ukraine	4835
United Arab Emirates	8.095,00
United Kingdom	8.543,00
United States	46.627,00
Uruguay	72,00
Uzbekistan	1171
Vanuatu	3
Venezuela, RB	1404
Vietnam	73,00
Virgin Islands (U.S.)	57,00
West Bank and Gaza	256
Yemen, Rep.	344
Zambia	128
Zimbabwe	399
World	243.193,00
East Asia & Pacific	25557
Europe & Central Asia	85289
Latin America & Caribbean	8946
Middle East & North Africa	38865
North America	54.482,00
South Asia	11377
Sub-Saharan Africa	18.677,00
Low income	9681
Lower middle income	26517
Upper middle income	49054
High income	157.941,00
