Country	Visitors (2012)	Visitors (2018)
Afghanistan		
Albania	3.156	5.340
Algeria	2.634	2.657
American Samoa	23	20
Andorra	2.238	3.042
Angola	528	218
Antigua and Barbuda	247	269
Argentina	6.497	6.942
Armenia	963	1.652
Aruba	904	1.082
Australia	6.032	9.246
Austria	24.151	30.816
Azerbaijan	1.986	2.633
Bahamas, The	1.422	1.633
Bahrain	8.062	12.045
Bangladesh	125	
Barbados	536	680
Belarus	6.130	11.502
Belgium	7.560	9.119
Belize	277	489
Benin	220	295
Bermuda	232	282
Bhutan	105	274
Bolivia	798	1.142
Bosnia and Herzegovina	439	1.053
Botswana	1.614	
Brazil	5.677	6.621
Brunei Darussalam	209	278
Bulgaria	6.541	9.273
Burkina Faso	237	144
Burundi	147	
Cabo Verde	482	710
Cambodia	3.584	6.201
Cameroon	817	
Canada	16.344	21.134
Cayman Islands	322	463
Central African Republic	71	
Chad	86	
Channel Islands		
Chile	3.554	5.723
China	57.725	62.900
Hong Kong SAR, China	23.770	29.263
Macao SAR, China	13.577	18.493
Colombia	2.179	3.904
Comoros	23	36
Congo, Dem. Rep.	167	
Congo, Rep.	256	156
Costa Rica	2.343	3.017
Cote d'Ivoire	289	1.965
Croatia	10.369	16.645
Cuba	2.823	4.684
Curacao	421	432
Cyprus	2.465	3.939
Czech Republic	7.647	10.611
Denmark	8.443	12.749
Djibouti	60	
Dominica	79	63
Dominican Republic	4.563	6.569
Ecuador	1.272	2.535
Egypt, Arab Rep.	11.196	11.196
El Salvador	1.255	1.677
Equatorial Guinea		
Eritrea	129	
Estonia	2.957	3.234
Ethiopia	597	849
Faroe Islands		
Fiji	661	870
Finland	2.778	3.224
France	81.980	89.322
French Polynesia	169	216
Gabon		
Gambia, The	157	552
Georgia	2.460	4.757
Germany	30.411	38.881
Ghana	903	
Greece	15.518	30.123
Greenland		
Grenada	125	185
Guam	1.308	1.549
Guatemala	1.200	1.781
Guinea	96	
Guinea-Bissau	35	
Guyana	177	287
Haiti	349	447
Honduras	895	
Hungary	10.353	17.552
Iceland	673	2.344
India	6.578	17.423
Indonesia	8.044	15.810
Iran, Islamic Rep.	3.834	7.295
Iraq	1.111	
Ireland	7.550	10.926
Isle of Man		
Israel	2.886	4.121
Italy	46.360	61.567
Jamaica	1.986	2.473
Japan	8.358	31.192
Jordan	4.162	4.150
Kazakhstan	6.163	8.789
Kenya	1.619	
Kiribati	5	7
Korea, Dem. Peopleâ€™s Rep.		
Korea, Rep.	11.140	15.347
Kosovo		
Kuwait	5.729	8.508
Kyrgyz Republic	348	423
Lao PDR	2.291	3.770
Latvia	1.435	1.946
Lebanon	1.366	1.964
Lesotho	423	1.173
Liberia		
Libya		
Liechtenstein	62	85
Lithuania	1.900	2.825
Luxembourg	950	1.018
North Macedonia	351	707
Madagascar	256	291
Malawi	770	871
Malaysia	25.033	25.832
Maldives	958	1.484
Mali	32	14
Malta	1.443	2.599
Marshall Islands	5	7
Mauritania		
Mauritius	965	1.399
Mexico	23.403	41.313
Micronesia, Fed. Sts.	38	19
Moldova	89	160
Monaco	292	347
Mongolia	476	529
Montenegro	1.264	2.077
Morocco	9.375	12.289
Mozambique	2.113	2.743
Myanmar	1.059	3.551
Namibia	1.079	
Nepal	803	1.173
Netherlands	11.680	18.780
New Caledonia	112	120
New Zealand	2.473	3.686
Nicaragua	1.180	1.256
Niger	94	157
Nigeria	4.673	
Northern Mariana Islands	399	517
Norway	4.538	5.688
Oman	1.241	2.301
Pakistan	966	
Palau	120	106
Panama	1.606	1.785
Papua New Guinea	168	140
Paraguay	579	1.181
Peru	2.846	4.419
Philippines	4.273	7.168
Poland	14.840	19.622
Portugal	7.503	16.186
Puerto Rico	3.069	3.068
Qatar	2.324	1.819
Romania	7.937	11.720
Russian Federation	28.177	24.551
Rwanda	815	
Samoa	126	164
San Marino	139	84
Sao Tome and Principe		33
Saudi Arabia	16.332	15.334
Senegal	962	
Serbia	810	1.711
Seychelles	208	362
Sierra Leone	60	57
Singapore	11.098	14.673
Sint Maarten (Dutch part)	457	178
Slovak Republic	1.528	2.256
Slovenia	2.377	4.425
Solomon Islands	24	28
Somalia		
South Africa	9.188	10.472
South Sudan		
Spain	57.464	82.773
Sri Lanka	1.006	2.334
St. Kitts and Nevis	104	125
St. Lucia	307	395
St. Martin (French part)		
St. Vincent and the Grenadines	74	80
Sudan	575	836
Suriname	240	
Eswatini	888	782
Sweden	5.146	7.440
Switzerland	8.566	10.362
Syrian Arab Republic		
Tajikistan	244	1.035
Tanzania	1.043	1.378
Thailand	22.354	38.178
Timor-Leste	58	75
Togo	235	573
Tonga	47	54
Trinidad and Tobago	455	375
Tunisia	6.999	8.299
Turkey	35.698	45.768
Turkmenistan		
Turks and Caicos Islands	292	441
Tuvalu	1	3
Uganda	1.197	
Ukraine	23.013	14.104
United Arab Emirates		21.286
United Kingdom	29.282	36.316
United States	66.967	79.746
Uruguay	2.695	3.469
Uzbekistan	1.895	5.346
Vanuatu	108	116
Venezuela, RB	988	
Vietnam	6.848	15.498
Virgin Islands (U.S.)	619	381
West Bank and Gaza	490	606
Yemen, Rep.	874	
Zambia	859	1.072
Zimbabwe	1.794	2.580
World	1.070.183	1.441.953
East Asia & Pacific	221.489	320.268
Europe & Central Asia	541.182	712.592
Latin America & Caribbean	79.170	113.348
Middle East & North Africa	89.091	110.564
North America	83.543	101.162
South Asia	10.725	26.701
Sub-Saharan Africa	39.172	
Low income		
Lower middle income	104.683	143.896
Upper middle income	291.432	384.264
High income	647.742	879.719
