Country	Reference Year	Most recen year	Bottom 40% (Baseline)	Bottom 40% (Recent)	Total population (Baseline)	Total population (Recent)
Afghanistan	..	..	..	..	..	..
Albania	2014	2017	3.7	3.9	7.9	8.1
Algeria	..	..	..	..	..	..
American Samoa	..	..	..	..	..	..
Andorra	..	..	..	..	..	..
Angola	..	..	..	..	..	..
Antigua and Barbuda	..	..	..	..	..	..
Argentina	2013	2018	8.8	8.1	23.5	21.7
Armenia	2013	2018	3.3	3.5	6.2	6.9
Aruba	..	..	..	..	..	..
Australia	..	..	..	..	..	..
Austria	2012	2017	28.3	30.4	53.7	57
Azerbaijan	..	..	..	..	..	..
Bahamas, The	..	..	..	..	..	..
Bahrain	..	..	..	..	..	..
Bangladesh	2010	2016	1.9	2	3.5	3.9
Barbados	..	..	..	..	..	..
Belarus	2013	2018	12	12.5	20.4	20.4
Belgium	2012	2017	27.3	27.9	47.9	48.9
Belize	..	..	..	..	..	..
Benin	2011	2015	1.1	0.9	2.7	2.7
Bermuda	..	..	..	..	..	..
Bhutan	2012	2017	3.5	3.8	8.1	8.8
Bolivia	2013	2018	4.4	4.8	14.2	13.1
Bosnia and Herzegovina	..	..	..	..	..	..
Botswana	2009	2015	2	2.1	9.6	7.7
Brazil	2013	2018	5.6	5.4	20.2	20.9
Brunei Darussalam	..	..	..	..	..	..
Bulgaria	..	..	..	..	..	..
Burkina Faso	..	..	..	..	..	..
Burundi	..	..	..	..	..	..
Cabo Verde	..	..	..	..	..	..
Cambodia	..	..	..	..	..	..
Cameroon	..	..	..	..	..	..
Canada	..	..	..	..	..	..
Cayman Islands	..	..	..	..	..	..
Central African Republic	..	..	..	..	..	..
Chad	..	..	..	..	..	..
Channel Islands	..	..	..	..	..	..
Chile	2013	2017	8	9.7	21.7	25.2
China	2013	2016	3.9	5	9.5	11.6
Hong Kong SAR, China	..	..	..	..	..	..
Macao SAR, China	..	..	..	..	..	..
Colombia	2013	2018	3.9	4.4	14.1	14.4
Comoros	..	..	..	..	..	..
Congo, Dem. Rep.	..	..	..	..	..	..
Congo, Rep.	..	..	..	..	..	..
Costa Rica	2013	2018	7	7.5	22.8	23.5
Cote d'Ivoire	..	..	..	..	..	..
Croatia	2012	2017	8.5	11	17.3	21.3
Cuba	..	..	..	..	..	..
Curacao	..	..	..	..	..	..
Cyprus	2012	2017	23.9	24.3	47.6	45.8
Czech Republic	2012	2017	15.8	18.8	26.3	30.2
Denmark	2012	2017	28.4	30.3	49.7	54.1
Djibouti	..	..	..	..	..	..
Dominica	..	..	..	..	..	..
Dominican Republic	2011	2016	4.2	5.4	12.6	15.5
Ecuador	2013	2018	4.5	4.8	13.5	13.8
Egypt, Arab Rep.	2012	2017	3.3	2.9	5.6	5.2
