Country	Age
Monaco	55.4
Japan	48.6
Saint Pierre and Miquelon	48.5
Germany	47.8
Italy	46.5
Andorra	46.2
Hong Kong	45.6
Saint Barthelemy	45.6
Greece	45.3
San Marino	45.2
Slovenia	44.9
Isle of Man	44.6
Portugal	44.6
Austria	44.5
Lithuania	44.5
Latvia	44.4
Guernsey	44.3
Croatia	43.9
Spain	43.9
Bulgaria	43.7
Estonia	43.7
Liechtenstein	43.7
Bermuda	43.6
Hungary	43.6
Puerto Rico	43.6
Serbia	43.4
Bosnia and Herzegovina	43.3
Czechia	43.3
Korea, South	43.2
Saint Helena, Ascension, and Tristan da Cunha	43.2
Finland	42.8
Netherlands	42.8
Switzerland	42.7
Romania	42.5
Malta	42.3
Taiwan	42.3
Cuba	42.1
Denmark	42,00
Poland	41.9
Canada	41.8
Slovakia	41.8
Virgin Islands	41.8
France	41.7
Belgium	41.6
Ukraine	41.2
Sint Maarten	41.1
Sweden	41.1
Belarus	40.9
Macau	40.8
United Kingdom	40.6
Cayman Islands	40.5
Russia	40.3
Aruba	39.9
Montenegro	39.6
Barbados	39.5
Luxembourg	39.5
Norway	39.5
Macedonia	39,00
Thailand	39,00
Georgia	38.6
United States	38.5
China	38.4
United Arab Emirates	38.4
Cook Islands	38.3
Cyprus	37.9
Ireland	37.8
Trinidad and Tobago	37.8
Moldova	37.7
Australia	37.5
Jersey	37.5
British Virgin Islands	37.2
Faroe Islands	37.2
New Zealand	37.2
Iceland	37.1
Saint Lucia	36.9
Seychelles	36.8
Curacao	36.7
Armenia	36.6
Saint Kitts and Nevis	36.5
Mauritius	36.3
Anguilla	35.7
Singapore	35.6
Chile	35.5
Gibraltar	35.5
Uruguay	35.5
Saint Vincent and the Grenadines	35.3
Dominica	34.9
Montserrat	34.8
Korea, North	34.6
Turks and Caicos Islands	34.6
Albania	34.3
Greenland	34.3
Wallis and Futuna	34,00
Palau	33.9
Lebanon	33.7
Qatar	33.7
Sri Lanka	33.7
French Polynesia	33.3
Grenada	33.3
Saint Martin	33.3
Brazil	33.2
Bahrain	32.9
New Caledonia	32.9
Bahamas, The	32.8
Northern Mariana Islands	32.8
Antigua and Barbuda	32.7
Tunisia	32.7
Azerbaijan	32.6
Costa Rica	32.6
Argentina	32.4
Turkey	32.2
Vietnam	31.9
Iran	31.7
Kazakhstan	31.6
Colombia	31.2
Brunei	31.1
Indonesia	31.1
Suriname	31,00
Saudi Arabia	30.8
Kosovo	30.5
Israel	30.4
Panama	30.1
Uzbekistan	30.1
Venezuela	30,00
Fiji	29.9
Mongolia	29.8
Kuwait	29.7
Paraguay	29.7
Maldives	29.5
Guam	29.4
Jamaica	29.4
Mexico	29.3
Burma	29.2
Malaysia	29.2
Turkmenistan	29.2
Bhutan	29.1
Morocco	29.1
Peru	29.1
Algeria	28.9
Ecuador	28.8
India	28.7
South Africa	28,00
Bangladesh	27.9
Dominican Republic	27.9
El Salvador	27.7
Guyana	27.5
Kyrgyzstan	27.3
Nicaragua	27.3
American Samoa	27.2
Nauru	27,00
Cabo Verde	26.8
Tuvalu	26.6
Cambodia	26.4
Micronesia, Federated States of	26.3
Oman	26.2
Libya	25.8
Botswana	25.7
Kiribati	25.7
Samoa	25.6
Bolivia	25.3
Nepal	25.3
Tajikistan	25.3
Djibouti	24.9
Lesotho	24.7
Honduras	24.4
Egypt	24.1
Haiti	24.1
Philippines	24.1
Tonga	24.1
Laos	24,00
Papua New Guinea	24,00
Belize	23.9
Marshall Islands	23.8
Eswatini	23.7
Jordan	23.5
Solomon Islands	23.5
Syria	23.5
Guatemala	23.2
Vanuatu	23,00
Pakistan	22,00
West Bank	21.9
Gambia, The	21.8
Namibia	21.8
Western Sahara	21.8
Ghana	21.4
Iraq	21.2
Gabon	21,00
Mauritania	21,00
Comoros	20.9
Zimbabwe	20.5
Cote d'Ivoire	20.3
Equatorial Guinea	20.3
Eritrea	20.3
Madagascar	20.3
Central African Republic	20,00
Kenya	20,00
Togo	20,00
Ethiopia	19.8
Yemen	19.8
Rwanda	19.7
Timor-Leste	19.6
Afghanistan	19.5
Congo, Republic of the	19.5
Senegal	19.4
Sao Tome and Principe	19.3
Guinea	19.1
Sierra Leone	19.1
Nigeria	18.6
South Sudan	18.6
Cameroon	18.5
Somalia	18.5
Sudan	18.3
Tanzania	18.2
Gaza Strip	18,00
Guinea-Bissau	18,00
Liberia	18,00
Burkina Faso	17.9
Burundi	17.7
Benin	17,00
Mozambique	17,00
Zambia	16.9
Malawi	16.8
Congo, Democratic Republic of the	16.7
Chad	16.1
Mali	16,00
Angola	15.9
Uganda	15.7
Niger	14.8
