Country	$ (2010)	$ (2019)
Afghanistan	388	1050
Albania	1544	2716
Algeria	57053	36089
American Samoa	320	470
Andorra	..	142
Angola	50595	34537
Antigua and Barbuda	46	45
Argentina	68187	65116
Armenia	1011	2640
Aruba	265	..
Australia	212634	271592
Austria	152560	179021
Azerbaijan	26476	20000
Bahamas, The	702	825
Bahrain	14971	17881
Bangladesh	19194	37943
Barbados	429	454
Belarus	25284	32930
Belgium	407692	444563
Belize	478	460
Benin	1282	2367
Bermuda	15	16
Bhutan	641	590
Bolivia	6402	8757
Bosnia and Herzegovina	4803	6578
Botswana	4693	5024
Brazil	201915	222644
Brunei Darussalam	8907	6490
Bulgaria	20630	33303
Burkina Faso	1591	3414
Burundi	101	182
Cabo Verde	44	62
Cambodia	5143	14090
Cameroon	3878	4444
Canada	387481	446934
Cayman Islands	24	55
Central African Republic	140	180
Chad	3600	2360
Channel Islands	..	..
Chile	71109	69682
China	1577754	2499029
Hong Kong SAR, China	400692	534887
Macao SAR, China	870	1586
Colombia	39713	39460
Comoros	21	52
Congo, Dem. Rep.	5300	6800
Congo, Rep.	9400	7183
Costa Rica	9448	11803
Cote d'Ivoire	11410	12724
Croatia	11806	17381
Cuba	4914	2450
Curacao	928	470
Cyprus	1402	3460
Czech Republic	132982	198511
Denmark	96440	110699
Djibouti	85	185
Dominica	37	20
Dominican Republic	6754	11360
Ecuador	17490	22329
Egypt, Arab Rep.	26438	28993
El Salvador	4499	5943
Equatorial Guinea	10000	5200
Eritrea	13	744
Estonia	11591	16124
Eswatini	1800	2044
Ethiopia	2330	2774
Faroe Islands	839	1306
Fiji	841	990
Finland	69518	73333
France	523767	569732
French Polynesia	153	130
Gabon	8686	7318
Gambia, The	68	111
Georgia	1677	3765
Germany	1258924	1489158
Ghana	7960	15554
Greece	28017	37874
Greenland	380	750
Grenada	25	32
Guam	46	32
Guatemala	8463	11189
Guinea	1471	3337
Guinea-Bissau	127	306
Guyana	880	1610
Haiti	579	1200
Honduras	6264	8705
Hungary	95483	123616
Iceland	4604	5224
India	226351	324163
Indonesia	157779	167497
Iran, Islamic Rep.	101316	55100
Iraq	52483	89491
Ireland	116497	169779
Isle of Man	..	..
Israel	58415	58448
Italy	447301	532663
Jamaica	1328	1650
Japan	769774	705528
Jordan	7028	8313
Kazakhstan	59971	57309
Kenya	5169	5824
Kiribati	4	6
Korea, Dem. Peopleâ€™s Rep.	2555	240
Korea, Rep.	466384	542233
Kosovo	..	..
Kuwait	69978	64876
Kyrgyz Republic	1756	1966
Lao PDR	1746	5880
Latvia	9532	15489
Lebanon	5021	4829
Lesotho	878	1002
Liberia	222	528
Libya	48935	24441
Liechtenstein	..	..
Lithuania	20748	33124
Luxembourg	19748	16508
Madagascar	1149	2640
Malawi	1066	859
Malaysia	198612	238195
Maldives	198	350
Mali	1996	3367
Malta	3586	3007
Marshall Islands	32	55
Mauritania	2074	2455
Mauritius	2261	2230
Mexico	298305	461116
Micronesia, Fed. Sts.	30	42
Moldova	1541	2779
Monaco	..	..
Mongolia	2899	7620
Montenegro	437	465
Morocco	17771	28780
Mozambique	3000	4550
Myanmar	8661	17440
Namibia	4026	5084
Nepal	856	900
Netherlands	574251	709229
New Caledonia	1493	1670
New Zealand	31396	39523
Nicaragua	3251	6750
Niger	1150	1264
Nigeria	84000	61690
North Macedonia	3351	7189
Northern Mariana Islands	5	7
Norway	130657	102685
Oman	36601	41556
Pakistan	21410	23352
Palau	6	7
Panama	10987	11390
Papua New Guinea	5742	10650
Paraguay	6505	7652
Peru	35803	47690
Philippines	51496	70334
Poland	159724	264013
Portugal	49406	67060
Puerto Rico	..	..
Qatar	74964	72640
Romania	49579	76873
Russian Federation	400630	418796
Rwanda	297	1166
Samoa	70	49
San Marino	..	..
Sao Tome and Principe	11	13
Saudi Arabia	251143	268590
Senegal	2161	4175
Serbia	9795	19630
Seychelles	400	495
Sierra Leone	341	487
Singapore	351867	390763
Sint Maarten (Dutch part)	127	..
Slovak Republic	65957	89682
Slovenia	29200	44866
Solomon Islands	224	460
Somalia	..	..
South Africa	91347	90016
South Sudan	..	..
Spain	254418	333622
Sri Lanka	8602	11973
St. Kitts and Nevis	32	65
St. Lucia	215	55
St. Martin (French part)	127	140
St. Vincent and the Grenadines	42	42
Sudan	11404	2450
Suriname	2026	2270
Sweden	158549	160543
Switzerland	195609	313866
Syrian Arab Republic	12796	2100
Tajikistan	1195	1050
Tanzania	4051	5048
Thailand	193306	246245
Timor-Leste	16	154
Togo	976	1103
Tonga	8	20
Trinidad and Tobago	10982	7320
Tunisia	16427	14933
Turkey	113883	180871
Turkmenistan	6500	10000
Turks and Caicos Islands	..	3
Tuvalu	0	0
Uganda	1619	3455
Ukraine	51478	50066
United Arab Emirates	213539	280136
United Kingdom	420182	468817
United States	1278495	1645625
Uruguay	6724	7680
Uzbekistan	11695	16000
Vanuatu	49	48
Venezuela, RB	65745	16455
Vietnam	72237	264273
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	8100	1478
Zambia	7200	7303
Zimbabwe	3199	4359
World	15406011	19006710
East Asia & Pacific	4798361	6368882
Europe & Central Asia	6251312	7550196
Latin America & Caribbean	970982	1147257
Middle East & North Africa	1077268	1102498
North America	1665991	2092575
South Asia	277640	400321
Sub-Saharan Africa	364168	337226
Low income	73234	56670
Lower middle income	825712	1171577
Upper middle income	3907826	5170775
High income	10599238	12599500
