Country	imports (2010)	imports (2019)
Afghanistan	20.9	13.9
Albania	13.8	4.5
Algeria	2.1	4.2
American Samoa	..	..
Andorra	10.1	8.4
Angola	17.2	15.1
Antigua and Barbuda	0.5	0.6
Argentina	7.9	8.6
Armenia	18	15.5
Aruba	6.5	6.2
Australia	14	13.6
Austria	11	8.3
Azerbaijan	1.2	7.2
Bahamas, The	24	..
Bahrain	38	30.2
Bangladesh	8.3	..
Barbados	1.7	23.2
Belarus	34.7	28.9
Belgium	13.8	11.4
Belize	16.4	15.1
Benin	19.6	18.4
Bermuda	10.1	12.2
Bhutan	15.2	..
Bolivia	12.4	13.9
Bosnia and Herzegovina	19.4	14
Botswana	14.7	12.5
Brazil	16.4	14.1
Brunei Darussalam	5.1	6.6
Bulgaria	22.2	13.4
Burkina Faso	22	27.2
Burundi	2.1	19.5
Cabo Verde	11.9	12
Cambodia	7.3	11.9
Cameroon	27.5	14.4
Canada	10.4	7.5
Cayman Islands	..	..
Central African Republic	1	0.8
Chad	..	..
Channel Islands	..	..
Chile	22.1	16.3
China	14.5	17.5
Hong Kong SAR, China	3.6	2.6
Macao SAR, China	11.1	5.1
Colombia	5.1	6.9
Comoros	0.5	5.2
Congo, Dem. Rep.	..	..
Congo, Rep.	5.7	3.7
Costa Rica	12.2	10.1
Cote d'Ivoire	23.7	21.1
Croatia	18.9	13.3
Cuba	..	..
Curacao	..	..
Cyprus	20.2	17.5
Czech Republic	9.5	5.4
Denmark	7.3	6.5
Djibouti	6.5	..
Dominica	17.3	..
Dominican Republic	24.6	16.6
Ecuador	16.6	13
Egypt, Arab Rep.	13.4	14.2
El Salvador	16.7	14.2
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	16.4	10.6
Eswatini	10.8	16
Ethiopia	18.4	9.8
Faroe Islands	15.8	..
Fiji	31.8	20.5
Finland	18.4	14.5
France	14	11.3
French Polynesia	13.1	..
Gabon	7.3	..
Gambia, The	20.5	46.9
Georgia	18.3	14.3
Germany	11.6	8.5
Ghana	1	2.1
Greece	24.5	26.8
Greenland	20.7	16.4
