Country	imports (2010)	imports (2019)
Afghanistan	19.1	45.8
Albania	63.6	47.1
Algeria	78.4	73
American Samoa	..	..
Andorra	66.8	68.6
Angola	65.7	59.2
Antigua and Barbuda	48.3	68.7
Argentina	84.7	80.2
Armenia	55.9	64.1
Aruba	59.3	64.5
Australia	74.9	74.3
Austria	73.6	77.1
Azerbaijan	76.3	73.6
Bahamas, The	52.9	..
Bahrain	41.5	54
Bangladesh	64.1	..
Barbados	70	51.8
Belarus	47.3	54.1
Belgium	71.2	74.3
Belize	61	62.2
Benin	38.6	32.2
Bermuda	50.5	54.7
Bhutan	60.8	..
Bolivia	78.3	76.9
Bosnia and Herzegovina	58.4	64.8
Botswana	68.5	71.9
Brazil	74.1	75.5
Brunei Darussalam	75.3	79.9
Bulgaria	54.9	61.3
Burkina Faso	61	59.3
Burundi	81.6	61.2
Cabo Verde	57.8	55.4
Cambodia	81.9	75.8
Cameroon	52.4	60
Canada	76.7	78.5
Cayman Islands	..	..
Central African Republic	67.2	68.2
Chad	..	..
Channel Islands	..	..
Chile	68.2	71.7
China	61.5	60.6
Hong Kong SAR, China	89.8	90.8
Macao SAR, China	66.5	68.8
Colombia	80.3	77
Comoros	60.3	49.1
Congo, Dem. Rep.	..	..
Congo, Rep.	86.7	69
Costa Rica	73	74
Cote d'Ivoire	54.6	55.7
Croatia	67.1	70.3
Cuba	..	..
Curacao	..	..
Cyprus	61.6	64.7
Czech Republic	77	84.9
Denmark	73.1	74
Djibouti	62.4	..
Dominica	57.1	..
Dominican Republic	59.8	65.8
Ecuador	72.4	74.1
Egypt, Arab Rep.	60.1	59.2
El Salvador	63	64.8
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	63.8	69.2
Eswatini	59.9	62
Ethiopia	69	73.6
Faroe Islands	62.3	..
Fiji	47.9	61.1
Finland	60.7	61.2
France	73.3	75.7
French Polynesia	61.5	..
Gabon	73.8	..
Gambia, The	40.3	25.5
Georgia	59.8	63.5
Germany	70.8	73.5
Ghana	81.1	74.9
Greece	58.8	52.9
Greenland	56.4	60.1
Grenada	58.8	..
Guam	..	..
Guatemala	66	64.8
Guinea	53.2	..
Guinea-Bissau	..	..
Guyana	54.1	80
Haiti	..	..
Honduras	59.4	65.1
Hungary	72.1	80.9
Iceland	71.7	73.5
India	50.6	53.9
Indonesia	63.3	65.9
Iran, Islamic Rep.	70.5	66.9
Iraq	0.1	..
Ireland	70	79.4
Isle of Man	..	..
Israel	71.4	75.9
Italy	63.8	69.4
Jamaica	48.7	54.3
Japan	50.5	59.4
Jordan	56.3	55.1
Kazakhstan	78.7	81.8
Kenya	62.7	63
Kiribati	32	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	56.8	60.8
Kosovo	..	..
Kuwait	80.9	80.1
Kyrgyz Republic	53.8	70.5
Lao PDR	59.9	70.6
Latvia	59.1	66
Lebanon	59	58.1
Lesotho	63.6	61.3
Liberia	..	..
Libya	84.1	..
Liechtenstein	..	..
Lithuania	49.9	61.3
Luxembourg	63.8	66.9
Madagascar	69.5	57.1
Malawi	74.1	74.2
Malaysia	74.2	70.3
Maldives	50.2	60.2
Mali	61.2	57.9
Malta	63.2	64.1
Marshall Islands	..	..
