Country	Value
Afghanistan	12.9
Albania	2.2
Algeria	8
American Samoa	2.4
Andorra	-3.5
Angola	4.9
Antigua and Barbuda	-4.3
Argentina	5.2
Armenia	2.5
Aruba	-15.1
Australia	3.9
Austria	1
Azerbaijan	5.6
Bahamas, The	0.6
Bahrain	-0.5
Bangladesh	10.8
Barbados	-0.3
Belarus	2.3
Belgium	0.5
Belize	4.3
Benin	7.1
Bermuda	-2
Bhutan	9.5
Bolivia	12.9
Bosnia and Herzegovina	0.8
Botswana	8.1
Brazil	5.3
Brunei Darussalam	5.8
Bulgaria	1.6
Burkina Faso	9.9
Burundi	9
Cabo Verde	0
Cambodia	11.5
Cameroon	5.1
Canada	2.2
Cayman Islands	-0.5
Central African Republic	4.9
Chad	8.7
Channel Islands	..
Chile	4.9
China	8.5
Hong Kong SAR, China	6.3
Macao SAR, China	8.4
Colombia	7.2
Comoros	6.6
Congo, Dem. Rep.	7.3
Congo, Rep.	11.8
Costa Rica	3.7
Cote d'Ivoire	5.3
Croatia	-1.4
Cuba	0.8
Curacao	..
Cyprus	-1.5
Czech Republic	3.6
Denmark	-0.4
Djibouti	8
Dominica	1
Dominican Republic	3.4
Ecuador	5.4
Egypt, Arab Rep.	7.3
El Salvador	2.8
Equatorial Guinea	3.2
Eritrea	9.5
Estonia	2
Ethiopia	12.8
Faroe Islands	1.8
Fiji	4.2
Finland	-1.6
France	0.1
French Polynesia	-1.7
Gabon	5.8
Gambia, The	3.7
Georgia	6.8
Germany	1.3
Ghana	7.9
Greece	-4.4
Greenland	0.4
Grenada	1.2
Guam	-2.9
Guatemala	4.2
Guinea	12.8
Guinea-Bissau	2
Guyana	5.7
Haiti	8.9
Honduras	3.7
Hungary	1.1
Iceland	-0.8
India	7.9
Indonesia	6.6
Iran, Islamic Rep.	-0.1
Iraq	10.4
Ireland	0.4
Isle of Man	..
Israel	3.1
Italy	-1.4
Jamaica	-2.4
Japan	1.5
Jordan	5.8
Kazakhstan	1.6
Kenya	8
Kiribati	7.7
Korea, Dem. Peopleâ€™s Rep.	5.4
Korea, Rep.	3.6
Kosovo	..
Kuwait	5.6
Kyrgyz Republic	7.6
Lao PDR	20
Latvia	2.6
Lebanon	6.4
Lesotho	2.5
Liberia	14.1
Libya	8.8
Liechtenstein	..
Lithuania	3.9
Luxembourg	-1.8
North Macedonia	4.3
Madagascar	2.3
Malawi	6.1
Malaysia	3.8
Maldives	8.5
Mali	7.1
Malta	4.3
Marshall Islands	2
Mauritania	6.1
Mauritius	3.3
Mexico	5
Micronesia, Fed. Sts.	2.3
Moldova	3.6
Monaco	..
Mongolia	9.9
Montenegro	..
Morocco	4.2
Mozambique	11.5
Myanmar	22.7
Namibia	9.9
Nepal	12.2
Netherlands	1.7
New Caledonia	0.9
New Zealand	3.7
Nicaragua	8
Niger	5.1
Nigeria	3.8
Northern Mariana Islands	-8.6
Norway	0.9
Oman	8
Pakistan	4.4
Palau	4.4
Panama	7.7
Papua New Guinea	0.5
Paraguay	7.6
Peru	9.1
Philippines	4.4
Poland	3.6
Portugal	-1.1
Puerto Rico	..
Qatar	5
Romania	2.2
Russian Federation	1.6
Rwanda	15.6
Samoa	4.1
San Marino	..
Sao Tome and Principe	7.4
Saudi Arabia	8.4
Senegal	3.3
Serbia	0.4
Seychelles	2.8
Sierra Leone	16.1
Singapore	2.6
Sint Maarten (Dutch part)	..
Slovak Republic	4.3
Slovenia	1.1
Solomon Islands	7.9
Somalia	4.5
South Africa	3.1
South Sudan	..
Spain	-1.2
Sri Lanka	7.3
St. Kitts and Nevis	0.6
St. Lucia	0.4
St. Martin (French part)	..
St. Vincent and the Grenadines	1.2
Sudan	0.3
Suriname	5.8
Eswatini	-2.1
Sweden	0.6
Switzerland	7.8
Syrian Arab Republic	-11.9
Tajikistan	5.9
Tanzania	9.2
Thailand	5.4
Timor-Leste	..
Togo	8.8
Tonga	6.2
Trinidad and Tobago	3.5
Tunisia	1.9
Turkey	4.2
Turkmenistan	8.6
Turks and Caicos Islands	-3.6
Tuvalu	..
Uganda	6.4
Ukraine	-2.3
United Arab Emirates	9.7
United Kingdom	1.1
United States	2.4
Uruguay	6.4
Uzbekistan	8.9
Vanuatu	5
Venezuela, RB	-4.5
Vietnam	13.6
Virgin Islands (U.S.)	..
West Bank and Gaza	7.8
Yemen, Rep.	1.3
Zambia	11
Zimbabwe	5.8
