Country	% GDP (2010)	% GDP (2018)	% Expenditure (2010)	% Expenditure (2018)
Afghanistan	1.9	1	9.4	3.7
Albania	1.6	1.2	5.3	4.1
Algeria	3.5	5.3	9.4	13.8
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	4.2	1.8	10.6	9.4
Antigua and Barbuda	..	..	..	..
Argentina	0.8	0.9	2.4	2.1
Armenia	4.3	4.8	16.3	20.9
Aruba	..	..	..	..
Australia	1.9	1.9	5	5.1
Austria	0.8	0.7	1.6	1.5
Azerbaijan	2.8	3.8	8.7	11
Bahamas, The	..	..	..	..
Bahrain	3.3	3.6	11.5	10.9
Bangladesh	1.3	1.4	11.2	10.2
Barbados	..	..	..	..
Belarus	1.3	1.3	30.3	31.9
Belgium	1.1	0.9	2	1.8
Belize	1.1	1.3	3.8	3.9
Benin	1	0.9	4.9	3.7
Bermuda	..	..	..	..
Bhutan	..	..	..	..
Bolivia	1.7	1.5	5.3	3.9
Bosnia and Herzegovina	1.3	1.1	2.6	2.7
Botswana	2.7	2.8	6.2	8.6
Brazil	1.5	1.5	4	3.9
Brunei Darussalam	2.9	2.4	7.9	7.8
Bulgaria	1.8	1.7	5.1	4.8
Burkina Faso	1.4	2.1	5.7	8
Burundi	2.5	1.9	6.7	8.4
Cambodia	1.5	2.2	7.1	9.2
Cameroon	1.5	1.3	8.5	6
Canada	1.2	1.3	2.8	3.1
Cabo Verde	0.5	0.6	1.3	1.8
Cayman Islands	..	..	..	..
Central African Republic	2.6	1.4	14	8.4
Chad	5.8	2.1	23.7	14.6
Channel Islands	..	..	..	..
Chile	2.2	1.9	9.6	7.4
China	1.9	1.9	7.6	5.5
Hong Kong SAR, China	..	..	..	..
Macao SAR, China	..	..	..	..
Colombia	3.6	3.2	12.4	11.6
Comoros	..	..	..	..
Congo, Dem. Rep.	0.9	0.7	5.4	5.5
Congo, Rep.	1.8	2.5	7.2	10.4
Costa Rica	0	0	0	0
Cote d'Ivoire	1.6	1.4	7.8	6
Croatia	1.7	1.5	3.6	3.1
Cuba	3.3	2.9	..	..
Curacao	..	..	..	..
Cyprus	1.9	1.6	4.4	4.3
Czech Republic	1.2	1.1	2.8	2.8
Denmark	1.4	1.2	2.5	2.3
Djibouti	3.7	..	9.1	..
Dominica	..	..	..	..
Dominican Republic	0.7	0.7	4.2	4.1
Ecuador	3	2.4	8.7	6.4
Egypt, Arab Rep.	2	1.2	6.2	4.1
El Salvador	1.1	1	4.4	4.2
Equatorial Guinea	2.5	0.2	6.2	0.6
Eritrea	..	..	..	..
Estonia	1.7	2.1	4.2	5.1
Ethiopia	1.1	0.6	6.1	3.9
Faroe Islands	..	..	..	..
Fiji	1.6	0.9	5.8	2.7
Finland	1.5	1.4	2.7	2.6
France	2.3	2.3	4.1	4.1
French Polynesia	..	..	..	..
Gabon	1.9	1.5	8.1	9.2
Gambia, The	0.8	1.1	3.4	3.3
Georgia	3.9	1.9	11.8	6.6
Germany	1.4	1.2	2.9	2.8
Ghana	0.4	0.4	1.4	1.6
Greece	2.7	2.4	5.2	4.9
Greenland	..	..	..	..
Grenada	..	..	..	..
Guam	..	..	..	..
Guatemala	0.4	0.4	2.8	2.9
Guinea	3	2.5	11.4	9.9
Guinea-Bissau	2	..	9.8	..
Guyana	1.4	1.7	4.4	4.4
Haiti	..	0	0	0
Honduras	1.1	1.7	4.1	6.5
Hungary	1	1.1	2.1	2.2
Iceland	..	..	0	0
India	2.7	2.4	9.9	8.7
Indonesia	0.6	0.7	3.7	4.3
Iran, Islamic Rep.	2.9	2.7	15.2	15.8
Iraq	2.7	2.7	5.5	8.4
Ireland	0.6	0.3	0.9	1.3
Isle of Man	..	..	..	..
Israel	6.2	4.3	15.5	11.1
Italy	1.5	1.3	3	2.8
Jamaica	0.9	1.4	2.6	4.4
Japan	1	0.9	2.5	2.5
Jordan	5.9	4.7	17.9	15
Kazakhstan	1	1	4.5	4.8
Kenya	1.6	1.2	6.4	4.8
Kiribati	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..	..
Korea, Rep.	2.6	2.6	13.2	12.4
Kosovo	0.7	0.8	2.3	2.7
Kuwait	3.8	5.1	8.4	11
Kyrgyz Republic	1.6	1.6	4.3	4.4
Lao PDR	0.2	..	0.9	..
Latvia	1.1	2	2.5	5.2
Lebanon	4.1	5	14.1	15.6
Lesotho	2.7	1.8	5.6	3.8
Liberia	0.7	0.8	1.7	1.5
Libya	3.7	..	8.2	..
Liechtenstein	..	..	..	..
Lithuania	0.9	2	2.1	5.8
Luxembourg	0.5	0.6	1.2	1.4
North Macedonia	1.4	1	4.3	3.1
Madagascar	0.7	0.6	4.6	3.5
Malawi	0.7	0.8	2.6	3.1
Malaysia	1.5	1	5.6	4.3
Maldives	..	..	..	..
Mali	1.4	2.9	6.8	14.3
Malta	0.7	0.5	1.6	1.3
Marshall Islands	..	..	..	..
Mauritania	3.1	3	13.2	11.2
Mauritius	0.2	0.2	0.6	0.6
Mexico	0.6	0.5	2	2.1
Micronesia, Fed. Sts.	..	..	..	..
Moldova	0.3	0.3	0.8	1
Monaco	..	..	..	..
Mongolia	0.8	0.8	2.4	2.5
Montenegro	1.8	1.5	3.9	3.2
Morocco	3.4	3.1	10.9	10.5
Mozambique	1	1	3.3	3.2
Myanmar	3.7	2.9	19.6	15.2
Namibia	3.5	3.3	10.5	8.8
Nepal	1.6	1.4	8.3	4.5
Netherlands	1.3	1.2	2.8	2.9
New Caledonia	..	..	..	..
New Zealand	1.4	1.2	3.1	3
Nicaragua	0.5	0.6	2.3	2.2
Niger	1.2	2.5	5.7	9.5
Nigeria	0.5	0.5	3.2	4
Northern Mariana Islands	..	..	..	..
Norway	1.5	1.6	3.4	3.4
Oman	6.3	8.2	18.5	19
Pakistan	3.4	4	16.8	18.5
Palau	..	..	..	..
Panama	0	0	0	0
Papua New Guinea	0.3	0.3	1.8	1.4
Paraguay	0.8	0.9	5.1	4.8
Peru	1.5	1.2	7	5.6
Philippines	1.2	1.1	6.4	5.4
Poland	1.8	2	4	4.8
Portugal	2	1.8	3.8	4.1
Puerto Rico	..	..	..	..
Qatar	1.5	..	4.9	..
Romania	1.3	1.9	3.3	6
Russian Federation	3.6	3.9	10.1	11.4
Rwanda	1.3	1.2	5.1	4.7
Samoa	..	..	..	..
San Marino	..	..	..	..
Sao Tome and Principe	..	..	..	..
Saudi Arabia	8.6	8.8	25.9	24.6
Senegal	1.5	1.9	11.4	8.8
Serbia	2.2	1.9	4.9	4.4
Seychelles	0.7	1.4	2.1	3.9
Sierra Leone	1	0.8	4.8	3.1
Singapore	3.4	3.1	22.2	17.1
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	1.3	1.2	3	3
Slovenia	1.6	1	3.5	2.5
Solomon Islands	..	..	..	..
Somalia	..	..	..	..
South Africa	1.1	1	3.5	2.9
South Sudan	4.1	1.3	29	3.4
Spain	1.4	1.3	3	3.1
Sri Lanka	2.7	1.9	13.5	10.1
St. Kitts and Nevis	..	..	..	..
St. Lucia	..	..	..	..
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	..	..	..	..
Sudan	6	2.3	29.1	11.5
Suriname	..	..	..	..
Eswatini	2.3	1.5	7.5	5.2
Sweden	1.2	1	2.4	2.1
Switzerland	0.7	0.7	2.2	2.1
Syrian Arab Republic	4.1	..	13.6	..
Tajikistan	1	..	3.6	..
Tanzania	0.9	1.2	4.5	6.9
Thailand	1.6	1.3	6.7	6.3
Timor-Leste	0.6	0.6	2.5	1.4
Togo	1.8	2	7.9	7.1
Tonga	..	..	..	..
Trinidad and Tobago	0.6	0.8	1.9	2.4
Tunisia	1.3	2.1	5.2	6.9
Turkey	2.3	2.5	6.4	7.1
Turkmenistan	..	..	..	..
Turks and Caicos Islands	..	..	..	..
Tuvalu	..	..	..	..
Uganda	3	1.4	16	7.1
Ukraine	2.7	3.8	5.6	8.7
United Arab Emirates	6	..	18.7	..
United Kingdom	2.4	1.8	5.3	4.6
United States	4.7	3.2	11.7	9
Uruguay	1.9	2	6.2	5.8
Uzbekistan	..	3.6	..	..
Vanuatu	..	..	..	..
Venezuela, RB	1	0.5	..	..
Vietnam	2.3	2.3	7.7	8.1
Virgin Islands (U.S.)	..	..	..	..
West Bank and Gaza	..	..	..	..
Yemen, Rep.	4.7	..	15.5	..
Zambia	1.4	1.4	7.7	5.7
Zimbabwe	1	2.2	4.5	5.6
World	2.5	2.1	6.6	6.1
East Asia & Pacific	1.6	1.7	5.6	5.4
Europe & Central Asia	1.8	1.7	4	4
Latin America & Caribbean	1.4	1.3	4.2	4.1
Middle East & North Africa	4.7	5.5	15.6	16.4
North America	4.3	3	10.7	8.4
South Asia	2.7	2.5	10.6	9.7
Sub-Saharan Africa	1.3	1.1	5.1	4.8
Low income	2.3	1.3	8.9	6.2
Lower middle income	2.3	2.2	8.6	8.8
Upper middle income	1.9	1.8	6.8	5.8
High income	2.7	2.3	6.5	6
