Country	Rents %
Afghanistan	0
Albania	0
Algeria	0.1
American Samoa	0
Andorra	0
Angola	0
Antigua and Barbuda	0
Argentina	0.3
Armenia	4.2
Aruba	0
Australia	4.6
Austria	0
Azerbaijan	0.2
Bahamas, The	0
Bahrain	0
Bangladesh	0
Barbados	0
Belarus	0
Belgium	0
Belize	0
Benin	0
Bermuda	0
Bhutan	0.1
Bolivia	2.6
Bosnia and Herzegovina	0.4
Botswana	0.5
Brazil	1.5
Brunei Darussalam	0
Bulgaria	1
Burkina Faso	10.7
Burundi	0.5
Cambodia	0
Cameroon	0.2
Canada	0.6
Cabo Verde	0
Cayman Islands	..
Central African Republic	0.1
Chad	0
Channel Islands	..
Chile	9.6
China	0.4
Hong Kong SAR, China	0
Macao SAR, China	0
Colombia	0.7
Comoros	0
Congo, Dem. Rep.	11.3
Congo, Rep.	0
Costa Rica	0
Cote d'Ivoire	1.7
Croatia	0
Cuba	0.2
Curacao	..
Cyprus	0
Czech Republic	0
Denmark	0
Djibouti	0
Dominica	0
Dominican Republic	2.1
Ecuador	0.2
Egypt, Arab Rep.	0.3
El Salvador	0
Equatorial Guinea	0
Eritrea	..
Estonia	0
Eswatini	0
Ethiopia	0.4
Faroe Islands	0
Fiji	1
Finland	0.2
France	0
French Polynesia	..
Gabon	0.3
Gambia, The	0
Georgia	0.9
Germany	0
Ghana	4.2
Greece	0
Greenland	0
Grenada	0
Guam	0
Guatemala	0.6
Guinea	10.3
Guinea-Bissau	0
Guyana	17.6
Haiti	0
Honduras	0.5
Hungary	0
Iceland	0
India	0.4
Indonesia	0.7
Iran, Islamic Rep.	0.5
Iraq	0
Ireland	0
Isle of Man	0
Israel	0.1
Italy	0
Jamaica	1
Japan	0
Jordan	1.2
Kazakhstan	3.7
Kenya	0
Kiribati	0
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	0
Kosovo	0.4
Kuwait	0
Kyrgyz Republic	8.2
Lao PDR	5.3
Latvia	0
Lebanon	0
Lesotho	0
Liberia	4
Libya	0
Liechtenstein	0
Lithuania	0
Luxembourg	0
North Macedonia	1.1
Madagascar	1.3
Malawi	0
Malaysia	0
Maldives	0
Mali	8.9
Malta	0
Marshall Islands	0
Mauritania	17.1
Mauritius	0
Mexico	0.8
Micronesia, Fed. Sts.	0
Moldova	0
Monaco	0
Mongolia	19
Montenegro	0.5
Morocco	2
Mozambique	0.1
Myanmar	0.9
Namibia	3.3
Nepal	0
Netherlands	0
New Caledonia	..
New Zealand	0.3
Nicaragua	1.6
Niger	0.4
Nigeria	0.1
Northern Mariana Islands	0
Norway	0
Oman	0
Pakistan	0
Palau	0
Panama	0.1
Papua New Guinea	12.9
Paraguay	0
Peru	6.9
Philippines	0.8
Poland	0.3
Portugal	0.1
Puerto Rico	0
Qatar	0
Romania	0
Russian Federation	1.1
Rwanda	0.2
Samoa	0
San Marino	0
Sao Tome and Principe	0
Saudi Arabia	0.1
Senegal	1.8
Serbia	0.4
Seychelles	0
Sierra Leone	0.6
Singapore	0
Sint Maarten (Dutch part)	..
Slovak Republic	0
Slovenia	0
Solomon Islands	0.2
Somalia	0
South Africa	2.5
South Sudan	0
Spain	0
Sri Lanka	0
St. Kitts and Nevis	0
St. Lucia	0
St. Martin (French part)	..
St. Vincent and the Grenadines	0
Sudan	2.8
Suriname	25.5
Sweden	0.2
Switzerland	0
Syrian Arab Republic	..
Tajikistan	4.1
Tanzania	2.7
Thailand	0
Timor-Leste	0
Togo	11.3
Tonga	0
Trinidad and Tobago	0
Tunisia	0.5
Turkey	0.2
Turkmenistan	0
Turks and Caicos Islands	..
Tuvalu	0
Uganda	0
Ukraine	1.8
United Arab Emirates	0
United Kingdom	0
United States	0.1
Uruguay	0.1
Uzbekistan	5.1
Vanuatu	0
Venezuela, RB	0.2
Vietnam	0.2
Virgin Islands (U.S.)	0
West Bank and Gaza	0
Yemen, Rep.	0
Zambia	11.1
Zimbabwe	3.4
World	0.4
East Asia & Pacific	0.5
Europe & Central Asia	0.2
Latin America & Caribbean	1.6
Middle East & North Africa	0.2
North America	0.1
South Asia	0.3
Sub-Saharan Africa	1.8
Low income	2.9
Lower middle income	0.7
Upper middle income	0.7
High income	0.2
