Country	Total
Afghanistan	15
Albania	14
Algeria	24
American Samoa	..
Andorra	8
Angola	24
Antigua and Barbuda	8
Argentina	14
Armenia	17
Aruba	..
Australia	6
Austria	5
Azerbaijan	9
Bahamas, The	14
Bahrain	8
Bangladesh	15
Barbados	6
Belarus	9
Belgium	6
Belize	28
Benin	28
Bermuda	..
Bhutan	17
Bolivia	16
Bosnia and Herzegovina	16
Botswana	24
Brazil	20
Brunei Darussalam	8
Bulgaria	10
Burkina Faso	31
Burundi	35
Cabo Verde	25
Cambodia	18
Cameroon	30
Canada	6
Cayman Islands	..
Central African Republic	34
Chad	28
Channel Islands	..
Chile	13
China	18
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	19
Comoros	27
Congo, Dem. Rep.	34
Congo, Rep.	27
Costa Rica	17
Cote d'Ivoire	24
Croatia	8
Cuba	9
Curacao	..
Cyprus	5
Czech Republic	6
Denmark	4
Djibouti	25
Dominica	11
Dominican Republic	35
Ecuador	21
Egypt, Arab Rep.	10
El Salvador	22
Equatorial Guinea	25
Eritrea	25
Estonia	6
Eswatini	27
Ethiopia	27
Faroe Islands	..
Fiji	10
Finland	5
France	6
French Polynesia	..
Gabon	23
Gambia, The	30
Georgia	15
Germany	4
Ghana	25
Greece	9
Greenland	..
Grenada	9
Guam	..
Guatemala	17
Guinea	28
Guinea-Bissau	31
Guyana	25
Haiti	15
Honduras	17
Hungary	8
Iceland	7
India	23
Indonesia	12
Iran, Islamic Rep.	21
Iraq	21
Ireland	4
Isle of Man	..
Israel	4
Italy	6
Jamaica	14
Japan	4
Jordan	24
Kazakhstan	18
Kenya	28
Kiribati	4
Korea, Dem. People’s Rep.	21
Korea, Rep.	10
Kosovo	..
Kuwait	18
Kyrgyz Republic	15
Lao PDR	17
Latvia	9
Lebanon	18
Lesotho	29
Liberia	36
Libya	26
Liechtenstein	..
Lithuania	8
Luxembourg	6
Madagascar	29
Malawi	31
Malaysia	24
Maldives	1
Mali	23
Malta	6
Marshall Islands	6
Mauritania	25
Mauritius	14
Mexico	13
Micronesia, Fed. Sts.	2
Moldova	10
Monaco	0
Mongolia	17
Montenegro	11
Morocco	20
Mozambique	30
Myanmar	20
Namibia	30
Nepal	16
Netherlands	4
New Caledonia	..
New Zealand	8
Nicaragua	15
Niger	26
Nigeria	21
North Macedonia	6
Northern Mariana Islands	..
Norway	3
Oman	16
Pakistan	14
Palau	5
Panama	14
Papua New Guinea	14
Paraguay	23
Peru	14
Philippines	12
Poland	10
Portugal	7
Puerto Rico	..
Qatar	9
Romania	10
Russian Federation	18
Rwanda	30
Samoa	11
San Marino	0
Sao Tome and Principe	28
Saudi Arabia	29
Senegal	23
Serbia	7
Seychelles	16
Sierra Leone	27
Singapore	3
Sint Maarten (Dutch part)	..
Slovak Republic	6
Slovenia	6
Solomon Islands	17
Somalia	27
South Africa	26
South Sudan	30
Spain	4
Sri Lanka	15
St. Kitts and Nevis	..
St. Lucia	35
St. Martin (French part)	..
St. Vincent and the Grenadines	8
Sudan	26
Suriname	15
Sweden	3
Switzerland	3
Syrian Arab Republic	27
Tajikistan	18
Tanzania	29
Thailand	33
Timor-Leste	13
Togo	29
Tonga	17
Trinidad and Tobago	12
Tunisia	23
Turkey	12
Turkmenistan	15
Turks and Caicos Islands	..
Tuvalu	..
Uganda	29
Ukraine	14
United Arab Emirates	18
United Kingdom	3
United States	12
Uruguay	13
Uzbekistan	12
Vanuatu	16
Venezuela, RB	34
Vietnam	26
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	22
Zambia	25
Zimbabwe	35
World	18
East Asia & Pacific	17
Europe & Central Asia	9
Latin America & Caribbean	18
Middle East & North Africa	18
North America	12
South Asia	21
Sub-Saharan Africa	27
Low income	28
Lower middle income	21
Upper middle income	18
High income	8
