Country	Oldest (year)	Number of parks	Total area (km²)	Percentage of country area (%)
Algeria	1929	10	122,352	5.1
Angola		10		
Benin		2		
Botswana	1968	4	56,258	9.67
Burkina Faso	1954	4		
Burundi	1934	3	1,014	3.6
Cameroon		27		
Cape Verde		1		
Central African Republic		5		
Chad	1963	4	14,54	1.13
Comoros		1		
Democratic Republic of the Congo		9		
Republic of the Congo		5		
Côte d'Ivoire	1953	9		
Djibouti		3		
Egypt	1983	5	4,353	4.3
Equatorial Guinea		3		
Eritrea		2		
Eswatini		1		
Ethiopia	1959	13	45,417	1.8
Gabon	2002	13	26,766	10.0
Gambia	1978	5	169.9	1.5
Ghana	1971	7		
Guinea		3		
Guinea-Bissau		6		
Kenya	1946	24		
Lesotho		2		
Liberia		10		
Libya		6		
Madagascar	1958	26	14,327	2.4
Malawi	1966	6		
Mali		4		
Mauritania		2		
Mauritius	1994	3	7,16	3.5
Morocco	1942	12		
Mozambique	1960	7	40,97	5.1
Namibia	1907	20	10,878	13.2
Niger	1954	1		
Nigeria	1979	8	20,156	3.0
Rwanda		3		
Sao Tome and Principe		1		
Senegal		6		
Seychelles	1973	8		
Sierra Leone	1986	8		
Somalia		6		
South Africa	1926	21	37	3
South Sudan		6		
Sudan		4		
Tanzania	1951	18	42	4.44
Togo		3		
Tunisia	1980	17		
Uganda	1952	10		
Zambia	1924	28	240,836.48	32
Zimbabwe	1926	11		
Afghanistan	2009	2		
Armenia		4		
Azerbaijan	2003	11		
Bangladesh		18		
Bhutan		5	8,008	20.8
Brunei		2		
Cambodia	1993	8	7,422.5	4.1
People's Republic of China	2016	11		
Georgia		11		
India	1936	116	38,136	1.16
Indonesia	1980	54	160,52	8.43
Iran	1974	9	19,757	1.2
Iraq		2		
Israel	1964	69	6,4	30
Japan	1934	33	20,482	5.4
Kazakhstan		13		
Kyrgyzstan	1976	13	7,246.7	3625
Lebanon		4		
Malaysia		29		
Mongolia	1783	10		
Myanmar	1982	9	10,351	1.5
Nepal	1973	12	34,426	23.39
North Korea		9		
Oman		1		
Pakistan	1972	26	132,919.71	6.63
Philippines		36	1,82	0.6
Russia	1983	48	144,072	
Saudi Arabia		3		
South Korea	1967	22	6,726	6.70
Sri Lanka	1938	26		
Republic of China (Taiwan)	1984	9	3,104	8.6
Timor-Leste		2		
Thailand	1961	147	61,413	11.96
Turkey	1958	43	8,481	1
United Arab Emirates		4		
Uzbekistan		2		
Vietnam	1962	32		
Yemen		2		
Albania	1966	14	1,177	4.1
Austria	1981	7	2,521	3.0
Belarus	1939	4	2,222	1.0
Belgium	2001	2	75	0.2
Bosnia and Herzegovina	1965	4	404	0.8
Bulgaria	1963	3	1,93	1.8
Croatia	1949	8	994	1.8
Czech Republic	1963	4	1,19	1.5
Denmark	2008	5	2,322	5.4
Estonia	1971	5	1,927	4.3
Finland	1956	40	9,892	2.9
France	1963	10	60,728	9.5
Georgia	1946	11	5,111	7.0
Germany	1970	16	10,395	2.7
Greece	1938	15	6,96	3.6
Hungary	1972	10	4,819	5.2
Iceland	1928	3	12,407	12.1
Ireland	1932	6	650	0.9
Italy	1922	25	15	5.0
Kazakhstan	1985	13	18,876	0.7
Kosovo	1986	2	1,014.88	9.3
Latvia	1973	4	2,065	3.2
Lithuania	1974	5	1,554	2.4
Malta	2007	1	2.5	0.69
Montenegro	1952	5	1,096	7.9
Netherlands	1930	21	1,251	3.0
North Macedonia	1948	3	974	3.8
Norway	1962	47	24,06	6.3
Poland	1932	23	3,149	1.0
Portugal	1971	1	702	0.8
Romania	1935	14	3,158	1.3
Russia	1983	48	141,2	0.82
Serbia	1960	5	1,775	2.3
Slovakia	1949	9	3,69	7.5
Slovenia	1961	1	838	4.1
Spain	1918	16	3,845	0.8
Sweden	1909	30	7,199	1.6
Switzerland	1914	1	170	0.4
Turkey	1958	43	8,481	1.0
Ukraine	1980	17	7,02	1.2
United Kingdom	1951	15	19,989	8.2
Antigua and Barbuda		6		
Aruba		1		
Bahamas		40		
Barbados		1		
Belize	1986	18	1,701	7.4
British Virgin Islands		34		
Canada	1885	47	377	3.78
Costa Rica	1955	29	12,913	25.1
Cuba		14		
Curacao		6		
Dominica	1975	3	107	07.01
Dominican Republic	1956	29		
El Salvador		8		
Grenada		3		
Guatemala	1955	22		
Haiti	1983	16	88	0.31
Honduras		9		
Jamaica		1		
Mexico	1917	67	14,32	0.73
Nicaragua	1979	3	25,327	0.2
Panama	1976	16		
Saint Kitts & Nevis		5		
Saint Lucia		2		
Saint Vincent and the Grenadines		1		
Trinidad & Tobago		1		
Turks and Caicos Island		11		
United States	1872	62	210	2.19
US Virgin Islands		1		
Argentina	1922	37	38,452	1.38
Bolivia	1939	13	65,91	6
Brazil	1937	72	250	2968
Chile	1926	41	146,046	19.3
Colombia	1960	60	169,545	12.5
Ecuador	1959	12	34,733	12.2
Guyana	1929	1		
Paraguay	1948	15	60,662	14.9
Peru	1961	15	79,665	6.2
Uruguay	1937	7		
Venezuela	1937	46	199,418	21.76
American Samoa		1		
Australia	1879	685	335,062	4.36
Cook Islands		1		
Fiji	1987	1		
New Zealand	1887	13	28,873	10.8
Papua New Guinea		8		
Samoa		3		
Solomon Islands		1		
Tonga	1992	4		
