Country	Depletion (2000-2018)	Depletion (2017-2018)
Afghanistan	0.7	-6.3
Albania	12.8	48.3
Algeria	-2.9	..
American Samoa	..	..
Andorra	..	..
Angola	-4.8	56.1
Antigua and Barbuda	..	..
Argentina	-5.6	79.7
Armenia	18.4	10.2
Aruba	17.1	..
Australia	3.9	38.4
Austria	-0.1	29.2
Azerbaijan	-1.2	38.9
Bahamas, The	..	..
Bahrain	0	23
Bangladesh	2.8	3.5
Barbados	-8.1	-20
Belarus	-3.8	20.6
Belgium	12.6	-59.4
Belize	75.9	26.9
Benin	6.6	-38.9
Bermuda	..	..
Bhutan	0.8	-43.2
Bolivia	3.9	9.5
Bosnia and Herzegovina	1.4	-8.1
Botswana	-0.4	64.4
Brazil	-0.4	47.8
Brunei Darussalam	-2.5	51.1
Bulgaria	2	-2.8
Burkina Faso	15.7	-21.6
Burundi	-3.3	-31.2
Cabo Verde	1.3	-48.4
Cambodia	-2.8	-56.6
Cameroon	-3	23.7
Canada	-7.8	55.9
Cayman Islands	..	..
Central African Republic	47.1	-5.9
Chad	5.7	11
Channel Islands	..	..
Chile	2.1	7.6
China	-4	15.7
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	-0.1	42
Comoros	5.4	-40.2
Congo, Dem. Rep.	17.9	16.3
Congo, Rep.	-3.2	57.1
Costa Rica	-1.8	-22.8
Cote d'Ivoire	11.5	..
Croatia	-2.8	27.2
Cuba	-0.5	..
Curacao	..	..
Cyprus	4.9	5.5
Czech Republic	-4	77
Denmark	-5.4	19.8
Djibouti	..	-50.5
Dominica	..	..
Dominican Republic	3.4	7
Ecuador	-2.1	43.6
Egypt, Arab Rep.	-2.5	27.3
El Salvador	4.8	-28.1
Equatorial Guinea	-8	28.1
Eritrea	1.1	..
Estonia	9.7	71.8
Eswatini	2.6	-35.5
Ethiopia	-5.3	-39.4
Faroe Islands	..	..
Fiji	9.8	6.3
Finland	25.1	10.4
France	-5	55.7
French Polynesia	..	..
Gabon	-3.8	31
Gambia, The	3.7	-60.8
Georgia	4.5	-2.5
Germany	-4.7	20.9
Ghana	3.3	-3.2
Greece	2.9	35.5
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	3.9	-12.2
Guinea	2.5	-22.6
Guinea-Bissau	4.9	-41.7
Guyana	31.4	4.3
Haiti	2.9	-38.5
Honduras	4.8	-25.1
Hungary	-2.3	54.1
Iceland	..	..
India	-2.1	16.8
Indonesia	-6.5	37.8
Iran, Islamic Rep.	-4.7	..
Iraq	1.3	24.9
Ireland	8.7	-13.1
Isle of Man	..	..
Israel	47	43.7
Italy	-0.9	67
Jamaica	-2.1	-13
Japan	8.5	30.1
Jordan	9.6	1.8
Kazakhstan	-4.3	44.5
Kenya	-3.2	-45.9
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	5.8	42.2
Kosovo	..	..
Kuwait	1.4	22.4
Kyrgyz Republic	18.1	3.4
Lao PDR	3.7	-18.3
Latvia	..	..
Lebanon	..	..
Lesotho	3.1	-45.7
Liberia	22.8	-17.7
Libya	-10.4	38.9
Liechtenstein	..	..
Lithuania	-14.6	26
Luxembourg	..	..
Madagascar	126.2	334.9
Malawi	0.6	-36.6
Malaysia	-2.3	41.1
Maldives	-0.3	-51.6
Mali	9.5	-16.2
Malta	..	..
Marshall Islands	..	..
Mauritania	5.4	-35.9
Mauritius	..	..
Mexico	-0.1	24
Micronesia, Fed. Sts.	..	..
Moldova	16.5	0.6
Monaco	..	..
Mongolia	10.1	2.2
Montenegro	14.1	23.1
Morocco	11.2	-27.8
Mozambique	46.7	18.5
Myanmar	0.6	9
Namibia	18.8	10.9
Nepal	-2.6	-48.9
Netherlands	-0.6	10.1
New Caledonia	..	..
New Zealand	1.6	30.7
Nicaragua	9.5	-15
Niger	2.2	-40
Nigeria	-5.3	25.3
North Macedonia	9.7	..
Northern Mariana Islands	..	..
Norway	-3.6	34.6
Oman	-2.2	24.8
Pakistan	-1.4	21.2
Palau	..	..
Panama	16.4	127.6
Papua New Guinea	-3.6	18.4
Paraguay	-2	-15.7
Peru	10.7	0.5
Philippines	5.6	20.1
Poland	3.7	9.1
Portugal	-0.1	24.7
Puerto Rico	..	..
Qatar	-5.1	17.7
Romania	-6.7	29.4
Russian Federation	-2.1	50.2
Rwanda	-1.9	-31.6
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	-1.9	28.3
Senegal	27.1	-3.5
Serbia	-1.5	0.5
Seychelles	..	..
Sierra Leone	0.7	-41.2
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	7.5	-10
Slovenia	1.7	62.2
Solomon Islands	14.9	-5.1
Somalia	..	-40.5
South Africa	2.1	9.9
South Sudan	..	..
Spain	11.9	10
Sri Lanka	-4	-40.6
St. Kitts and Nevis	..	..
St. Lucia	-19.7	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	..	214.2
Suriname	9.4	-9.6
Sweden	19.1	16.1
Switzerland	-7.7	6.1
Syrian Arab Republic	..	..
Tajikistan	29.9	20.3
Tanzania	41.4	4.4
Thailand	2.2	20.7
Timor-Leste	..	-45.5
Togo	6.1	-32.1
Tonga	3.3	-30.7
Trinidad and Tobago	-2	52.6
Tunisia	0.3	29.8
Turkey	5.2	31.8
Turkmenistan	-9.9	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	-1.1	-37.2
Ukraine	-2.3	51.8
United Arab Emirates	1.2	29.3
United Kingdom	-4.4	56.3
United States	-6.7	85.6
Uruguay	23.9	3.6
Uzbekistan	-4.5	64.8
Vanuatu	..	..
Venezuela, RB	-15.4	..
Vietnam	-6.2	8
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	-10	..
Zambia	32.9	23.8
Zimbabwe	7.7	-23.8
World	0.6	26.5
East Asia & Pacific	2	24.2
Europe & Central Asia	1.3	44.2
