Country	Both sexes	Male	Female
Afghanistan	51244	26828	24416
Albania	14930	8095	6835
Algeria	69173	34779	34394
Angola	22541	9979	12563
Antigua and Barbuda	212	104	108
Argentina	91028	45216	45812
Armenia	12288	5813	6475
Australia	44042	21392	22650
Austria	33017	14328	18689
Azerbaijan	32390	16567	15823
Bahamas	727	359	368
Bahrain	775	458	317
Bangladesh	257555	134721	122834
Barbados	947	450	498
Belarus	73656	32704	40951
Belgium	30963	13936	17026
Belize	514	290	224
Benin	13423	6085	7337
Bhutan	1330	717	612
Bolivia (Plurinational State of)	16707	8834	7873
Bosnia and Herzegovina	20279	9298	10982
Botswana	2910	1239	1671
Brazil	369072	195757	173315
Brunei Darussalam	472	257	216
Bulgaria	67831	32262	35569
Burkina Faso	20377	8802	11575
Burundi	11079	5412	5667
Cabo Verde	1059	476	583
Cambodia	22536	9744	12792
Cameroon	28623	14028	14596
Canada	63683	32350	31333
Central African Republic	6817	3008	3809
Chad	17615	8620	8995
Chile	29698	15050	14647
China	4475660	2252404	2223257
Colombia	83987	45244	38743
Comoros	989	511	477
Congo	5516	2272	3245
Costa Rica	7227	3931	3296
Côte d'Ivoire	42677	22687	19990
Croatia	23084	9990	13094
Cuba	35062	18336	16725
Cyprus	2825	1462	1364
Czechia	47334	22106	25228
Democratic People's Republic of Korea	88090	46015	42075
Democratic Republic of the Congo	76221	32935	43285
Denmark	12484	6279	6204
Djibouti	1395	725	669
Dominican Republic	22897	12249	10648
Ecuador	19848	10531	9316
Egypt	245904	122008	123896
El Salvador	9790	4906	4884
Equatorial Guinea	1496	769	727
Eritrea	6617	3358	3258
Estonia	7840	3094	4746
Eswatini	1648	663	986
Ethiopia	109500	56163	53336
Fiji	2183	1372	811
Finland	19060	9389	9671
France	143401	65337	78064
Gabon	2518	1076	1442
Gambia	2259	1186	1073
Georgia	36308	16906	19403
Germany	343531	154581	188950
Ghana	42231	13309	28922
Greece	46098	21282	24816
Grenada	248	116	133
Guatemala	13841	6767	7074
Guinea	17388	7870	9518
Guinea-Bissau	2080	922	1157
Guyana	2258	1156	1102
Haiti	26617	12642	13974
Honduras	9886	6088	3799
Hungary	61463	27329	34135
Iceland	714	377	337
India	2590089	1504361	1085728
Indonesia	655055	346228	308827
Iran (Islamic Republic of)	160823	87331	73492
Iraq	51593	24996	26597
Ireland	8745	4433	4311
Israel	10565	5212	5353
Italy	229802	99197	130605
Jamaica	5866	2711	3155
Japan	358702	160085	198618
Jordan	13384	7398	5986
Kazakhstan	73860	35063	38797
Kenya	21473	10425	11048
Kiribati	184	106	78
Kuwait	4552	3307	1246
Kyrgyzstan	19277	9827	9449
Lao People's Democratic Republic	12748	5793	6956
Latvia	15901	6420	9481
Lebanon	17814	9688	8126
Lesotho	4057	1499	2558
Liberia	4745	2242	2503
Libya	11638	6343	5295
Lithuania	23167	9725	13442
Luxembourg	1190	554	637
Madagascar	31096	14871	16225
Malawi	12397	5740	6657
Malaysia	53977	30443	23534
Maldives	460	294	166
Mali	21979	9045	12935
Malta	1336	649	686
Mauritania	5152	2293	2859
Mauritius	3336	1749	1587
Mexico	159256	83248	76009
Micronesia (Federated States of)	208	103	105
Mongolia	7497	4205	3292
Montenegro	3786	1767	2019
Morocco	69457	32987	36470
Mozambique	23748	10056	13692
Myanmar	108199	48085	60115
Namibia	3283	1433	1850
Nepal	55127	32550	22577
Netherlands	38132	17774	20358
New Zealand	9477	4725	4751
Nicaragua	7174	3439	3735
Niger	22350	10755	11595
Nigeria	225602	102745	122857
Norway	11616	5431	6185
Oman	4047	2588	1459
Pakistan	411569	231308	180261
Panama	5532	3129	2403
Papua New Guinea	13264	7115	6149
Paraguay	10521	5467	5054
Peru	35815	18790	17025
Philippines	233190	130495	102696
Poland	181988	83146	98842
Portugal	31045	13891	17154
Qatar	1054	843	211
Republic of Korea	63568	29376	34192
Republic of Moldova	27384	12151	15233
North Macedonia	12234	5992	6242
Romania	145284	67674	77610
Russian Federation	1022790	448096	574693
Rwanda	9139	4178	4961
Saint Lucia	442	208	234
Saint Vincent and the Grenadines	318	167	150
Samoa	322	188	134
Sao Tome and Principe	209	84	126
Saudi Arabia	42440	25897	16542
Senegal	16236	7290	8947
Serbia	57465	26130	31335
Seychelles	265	144	121
Sierra Leone	12714	5880	6835
Singapore	8184	4523	3662
Slovakia	20548	9653	10895
Slovenia	7988	3196	4792
Solomon Islands	804	454	350
Somalia	15981	7868	8114
South Africa	97559	48431	49127
South Sudan	12205	5750	6455
Spain	118199	53742	64458
Sri Lanka	48601	26426	22175
Sudan	80311	39881	40430
Suriname	1326	729	598
Sweden	31646	15175	16471
Switzerland	21325	9648	11677
Syrian Arab Republic	37885	19659	18226
Tajikistan	19166	10074	9092
Thailand	124722	67182	57539
Timor-Leste	1318	661	657
Togo	10519	5113	5405
Tonga	155	89	66
Trinidad and Tobago	3945	1989	1956
Tunisia	31987	17113	14874
Turkey	156616	81368	75248
Turkmenistan	18449	9713	8736
Uganda	29643	13202	16441
Ukraine	402391	170239	232152
United Arab Emirates	5970	4787	1183
United Kingdom of Great Britain and Northern Ireland	150442	76363	74079
United Republic of Tanzania	51617	24517	27099
United States of America	837250	432100	405150
Uruguay	9233	4242	4991
Uzbekistan	98917	52073	46845
Vanuatu	440	248	193
Venezuela (Bolivarian Republic of)	54182	30587	23595
Viet Nam	172313	95343	76969
Yemen	56793	28574	28219
Zambia	12483	5533	6950
Zimbabwe	14184	5480	8704
