Country	Total
Afghanistan	7
Albania	-11.1
Algeria	-99
American Samoa	..
Andorra	..
Angola	-610.1
Antigua and Barbuda	..
Argentina	-1279.5
Armenia	121.8
Aruba	..
Australia	..
Austria	..
Azerbaijan	14.9
Bahamas, The	..
Bahrain	..
Bangladesh	3855.5
Barbados	..
Belarus	784.8
Belgium	..
Belize	13
Benin	48.4
Bermuda	..
Bhutan	77.9
Bolivia	224.8
Bosnia and Herzegovina	28.7
Botswana	-11.9
Brazil	-1144.1
Brunei Darussalam	..
Bulgaria	-76.2
Burkina Faso	20.1
Burundi	1.9
Cabo Verde	5.3
Cambodia	470.4
Cameroon	251.4
Canada	..
Cayman Islands	..
Central African Republic	-1.2
Chad	-1.7
Channel Islands	..
Chile	..
China	-1954.7
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	818
Comoros	29.4
Congo, Dem. Rep.	-32.9
Congo, Rep.	314.9
Costa Rica	11.7
Cote d'Ivoire	-66.2
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	69.8
Dominica	-8
Dominican Republic	29.8
Ecuador	-684.1
Egypt, Arab Rep.	2078.7
El Salvador	-33.4
Equatorial Guinea	..
Eritrea	-14.7
Estonia	..
Ethiopia	173.3
Faroe Islands	..
Fiji	-20.6
Finland	..
France	..
French Polynesia	..
Gabon	179.2
Gambia, The	6.2
Georgia	118.4
Germany	..
Ghana	-260.8
Greece	..
Greenland	..
Grenada	4.3
Guam	..
Guatemala	-2.2
Guinea	62.8
Guinea-Bissau	5.4
Guyana	19.1
Haiti	-3.4
Honduras	14.4
Hungary	..
Iceland	..
India	1668.1
Indonesia	-319.7
Iran, Islamic Rep.	-26
Iraq	..
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	24.1
Japan	..
Jordan	365.4
Kazakhstan	289.9
Kenya	1582.9
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	-4.3
Kuwait	..
Kyrgyz Republic	16.3
Lao PDR	693.6
Latvia	..
Lebanon	-104.7
Lesotho	-8.8
Liberia	42.9
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
North Macedonia	39.2
Madagascar	40.3
Malawi	20.8
Malaysia	..
Maldives	538.7
Mali	138.3
Malta	..
Marshall Islands	..
Mauritania	45.2
Mauritius	-34.4
Mexico	-543.7
Micronesia, Fed. Sts.	..
Moldova	-51.8
Monaco	..
Mongolia	170.2
Montenegro	188.2
Morocco	-369.8
Mozambique	141.9
Myanmar	51
Namibia	..
Nepal	100.2
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	13.4
Niger	79.3
Nigeria	718.5
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	3987.9
Palau	..
Panama	..
Papua New Guinea	79
Paraguay	-2.3
Peru	-16.2
Philippines	-323.6
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	-42
Russian Federation	-69.9
Rwanda	26.4
Samoa	2.1
San Marino	..
Sao Tome and Principe	0
Saudi Arabia	..
Senegal	890.5
Serbia	307.5
Seychelles	..
Sierra Leone	6.9
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	-1.1
Somalia	0
South Africa	0
South Sudan	..
Spain	..
Sri Lanka	940.8
St. Kitts and Nevis	..
St. Lucia	-3.2
St. Martin (French part)	..
St. Vincent and the Grenadines	4.3
Sudan	-97.5
Suriname	..
Eswatini	13.8
Sweden	..
Switzerland	..
Syrian Arab Republic	44.4
Tajikistan	-62.7
Tanzania	71
Thailand	-625.3
Timor-Leste	3.9
Togo	25.9
Tonga	-4.6
Trinidad and Tobago	..
Tunisia	-68.7
Turkey	198.7
Turkmenistan	-11.5
Turks and Caicos Islands	..
Tuvalu	..
Uganda	615.3
Ukraine	-5
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	..
Uzbekistan	397.3
Vanuatu	7.2
Venezuela, RB	121.1
Vietnam	1730.7
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	-0.2
Zambia	299.7
Zimbabwe	8.2
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	11176
Sub-Saharan Africa	..
Low income	1561.9
Lower middle income	17553.2
Upper middle income	-1615.7
High income	..
