Country	Obesity rate % 
Nauru	61.00
Cook Islands	55.90
Palau	55.30
Marshall Islands	52.90
Tuvalu	51.60
Niue	50.00
Tonga	48.20
Samoa	47.30
Kiribati	46.00
Federated States of Micronesia	45.80
Kuwait	37.90
United States	36.20
Jordan	35.50
Saudi Arabia	35.40
Qatar	35.10
Libya	32.50
Turkey	32.10
Egypt	32.00
Lebanon	32.00
United Arab Emirates	31.70
Bahamas	31.60
New Zealand	30.80
Iraq	30.40
Fiji	30.20
Bahrain	29.80
Canada	29.40
Australia	29.00
Malta	28.90
Mexico	28.90
South Africa	28.30
Argentina	28.30
Chile	28.00
Dominica	27.90
Uruguay	27.90
Syria	27.80
United Kingdom	27.80
Dominican Republic	27.80
Algeria	27.40
Oman	27.00
Tunisia	26.90
Suriname	26.40
Hungary	26.40
Lithuania	26.30
Morocco	26.10
Israel	26.10
Czech Republic	26.00
Iran	25.80
Costa Rica	25.70
Andorra	25.60
Venezuela	25.60
Ireland	25.30
Vanuatu	25.20
Bulgaria	25.00
Greece	24.90
Jamaica	24.70
Cuba	24.60
El Salvador	24.60
Belarus	24.50
Croatia	24.40
Belize	24.10
Ukraine	24.10
Spain	23.80
Nicaragua	23.70
Saint Vincent and the Grenadines	23.70
Latvia	23.60
Montenegro	23.30
Norway	23.10
Barbados	23.10
Poland	23.10
Russia	23.10
Saint Kitts and Nevis	22.90
Panama	22.70
Haiti	22.70
Luxembourg	22.60
Solomon Islands	22.50
Romania	22.50
North Macedonia	22.40
Colombia	22.30
Germany	22.30
Finland	22.20
Belgium	22.10
Brazil	22.10
Iceland	21.90
Cyprus	21.80
Albania	21.70
Georgia	21.70
France	21.60
Serbia	21.50
Honduras	21.40
Grenada	21.30
Papua New Guinea	21.30
Estonia	21.20
Guatemala	21.20
Kazakhstan	21.00
Portugal	20.80
Mongolia	20.60
Sweden	20.60
Slovakia	20.50
Netherlands	20.40
Paraguay	20.30
Guyana	20.20
Slovenia	20.20
Armenia	20.20
Bolivia	20.20
Austria	20.10
Azerbaijan	19.90
Italy	19.90
Ecuador	19.90
Peru	19.70
Saint Lucia	19.70
Denmark	19.70
Switzerland	19.50
Antigua and Barbuda	18.90
Botswana	18.90
Moldova	18.90
Trinidad and Tobago	18.60
Turkmenistan	18.60
Bosnia and Herzegovina	17.90
Namibia	17.20
Yemen	17.10
Kyrgyzstan	16.60
Lesotho	16.60
Uzbekistan	16.60
Eswatini	16.50
Malaysia	15.60
Zimbabwe	15.50
Gabon	15.00
Tajikistan	14.20
Brunei	14.10
Seychelles	14.00
Djibouti	13.50
Mauritania	12.70
São Tomé and Príncipe	12.40
Cape Verde	11.80
Cameroon	11.40
Ghana	10.90
Mauritius	10.80
Gambia	10.30
Ivory Coast	10.30
Thailand	10.00
Liberia	9.90
Benin	9.60
Republic of the Congo	9.60
Guinea-Bissau	9.50
Nigeria	8.90
Senegal	8.80
Sierra Leone	8.70
Maldives	8.60
Mali	8.60
Pakistan	8.60
Togo	8.40
Tanzania	8.40
Somalia	8.30
Angola	8.20
Zambia	8.10
Equatorial Guinea	8.00
Comoros	7.80
Guinea	7.70
Central African Republic	7.50
Mozambique	7.20
Kenya	7.10
Indonesia	6.90
North Korea	6.80
Democratic Republic of the Congo	6.70
Sudan	6.60
South Sudan	6.60
Bhutan	6.40
Philippines	6.40
China	6.20
Singapore	6.10
Chad	6.10
Malawi	5.80
Rwanda	5.80
Burkina Faso	5.60
Niger	5.50
Afghanistan	5.50
Burundi	5.40
Madagascar	5.30
Laos	5.30
Uganda	5.30
Sri Lanka	5.20
Eritrea	5.00
South Korea	4.70
Ethiopia	4.50
Japan	4.30
Nepal	4.10
Cambodia	3.90
India	3.90
Timor-Leste	3.80
Bangladesh	3.60
Vietnam	2.10
