Country	Rents %
Afghanistan	0
Albania	0.9
Algeria	10
American Samoa	0
Andorra	..
Angola	10.2
Antigua and Barbuda	0
Argentina	0.6
Armenia	0
Aruba	0
Australia	0.2
Austria	0
Azerbaijan	13.2
Bahamas, The	0
Bahrain	1.8
Bangladesh	0
Barbados	0.1
Belarus	0.4
Belgium	0
Belize	0.4
Benin	0.1
Bermuda	0
Bhutan	0
Bolivia	0.9
Bosnia and Herzegovina	0
Botswana	0
Brazil	0.8
Brunei Darussalam	6.9
Bulgaria	0
Burkina Faso	0
Burundi	0
Cambodia	0
Cameroon	1.7
Canada	0.5
Cabo Verde	0
Cayman Islands	..
Central African Republic	0
Chad	6.8
Channel Islands	..
Chile	0
China	0.3
Hong Kong SAR, China	0
Macao SAR, China	0
Colombia	1.8
Comoros	0
Congo, Dem. Rep.	0.3
Congo, Rep.	15.4
Costa Rica	0
Cote d'Ivoire	0.7
Croatia	0.2
Cuba	0.2
Curacao	..
Cyprus	0
Czech Republic	0
Denmark	0.3
Djibouti	0
Dominica	0
Dominican Republic	0
Ecuador	3.2
Egypt, Arab Rep.	2.3
El Salvador	0
Equatorial Guinea	12
Eritrea	..
Estonia	0.2
Eswatini	0
Ethiopia	0
Faroe Islands	0
Fiji	0
Finland	0
France	0
French Polynesia	..
Gabon	9
Gambia, The	0
Georgia	0.1
Germany	0
Ghana	1.1
Greece	0
Greenland	0
Grenada	0
Guam	0
Guatemala	0.1
Guinea	0
Guinea-Bissau	0
Guyana	0
Haiti	0
Honduras	0
Hungary	0.1
Iceland	0
India	0.2
Indonesia	0.6
Iran, Islamic Rep.	11.4
Iraq	31.2
Ireland	0
Isle of Man	..
Israel	0
Italy	0
Jamaica	0
Japan	0
Jordan	0
Kazakhstan	7.1
Kenya	0
Kiribati	0
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	0
Kosovo	0
Kuwait	31.6
Kyrgyz Republic	0.1
Lao PDR	0
Latvia	0
Lebanon	0
Lesotho	0
Liberia	0
Libya	21
Liechtenstein	..
Lithuania	0
Luxembourg	0
North Macedonia	0
Madagascar	0.1
Malawi	0
Malaysia	1.7
Maldives	0
Mali	0
Malta	0
Marshall Islands	..
Mauritania	0.6
Mauritius	0
Mexico	1.2
Micronesia, Fed. Sts.	..
Moldova	0
Monaco	..
Mongolia	1.5
Montenegro	0
Morocco	0
Mozambique	0.1
Myanmar	0.1
Namibia	0
Nepal	0
Netherlands	0
New Caledonia	..
New Zealand	0.1
Nicaragua	0
Niger	1.3
Nigeria	2.8
Northern Mariana Islands	..
Norway	2.7
Oman	18.2
Pakistan	0.2
Palau	..
Panama	0
Papua New Guinea	2.1
Paraguay	0
Peru	0.1
Philippines	0
Poland	0
Portugal	0
Puerto Rico	0
Qatar	11.7
Romania	0.2
Russian Federation	5.2
Rwanda	0
Samoa	0
San Marino	..
Sao Tome and Principe	0
Saudi Arabia	19.4
Senegal	0
Serbia	0.1
Seychelles	0
Sierra Leone	0
Singapore	0
Sint Maarten (Dutch part)	..
Slovak Republic	0
Slovenia	0
Solomon Islands	0
Somalia	0
South Africa	0
South Sudan	31.3
Spain	0
Sri Lanka	0
St. Kitts and Nevis	0
St. Lucia	0
St. Martin (French part)	..
St. Vincent and the Grenadines	0
Sudan	0.7
Suriname	3.1
Sweden	0
Switzerland	0
Syrian Arab Republic	..
Tajikistan	0
Tanzania	0
Thailand	0.4
Timor-Leste	14.1
Togo	0
Tonga	0
Trinidad and Tobago	1.9
Tunisia	1.3
Turkey	0
Turkmenistan	3.7
Turks and Caicos Islands	..
Tuvalu	..
Uganda	0
Ukraine	0.2
United Arab Emirates	10.8
United Kingdom	0.2
United States	0.1
Uruguay	0
Uzbekistan	0.5
Vanuatu	0
Venezuela, RB	11.3
Vietnam	1.1
Virgin Islands (U.S.)	0
West Bank and Gaza	0
Yemen, Rep.	0.6
Zambia	0
Zimbabwe	0
World	0.8
East Asia & Pacific	0.2
Europe & Central Asia	0.5
Latin America & Caribbean	0.8
Middle East & North Africa	11.7
North America	0.1
South Asia	0.2
Sub-Saharan Africa	1.9
Low income	0.4
Lower middle income	1.1
Upper middle income	1.3
High income	0.6
