Country	Lowest 20%
Afghanistan	2.9
Albania	2.2
Algeria	0.8
American Samoa	2.2
Andorra	1.8
Angola	-0.9
Antigua and Barbuda	4.7
Argentina	-2.2
Armenia	7.6
Aruba	2.0
Australia	1.9
Austria	1.6
Azerbaijan	2.2
Bahamas, The	1.8
Bahrain	1.8
Bangladesh	8.2
Barbados	-0.1
Belarus	1.2
Belgium	1.4
Belize	0.3
Benin	6.9
Bermuda	..
Bhutan	3.0
Bolivia	2.2
Bosnia and Herzegovina	2.6
Botswana	3.0
Brazil	1.1
Brunei Darussalam	3.9
Bulgaria	3.4
Burkina Faso	5.7
Burundi	1.8
Cabo Verde	7.1
Cambodia	4.0
Cameroon	1.7
Canada	5.7
Cayman Islands	3.3
Central African Republic	3.0
Chad	3.2
Channel Islands	..
Chile	1.1
China	6.1
Hong Kong SAR, China	-1.2
Macao SAR, China	-4.7
Colombia	3.3
Comoros	2.7
Congo, Dem. Rep.	4.4
Congo, Rep.	-0.9
Costa Rica	2.1
Cote d'Ivoire	6.9
Croatia	2.9
Cuba	2.2
Curacao	-2.2
Cyprus	3.2
Czech Republic	2.6
Denmark	2.4
Djibouti	7.5
Dominica	5.7
Dominican Republic	5.1
Ecuador	0.1
Egypt, Arab Rep.	5.6
El Salvador	2.4
Equatorial Guinea	-5.6
Eritrea	..
Estonia	4.3
Eswatini	2.0
Ethiopia	8.3
Faroe Islands	..
Fiji	1.1
Finland	1.0
France	1.5
French Polynesia	..
Gabon	3.4
Gambia, The	6.0
Georgia	5.1
Germany	0.6
Ghana	6.5
Greece	1.9
Greenland	3.2
Grenada	3.1
Guam	-0.3
Guatemala	3.8
Guinea	5.6
Guinea-Bissau	4.6
Guyana	4.7
Haiti	-0.9
Honduras	2.7
Hungary	4.9
Iceland	1.9
India	5.0
Indonesia	5.0
Iran, Islamic Rep.	3.8
Iraq	4.4
Ireland	5.5
Isle of Man	3.6
Israel	3.5
Italy	0.3
Jamaica	0.7
Japan	0.7
Jordan	2.0
Kazakhstan	4.5
Kenya	5.4
Kiribati	2.2
Korea, Dem. People’s Rep.	..
Korea, Rep.	2.0
Kosovo	4.2
Kuwait	0.4
Kyrgyz Republic	4.5
Lao PDR	4.7
Latvia	2.2
Lebanon	-5.6
Lesotho	1.5
Liberia	-2.3
Libya	2.5
Liechtenstein	..
Lithuania	3.9
Luxembourg	2.3
Madagascar	4.8
Malawi	4.4
Malaysia	4.3
Maldives	5.2
Mali	5.0
Malta	4.4
Marshall Islands	3.6
Mauritania	5.9
Mauritius	3.6
Mexico	-0.1
Micronesia, Fed. Sts.	0.2
Moldova	3.5
Monaco	6.1
Mongolia	5.1
Montenegro	3.6
Morocco	2.3
Mozambique	2.2
Myanmar	2.9
Namibia	-1.1
Nepal	0.0
Netherlands	7.0
New Caledonia	1.8
New Zealand	..
Nicaragua	2.2
Niger	-3.9
Nigeria	5.8
North Macedonia	2.2
Northern Mariana Islands	3.6
Norway	-19.6
Oman	1.2
Pakistan	0.5
Palau	1.0
Panama	1.7
Papua New Guinea	3.0
Paraguay	5.6
Peru	0.0
Philippines	2.2
Poland	6.0
Portugal	4.1
Puerto Rico	2.2
Qatar	1.2
Romania	-0.2
Russian Federation	4.1
Rwanda	1.3
Samoa	9.4
San Marino	3.5
Sao Tome and Principe	1.2
Saudi Arabia	2.4
Senegal	0.3
Serbia	5.3
Seychelles	4.2
Sierra Leone	4.7
Singapore	5.5
Sint Maarten (Dutch part)	0.7
Slovak Republic	-8.4
Slovenia	2.4
Solomon Islands	2.4
Somalia	2.7
South Africa	..
South Sudan	0.2
Spain	..
Sri Lanka	2.0
St. Kitts and Nevis	2.3
St. Lucia	2.5
St. Martin (French part)	1.7
St. Vincent and the Grenadines	..
Sudan	0.3
Suriname	-2.6
Sweden	-0.8
Switzerland	1.2
Syrian Arab Republic	0.9
Tajikistan	..
Tanzania	7.0
Thailand	5.8
Timor-Leste	2.4
Togo	3.4
Tonga	5.3
Trinidad and Tobago	0.3
Tunisia	0.0
Turkey	1.0
Turkmenistan	0.9
Turks and Caicos Islands	6.2
Tuvalu	5.3
Uganda	9.8
Ukraine	6.5
United Arab Emirates	3.2
United Kingdom	1.7
United States	1.4
Uruguay	2.3
Uzbekistan	0.2
Vanuatu	5.6
Venezuela, RB	2.9
Vietnam	..
Virgin Islands (U.S.)	7.0
West Bank and Gaza	-1.7
Yemen, Rep.	0.9
Zambia	0.8
Zimbabwe	1.7
World	-8.1
East Asia & Pacific	2.5
Europe & Central Asia	3.8
Latin America & Caribbean	1.5
Middle East & North Africa	0.8
North America	1.8
South Asia	2.3
Sub-Saharan Africa	4.8
Low income	2.3
Lower middle income	3.9
Upper middle income	4.4
High income	3.8
