Country	Population density
Afghanistan	57
Albania	105
Algeria	18
American Samoa	277
Andorra	164
Angola	25
Antigua and Barbuda	219
Argentina	16
Armenia	104
Aruba	588
Australia	3
Austria	107
Azerbaijan	120
Bahamas, The	39
Bahrain	2,017
Bangladesh	1,24
Barbados	667
Belarus	47
Belgium	377
Belize	17
Benin	102
Bermuda	1,184
Bhutan	20
Bolivia	10
Bosnia and Herzegovina	65
Botswana	4
Brazil	25
Brunei Darussalam	81
Bulgaria	65
Burkina Faso	72
Burundi	435
Cambodia	92
Cameroon	53
Canada	4
Cabo Verde	135
Cayman Islands	267
Central African Republic	7
Chad	12
Channel Islands	861
Chile	25
China	148
Hong Kong SAR, China	7,096
Macao SAR, China	20,778
Colombia	45
Comoros	447
Congo, Dem. Rep.	37
Congo, Rep.	15
Costa Rica	98
Cote d'Ivoire	79
Croatia	73
Cuba	109
Curacao	361
Cyprus	129
Czech Republic	138
Denmark	138
Djibouti	41
Dominica	96
Dominican Republic	220
Ecuador	69
Egypt, Arab Rep.	99
El Salvador	310
Equatorial Guinea	47
Eritrea	..
Estonia	30
Eswatini	66
Ethiopia	109
Faroe Islands	35
Fiji	48
Finland	18
France	122
French Polynesia	76
Gabon	8
Gambia, The	225
Georgia	65
Germany	237
Ghana	131
Greece	83
Greenland	0
Grenada	328
Guam	307
Guatemala	153
Guinea	51
Guinea-Bissau	67
Guyana	4
Haiti	404
Honduras	86
Hungary	108
Iceland	4
India	455
Indonesia	148
Iran, Islamic Rep.	50
Iraq	89
Ireland	71
Isle of Man	148
Israel	410
Italy	205
Jamaica	271
Japan	347
Jordan	112
Kazakhstan	7
Kenya	90
Kiribati	143
Korea, Dem. People’s Rep.	212
Korea, Rep.	529
Kosovo	165
Kuwait	232
Kyrgyz Republic	33
Lao PDR	31
Latvia	31
Lebanon	669
Lesotho	69
Liberia	50
Libya	4
Liechtenstein	237
Lithuania	45
Luxembourg	250
Madagascar	45
Malawi	192
Malaysia	96
Maldives	1,719
Mali	16
Malta	1,514
Marshall Islands	325
Mauritania	4
Mauritius	623
Mexico	65
Micronesia, Fed. Sts.	161
Moldova	94
Monaco	19,196
Mongolia	2
Montenegro	46
Morocco	81
Mozambique	38
Myanmar	82
Namibia	3
Nauru	635
Nepal	196
Netherlands	511
New Caledonia	16
New Zealand	18
Nicaragua	54
Niger	18
Nigeria	215
North Macedonia	83
Northern Mariana Islands	124
Norway	15
Oman	16
Pakistan	275
Palau	39
Panama	56
Papua New Guinea	19
Paraguay	18
Peru	25
Philippines	358
Poland	124
Portugal	112
Puerto Rico	360
Qatar	240
Romania	85
Russian Federation	9
Rwanda	499
Samoa	69
San Marino	563
Sao Tome and Principe	220
Saudi Arabia	16
Senegal	82
Serbia	80
Seychelles	210
Sierra Leone	106
Singapore	7,953
Sint Maarten (Dutch part)	1,193
Slovak Republic	113
Slovenia	103
Solomon Islands	23
Somalia	24
South Africa	48
South Sudan	..
Spain	94
Sri Lanka	346
St. Kitts and Nevis	202
St. Lucia	298
St. Martin (French part)	672
St. Vincent and the Grenadines	283
Sudan	..
Suriname	4
Sweden	25
Switzerland	215
Syrian Arab Republic	92
Tajikistan	66
Tanzania	64
Thailand	136
Timor-Leste	85
Togo	145
Tonga	143
Trinidad and Tobago	271
Tunisia	74
Turkey	107
Turkmenistan	12
Turks and Caicos Islands	40
Tuvalu	384
Uganda	213
Ukraine	77
United Arab Emirates	136
United Kingdom	275
United States	36
Uruguay	20
Uzbekistan	77
Vanuatu	24
Venezuela, RB	33
Vietnam	308
Virgin Islands (U.S.)	306
West Bank and Gaza	759
Yemen, Rep.	54
Zambia	23
Zimbabwe	37
World	60
East Asia & Pacific	95
Europe & Central Asia	33
Latin America & Caribbean	32
Middle East & North Africa	40
North America	20
South Asia	380
Sub-Saharan Africa	51
Low income	52
Lower middle income	131
Upper middle income	49
High income	35
