Country	Port container traffic
Afghanistan	..
Albania	..
Algeria	1466
American Samoa	..
Andorra	..
Angola	778
Antigua and Barbuda	18
Argentina	1801
Armenia	..
Aruba	32
Australia	8747
Austria	286
Azerbaijan	..
Bahamas, The	939
Bahrain	432
Bangladesh	2827
Barbados	101
Belarus	..
Belgium	12682
Belize	45
Benin	333
Bermuda	..
Bhutan	..
Bolivia	..
Bosnia and Herzegovina	..
Botswana	..
Brazil	10312
Brunei Darussalam	139
Bulgaria	217
Burkina Faso	..
Burundi	..
Cambodia	742
Cameroon	406
Canada	6664
Cabo Verde	..
Cayman Islands	113
Central African Republic	..
Chad	..
Channel Islands	..
Chile	4663
China	225829
Hong Kong SAR, China	19641
Macao SAR, China	..
Colombia	4125
Comoros	..
Congo, Dem. Rep.	49
Congo, Rep.	580
Costa Rica	1493
Cote d'Ivoire	907
Croatia	265
Cuba	350
Curacao	98
Cyprus	308
Czech Republic	..
Denmark	1676
Djibouti	847
Dominica	8
Dominican Republic	1922
Ecuador	2434
Egypt, Arab Rep.	6152
El Salvador	231
Equatorial Guinea	10
Eritrea	..
Estonia	223
Ethiopia	..
Faroe Islands	..
Fiji	93
Finland	1592
France	6369
French Polynesia	76
Gabon	156
Gambia, The	65
Georgia	285
Germany	19598
Ghana	1009
Greece	5324
Greenland	..
Grenada	24
Guam	163
Guatemala	1531
Guinea	172
Guinea-Bissau	..
Guyana	122
Haiti	196
Honduras	976
Hungary	..
Iceland	352
India	16383
Indonesia	12853
Iran, Islamic Rep.	2379
Iraq	..
Ireland	988
Isle of Man	..
Israel	2946
Italy	10547
Jamaica	1833
Japan	22434
Jordan	815
Kazakhstan	..
Kenya	1300
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	28945
Kosovo	..
Kuwait	3099
Kyrgyz Republic	..
Lao PDR	..
Latvia	473
Lebanon	1306
Lesotho	..
Liberia	128
Libya	98
Liechtenstein	..
Lithuania	750
Luxembourg	..
North Macedonia	..
Madagascar	174
Malawi	..
Malaysia	24956
Maldives	89
Mali	..
Malta	3315
Marshall Islands	..
Mauritania	90
Mauritius	451
Mexico	6980
Micronesia, Fed. Sts.	..
Moldova	..
Monaco	..
Mongolia	..
Montenegro	..
Morocco	4764
Mozambique	454
Myanmar	1288
Namibia	360
Nepal	..
Netherlands	14826
New Caledonia	117
New Zealand	3329
Nicaragua	276
Niger	..
Nigeria	1210
Northern Mariana Islands	..
Norway	898
Oman	4224
Pakistan	3275
Palau	..
Panama	6872
Papua New Guinea	341
Paraguay	..
Peru	2668
Philippines	8638
Poland	2834
Portugal	3199
Puerto Rico	..
Qatar	1835
Romania	678
Russian Federation	6335
Rwanda	..
Samoa	30
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	8670
Senegal	571
Serbia	..
Seychelles	..
Sierra Leone	89
Singapore	36600
Sint Maarten (Dutch part)	83
Slovak Republic	..
Slovenia	989
Solomon Islands	..
Somalia	..
South Africa	4892
South Sudan	..
Spain	17190
Sri Lanka	7000
St. Kitts and Nevis	14
St. Lucia	30
St. Martin (French part)	..
St. Vincent and the Grenadines	20
Sudan	552
Suriname	115
Eswatini	..
Sweden	1593
Switzerland	103
Syrian Arab Republic	106
Tajikistan	..
Tanzania	1190
Thailand	11185
Timor-Leste	..
Togo	1194
Tonga	..
Trinidad and Tobago	359
Tunisia	493
Turkey	9943
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	..
Ukraine	1179
United Arab Emirates	19054
United Kingdom	11695
United States	54688
Uruguay	798
Uzbekistan	..
Vanuatu	..
Venezuela, RB	371
Vietnam	16374
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	535
Zambia	..
Zimbabwe	..
World	792659
East Asia & Pacific	437842
Europe & Central Asia	133111
Latin America & Caribbean	51659
Middle East & North Africa	61999
North America	61352
South Asia	29573
Sub-Saharan Africa	17122
Low income	..
Lower middle income	81626
Upper middle income	338016
High income	369838
