Country	Male	Female
Afghanistan	4	4.2
Albania	17.4	15.4
Algeria	12.9	12
American Samoa	..	..
Andorra	..	..
Angola	3.1	3.6
Antigua and Barbuda	..	..
Argentina	..	..
Armenia	14.6	12.7
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	15.1	12.8
Bahamas, The	..	..
Bahrain	..	..
Bangladesh	1.6	1.5
Barbados	11.3	13.3
Belarus	..	..
Belgium	..	..
Belize	8	6.5
Benin	1.8	1.9
Bermuda	..	..
Bhutan	..	..
Bolivia	11.1	9.2
Bosnia and Herzegovina	16.7	18
Botswana	..	..
Brazil	..	..
Brunei Darussalam	..	..
Bulgaria	..	..
Burkina Faso	1	1
Burundi	1.5	1.2
Cabo Verde	..	..
Cambodia	2.6	1.8
Cameroon	7.1	6.2
Canada	..	..
Cayman Islands	..	..
Central African Republic	2.2	1.8
Chad	2.8	2.8
Channel Islands	..	..
Chile	..	..
China	..	..
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	6.7	4.7
Comoros	11.2	10
Congo, Dem. Rep.	4.5	4.4
Congo, Rep.	4.8	7
Costa Rica	..	..
Cote d'Ivoire	1.8	1.1
Croatia	..	..
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	..	..
Denmark	..	..
Djibouti	7.8	8.5
Dominica	..	..
Dominican Republic	7.9	7.3
Ecuador	8.4	7.6
Egypt, Arab Rep.	16.3	15
El Salvador	6.2	6.6
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	..	..
Ethiopia	3.1	2.8
Faroe Islands	..	..
Fiji	..	..
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	9.2	6.2
Gambia, The	2.9	2.1
Georgia	..	..
Germany	..	..
Ghana	3.6	1.6
Greece	..	..
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	5.1	4.8
Guinea	5.7	5.6
Guinea-Bissau	2.7	1.9
Guyana	5.7	4.8
Haiti	4	2.8
Honduras	5.5	4.8
Hungary	..	..
Iceland	..	..
India	2.4	2.4
Indonesia	..	..
Iran, Islamic Rep.	..	..
Iraq	6.3	5.7
Ireland	..	..
Isle of Man	..	..
Israel	..	..
Italy	..	..
Jamaica	7.7	9
Japan	..	..
Jordan	5.6	3.8
Kazakhstan	8.7	10
Kenya	4.7	3.5
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	..	..
Kosovo	..	..
Kuwait	..	..
Kyrgyz Republic	6.8	7.1
Lao PDR	3.9	3.1
Latvia	..	..
Lebanon	..	..
Lesotho	7.3	5.8
Liberia	3.5	1.9
Libya	..	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
North Macedonia	13.4	11.4
Madagascar	1.6	1.2
Malawi	2.7	2.4
Malaysia	..	..
Maldives	..	..
Mali	2.2	1.8
Malta	..	..
Marshall Islands	4.9	3.2
Mauritania	1.4	1.6
Mauritius	..	..
Mexico	5.3	5.3
Micronesia, Fed. Sts.	..	..
Moldova	6	3.7
Monaco	..	..
Mongolia	11.2	9.8
Montenegro	24.7	19.6
Morocco	12.4	9.3
Mozambique	7.6	6.4
Myanmar	1.9	1.1
Namibia	3.8	4.2
Nepal	1.3	1
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	8.6	7.9
Niger	1.2	1
Nigeria	2.3	1.8
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	2.3	2.6
Palau	..	..
Panama	..	..
Papua New Guinea	..	..
Paraguay	13	11.9
Peru	9.2	7.8
Philippines	3.4	3.2
Poland	..	..
Portugal	..	..
Puerto Rico	..	..
Qatar	..	..
Romania	..	..
Russian Federation	..	..
Rwanda	6.3	4.9
Samoa	6.2	4.4
San Marino	..	..
Sao Tome and Principe	2.6	2.2
Saudi Arabia	..	..
Senegal	2.7	2.5
Serbia	15.6	12
Seychelles	..	..
Sierra Leone	2.2	1.8
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	..	..
Solomon Islands	4.6	4.4
Somalia	..	..
South Africa	15.5	11
South Sudan	..	..
Spain	..	..
Sri Lanka	0.7	0.4
St. Kitts and Nevis	..	..
St. Lucia	8.9	3.8
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	3.2	2.8
Suriname	..	..
Eswatini	9	8.9
Sweden	..	..
Switzerland	..	..
Syrian Arab Republic	..	..
Tajikistan	3.5	3.2
Tanzania	3.8	3.6
Thailand	8.8	7.5
Timor-Leste	1.5	1.7
Togo	1.8	2.2
Tonga	..	..
Trinidad and Tobago	13	9.8
Tunisia	18	16.5
Turkey	11.9	10.2
Turkmenistan	6	5.7
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	4.9	2.6
Ukraine	..	..
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	..	..
Uzbekistan	5.4	3.6
Vanuatu	5.2	4.7
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	9.1	7.1
Yemen, Rep.	2.4	2.5
Zambia	5.4	5
Zimbabwe	2.9	2.2
World	..	..
East Asia & Pacific	..	..
Europe & Central Asia	..	..
Latin America & Caribbean	..	..
Middle East & North Africa	..	..
North America	..	..
South Asia	..	..
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	..	..
Upper middle income	..	..
High income	..	..
