Country	Property rights and rule-based governance	Quality of budgetary and financial management	Efficiency of revenue mobilization	Quality of public administration	Transparency, accountability, and corruption in the public sector	Average
Afghanistan	2	3.5	3	2.5	2	2.6
Bangladesh	2.5	3	2.5	2.5	2.5	2.6
Benin	3.5	3.5	3.5	3	3.5	3.4
Bhutan	4	4	3.5	4	4.5	4
Burkina Faso	3	3.5	3	3	3.5	3.2
Burundi	2	2.5	3	2.5	1.5	2.3
Cabo Verde	4	3.5	4	4	4.5	4
Cambodia	2.5	3	3.5	2.5	1.5	2.6
Cameroon	2.5	3.5	3.5	3	2.5	3
Central African Republic	2	2.5	2.5	2.5	2.5	2.4
Chad	2.5	2.5	2.5	2.5	2.5	2.5
Comoros	3	2.5	2.5	2	2.5	2.5
Congo, Dem. Rep.	2	2.5	3	3	2	2.5
Congo, Rep.	2.5	3	3	3	2	2.7
Cote d'Ivoire	3.5	4	3.5	3	3.5	3.5
Djibouti	3	3	3.5	3.5	2.5	3.1
Dominica	4	3.5	3.5	3.5	4	3.7
Eritrea	2.5	2	3	2.5	2.5	2.5
Ethiopia	3	3.5	3.5	4	3	3.4
Gambia, The	3	3	3.5	3	2.5	3
Ghana	4	3.5	3.5	3.5	3.5	3.6
Grenada	3.5	3	4	3.5	4	3.6
Guinea	2.5	3	3.5	3	2.5	2.9
Guinea-Bissau	2	2	2.5	2	1.5	2
Guyana	3	3.5	3.5	3	3	3.2
Haiti	2	2	2.5	2.5	2.5	2.3
Honduras	2.5	3.5	3.5	3	2.5	3
Kenya	3	3.5	4	3.5	3	3.4
Kiribati	4	2.5	3.5	3	3.5	3.3
Kosovo	3	4	3.5	3	3	3.3
Kyrgyz Republic	3	3.5	3.5	3	3	3.2
Lao PDR	3	3	3	2.5	2.5	2.8
Lesotho	3.5	2.5	4	2.5	3	3.1
Liberia	2.5	3	3	2.5	2.5	2.7
Madagascar	2.5	2.5	3.5	2.5	2.5	2.7
Malawi	3	3	4	2.5	2.5	3
Maldives	3	3	4	3	3	3.2
Mali	2.5	4	3.5	2.5	3	3.1
Marshall Islands	3.5	2.5	2.5	2	3.5	2.8
Mauritania	3	3.5	4	3	3	3.3
Micronesia, Fed. Sts.	3	2.5	2.5	2.5	3.5	2.8
Moldova	3.5	4	3.5	3	2.5	3.3
Mongolia	3	3.5	3.5	3.5	3	3.3
Mozambique	2.5	3.5	4	3	2.5	3.1
Myanmar	2	3.5	3.5	2.5	2.5	2.8
Nepal	3	2.5	3.5	2.5	3	2.9
Nicaragua	2.5	3.5	3.5	3	2.5	3
Niger	3	3	3.5	3	3	3.1
Nigeria	2.5	3	3	2.5	3	2.8
Pakistan	3	3.5	3.5	3	3	3.2
Papua New Guinea	2	3	3.5	2.5	2.5	2.7
Rwanda	3.5	4	4	4	3.5	3.8
Samoa	4.5	4	4.5	4	4	4.2
Sao Tome and Principe	3	3	3	3	3.5	3.1
Senegal	3.5	3.5	3.5	3.5	3.5	3.5
Sierra Leone	3	3.5	3.5	3	3	3.2
Solomon Islands	3	2.5	3	2	3	2.7
Somalia	1	2.5	2.5	2	2	2
South Sudan	1.5	1	2	1	1.5	1.4
St. Lucia	4	3	4	3.5	4.5	3.8
St. Vincent and the Grenadines	4	3	4	3.5	4	3.7
Sudan	2	2.5	2.5	2	1.5	2.1
Tajikistan	2.5	3	3.5	3	2	2.8
Tanzania	3	3	3	3	3	3
Timor-Leste	2	3	3	2	3	2.6
Togo	3	3	3.5	3	3	3.1
Tonga	4	3.5	4	3.5	3.5	3.7
Tuvalu	3.5	3	3	2.5	3.5	3.1
Uganda	3.5	3.5	3.5	3	2.5	3.2
Uzbekistan	3	4	4.5	3	2.5	3.4
Vanuatu	3.5	3	3.5	3	3	3.2
Yemen, Rep.	1.5	1.5	2.5	1.5	1.5	1.7
Zambia	3	3	3.5	3	2.5	3
Zimbabwe	2	3	4	3	2.5	2.9
